BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6360,157, ,A5,36 BAY 10TH   STREET, ,11228,1,0,1,1547,1428,1930,1,A5,800000,02/27/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6361,20, ,A5,47 BAY 10TH STREET, ,11228,1,0,1,1933,1660,1930,1,A5,0,03/04/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6364,2, ,A5,1649 BENSON AVENUE, ,11214,1,0,1,1638,972,1930,1,A5,0,10/06/2016
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6367,42, ,S1,1730 86TH STREET, ,11214,1,1,2,1342,1920,1926,1,S1,1200000,03/31/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6374,67, ,S1,8642 20TH AVENUE, ,11214,1,1,2,1740,3240,1925,1,S1,1090000,10/24/2016
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6376,13, ,A9,69 BAY 25TH STREET, ,11214,1,0,1,2868,2330,1915,1,A9,0,10/31/2016
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6405,49, ,S1,1863 BATH AVENUE, ,11214,1,1,2,1172,1800,1920,1,S1,1060000,04/21/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6406,25, ,A1,1906 BENSON AVENUE, ,11214,1,0,1,5750,2386,1901,1,A1,2050000,05/16/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6414,36, ,A1,91 BAY 29TH STREET, ,11214,1,0,1,3867,2739,1910,1,A1,950000,09/23/2016
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6431,57, ,A9,202 BAY 14TH STREET, ,11214,1,0,1,2015,1458,1910,1,A9,0,06/19/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6442,131, ,S1,2012 BATH AVENUE, ,11214,1,1,2,709,1178,1925,1,S1,638000,09/20/2016
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,63, ,A1,292 BAY 10TH STREET, ,11228,1,0,1,1933,1152,1920,1,A1,788000,04/07/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,64, ,A9,294 BAY 10TH STREET, ,11228,1,0,1,1933,1152,1920,1,A9,750000,04/25/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,216, ,A5,8874 16TH AVENUE, ,11214,1,0,1,1760,992,1950,1,A5,0,03/23/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,225, ,A5,8892 16TH AVENUE, ,11214,1,0,1,1980,1188,1950,1,A5,0,10/06/2016
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,100, ,A5,261 BAY 14TH STREET, ,11214,1,0,1,1795,1204,1930,1,A5,0,05/04/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,217, ,A5,8929 16TH AVENUE, ,11214,1,0,1,1944,1188,1940,1,A5,848000,02/03/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,247, ,A5,280 BAY 13 STREET, ,11214,1,0,1,1649,928,1945,1,A5,700000,11/11/2016
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,266, ,A5,243 BAY 13TH STREET, ,11214,1,0,1,2060,1240,1940,1,A5,0,12/28/2016
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,273, ,A5,257 BAY 13 STREET, ,11214,1,0,1,1649,928,1940,1,A5,748000,01/05/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,289, ,A5,291 BAY 13TH   STREET, ,11214,1,0,1,2062,1240,1940,1,A5,850000,03/03/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6463,127, ,A5,8849 18TH   AVENUE, ,11214,1,0,1,1384,992,1950,1,A5,786000,03/20/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6466,75, ,A5,224 BAY 23RD STREET, ,11214,1,0,1,1983,1420,1945,1,A5,815000,01/27/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6357,15, ,B1,8643 14TH AVENUE, ,11228,2,0,2,2320,2160,1930,1,B1,1388000,06/29/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6357,46, ,B1,24 BAY 7 STREET, ,11228,2,0,2,2320,2160,1930,1,B1,1150000,10/11/2016
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6357,56, ,B1,52 BAY 7TH   STREET, ,11228,2,0,2,2320,2160,1930,1,B1,452500,12/20/2016
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6360,26, ,B1,8633 15TH AVENUE, ,11228,2,0,2,2312,2160,1930,1,B1,999000,09/01/2016
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6360,44, ,S2,1518 86 STREET, ,11228,2,1,3,1917,2496,1931,1,S2,1350000,03/29/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6360,61, ,B3,44 BAY 10TH STREET, ,11228,2,0,2,1547,1428,1930,1,B3,0,02/08/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6360,77, ,B1,76 BAY 10TH STREET, ,11228,2,0,2,1718,2298,1960,1,B1,1220000,03/07/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6360,123, ,B3,8643 15TH AVENUE, ,11228,2,0,2,2513,1428,1930,1,B3,740000,10/24/2016
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6361,30, ,B3,23 BAY 10TH   STREET, ,11228,2,0,2,2103,1622,1930,1,B3,928000,10/26/2016
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6362,6, ,B1,1557 BENSON AVENUE, ,11228,2,0,2,1920,1840,1920,1,B1,0,04/11/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6362,6, ,B1,1557 BENSON AVENUE, ,11228,2,0,2,1920,1840,1920,1,B1,10,02/06/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6363,27, ,B3,8633 16TH AVENUE, ,11214,2,0,2,2058,1492,1930,1,B3,0,06/30/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6363,30, ,B3,8627 16TH   AVENUE, ,11214,2,0,2,2058,1492,1930,1,B3,0,04/05/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6363,40, ,B3,1610 86TH STREET, ,11214,2,0,2,1439,1292,1920,1,B3,0,11/22/2016
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6364,64, ,B1,48 BAY 14TH STREET, ,11214,2,0,2,2160,3072,1901,1,B1,800000,09/22/2016
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6365,61, ,B1,8646 17TH AVENUE, ,11214,2,0,2,3178,2745,1950,1,B1,0,06/28/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6366,29, ,B1,8633 17TH AVENUE, ,11214,2,0,2,1933,3240,1901,1,B1,0,04/17/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6366,46, ,S2,1718 86TH   STREET, ,11214,2,1,3,1251,2565,1916,1,S2,4680000,08/02/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6367,71, ,B3,58 BAY 17TH   STREET, ,11214,2,0,2,4833,1992,1899,1,B3,1350000,09/30/2016
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6368,1, ,B2,75 BAY 17  STREET, ,11214,2,0,2,6863,2868,1915,1,B2,2000000,04/19/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6369,45, ,S2,8603 18TH AVENUE, ,11214,2,1,3,1113,3840,1925,1,S2,25000,12/05/2016
