,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Crossover - 
All Parties and Independent Bodies




President/Vice President


Citywide


Vote for 1"
"New York County"
"Public Counter","609,629"
"Manually Counted Emergency",359
"Absentee / Military","34,752"
"Federal","10,342"
"Special Presidential",1
"Affidavit","18,029"
"Total Ballots","673,112"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","673,112"
,
"Hillary Clinton / Tim Kaine (Democratic)","557,859"
"Donald J. Trump / Michael R. Pence (Republican)","60,638"
"Donald J. Trump / Michael R. Pence (Conservative)","4,292"
"Jill Stein / Ajamu Baraka (Green)","9,441"
"Hillary Clinton / Tim Kaine (Working Families)","18,396"
"Gary Johnson / Bill Weld (Independence)","5,588"
"Hillary Clinton / Tim Kaine (Women's Equality)","2,758"
"Gary Johnson / Bill Weld (Libertarian)","3,820"
"""ROCKY"" ROGUE DE LA FUENTE (Official Write-In)",4
"BARBARA WHITAKER (Official Write-In)",1
"CLIFTON ROBERTS (Official Write-In)",6
"DARRELL CASTLE (Official Write-In)",12
"EVAN MCMULLIN (Official Write-In)",962
"GLORIA LA RIVA (Official Write-In)",24
"JEFFREY MACKLER (Official Write-In)",3
"LYNN KAHN (Official Write-In)",1
"MARK BLICKLEY (Official Write-In)",1
"MICHAEL A. MATUREN (Official Write-In)",27
"MONICA MOOREHEAD (Official Write-In)",17
"ROBERT L. BUCHANAN (Official Write-In)",1
"RYAN ALAN SCOTT (Official Write-In)",2
"ZOLTAN ISTVAN GYURKO (Official Write-In)",6
"""ROCKY"" ROUGE DE LA FUENTE (Write-In)",1
"JEFFERY MACKLER (Write-In)",1
"MICHAEL A MATUREN (Write-In)",3
"MICHAEL FREDERICK INBAR (Write-In)",1
"NEER R ASHERIE (Write-In)",3
"UNATTRIBUTABLE WRITE-IN (Write-In)","4,950"
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",121
"WILLIAM J CONNOLLY (Write-In)",1
,
,
,
"Total Votes","668,940"
"Unrecorded","4,172"

"Bronx County"
"Public Counter","368,974"
"Manually Counted Emergency",86
"Absentee / Military","10,520"
"Federal","1,190"
"Special Presidential",17
"Affidavit","21,656"
"Total Ballots","402,443"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","402,443"
,
"Hillary Clinton / Tim Kaine (Democratic)","347,893"
"Donald J. Trump / Michael R. Pence (Republican)","34,089"
"Donald J. Trump / Michael R. Pence (Conservative)","3,708"
"Jill Stein / Ajamu Baraka (Green)","4,341"
"Hillary Clinton / Tim Kaine (Working Families)","5,016"
"Gary Johnson / Bill Weld (Independence)","1,832"
"Hillary Clinton / Tim Kaine (Women's Equality)",737
"Gary Johnson / Bill Weld (Libertarian)",480
"BEN HARTNELL (Official Write-In)",1
"DARRELL CASTLE (Official Write-In)",11
"EVAN MCMULLIN (Official Write-In)",107
"GLORIA LA RIVA (Official Write-In)",15
"MICHAEL A. MATUREN (Official Write-In)",8
"MONICA MOOREHEAD (Official Write-In)",1
"NEER R. ASHERIE (Official Write-In)",1
"TOM HOEFLING (Official Write-In)",3
"ZOLTAN ISTVAN GYURKO (Official Write-In)",2
"EVAN MVMULLIN (Write-In)",1
"MICHAEL A MATUREN (Write-In)",7
"ROGUE DE LA FUENTE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)","1,260"
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",8
,
,
,
"Total Votes","399,522"
"Unrecorded","2,921"

"Kings County"
"Public Counter","758,590"
"Manually Counted Emergency",766
"Absentee / Military","23,202"
"Federal","4,087"
"Special Presidential",3
"Affidavit","23,857"
"Total Ballots","810,505"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","810,505"
,
"Hillary Clinton / Tim Kaine (Democratic)","611,439"
"Donald J. Trump / Michael R. Pence (Republican)","129,368"
"Donald J. Trump / Michael R. Pence (Conservative)","11,676"
"Jill Stein / Ajamu Baraka (Green)","11,932"
"Hillary Clinton / Tim Kaine (Working Families)","26,578"
"Gary Johnson / Bill Weld (Independence)","4,786"
"Hillary Clinton / Tim Kaine (Women's Equality)","2,536"
"Gary Johnson / Bill Weld (Libertarian)","2,078"
"BEN HARTNELL (Official Write-In)",3
"CHRIS KENISTON (Official Write-In)",1
"CLIFTON ROBERTS (Official Write-In)",13
"DARRELL CASTLE (Official Write-In)",29
"EMIDIO SOLTYSIK (Official Write-In)",10
"EVAN MCMULLIN (Official Write-In)",496
"GLORIA LA RIVA (Official Write-In)",33
"JASON FRIED (Official Write-In)",2
"JASON MUTFORD (Official Write-In)",1
"JEFFREY MACKLER (Official Write-In)",7
"LYNN KAHN (Official Write-In)",1
"MARSHALL SCHOENKE (Official Write-In)",1
"MICHAEL A. MATUREN (Official Write-In)",19
"MICHAEL FREDERICK INGBAR (Official Write-In)",1
"MONICA MOOREHEAD (Official Write-In)",11
"NEER R. ASHERIE (Official Write-In)",2
"ROBERT L. BUCHANAN (Official Write-In)",1
"TOM HOEFLING (Official Write-In)",16
"WILLIE CARTER (Official Write-In)",1
"ZOLTAN ISTVAN GYURKO (Official Write-In)",1
"“ROCKY” ROGUE DE LA FUENTE (Write-In)",1
"EVAN MC MULLIN (Write-In)",41
"MICHAEL A MATUREN (Write-In)",3
"UNATTRIBUTABLE WRITE-IN (Write-In)","4,478"
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",38
"WILLIAM J CONNOLLY (Write-In)",1
"ZOLTAN ISTVANGYURKO (Write-In)",1
,
,
,
"Total Votes","805,605"
"Unrecorded","4,900"

"Queens County"
"Public Counter","642,052"
"Manually Counted Emergency",240
"Absentee / Military","22,673"
"Federal","3,566"
"Special Presidential",2
"Affidavit","22,676"
"Total Ballots","691,209"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","691,209"
,
"Hillary Clinton / Tim Kaine (Democratic)","502,411"
"Donald J. Trump / Michael R. Pence (Republican)","137,148"
"Donald J. Trump / Michael R. Pence (Conservative)","12,193"
"Jill Stein / Ajamu Baraka (Green)","9,230"
"Hillary Clinton / Tim Kaine (Working Families)","12,666"
"Gary Johnson / Bill Weld (Independence)","5,270"
"Hillary Clinton / Tim Kaine (Women's Equality)","2,143"
"Gary Johnson / Bill Weld (Libertarian)","1,846"
