,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Crossover - 
All Parties and Independent Bodies




Representative in Congress


14th Congressional District


Vote for 1"
"Bronx County"
"Public Counter","64,966"
"Manually Counted Emergency",82
"Absentee/Military","2,014"
"Federal",210
"Special Presidential",4
"Affidavit","2,939"
"Total Ballots","70,215"
"Less - Inapplicable Federal/Special Presidential Ballots",(4)
"Total Applicable Ballots","70,211"
,
"Joseph Crowley (Democratic)","48,027"
"Frank J. Spotorno (Republican)","10,982"
"Frank J. Spotorno (Conservative)","1,650"
"Joseph Crowley (Working Families)","2,054"
"Joseph Crowley (Women's Equality)",468
"ADAM ALGARIN (Write-In)",1
"ADRIANO ESPAILLAT (Write-In)",1
"ALBERT WILLMORE (Write-In)",1
"ALFRED E NEWMAN (Write-In)",1
"ANDREW MONTALDO (Write-In)",1
"BRUCE J GIERGLEY (Write-In)",1
"CARL LUNDGREN (Write-In)",1
"CHADE NEWION (Write-In)",1
"CLEMENTA PINCKNEY (Write-In)",1
"DANEION BASCOMBE (Write-In)",1
"DAWN HOCHSPRUNG (Write-In)",1
"DEVON BANCROFT (Write-In)",1
"DOLON TALUKDER (Write-In)",1
"EDWIN BERROA (Write-In)",1
"ELEANOR RAE (Write-In)",1
"ERIC RIEMAN (Write-In)",1
"FRANCESCO GOMES (Write-In)",1
"GAIL HAREL (Write-In)",1
"JAMES MEIJA (Write-In)",1
"JORDAN TAYLOR (Write-In)",1
"JOSE ANTONIO GONZALEZ JR. (Write-In)",1
"JUDY FERONY (Write-In)",1
"MARGE MCEVOY (Write-In)",1
"MATTHEW KNOX (Write-In)",1
"MICHELLE OBAMA (Write-In)",2
"NAHDIA HAMILTON (Write-In)",1
"NEHEMIAH HODGES (Write-In)",1
"OSCAR LOPEZ RIVERA (Write-In)",1
"RACHEL MADDOW (Write-In)",1
"RAMON PEREZ (Write-In)",1
"RICHARD NAGAN (Write-In)",1
"ROBIN LAVERNE WILSON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",34
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VERMIN SUPREME (Write-In)",1
"WILLIAM CARTER (Write-In)",1
,
,
,
"Total Votes","63,251"
"Unrecorded","6,960"

"Queens County"
"Public Counter","118,285"
"Manually Counted Emergency",8
"Absentee/Military","3,617"
"Federal",733
"Special Presidential",0
"Affidavit","4,447"
"Total Ballots","127,090"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","127,090"
,
"Joseph Crowley (Democratic)","90,340"
"Frank J. Spotorno (Republican)","15,909"
"Frank J. Spotorno (Conservative)","2,004"
"Joseph Crowley (Working Families)","5,263"
"Joseph Crowley (Women's Equality)","1,435"
"AL SHARPTON (Write-In)",1
"ASSATA SHAKUR (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"BRIAN LEE (Write-In)",1
"BRIAN ROJAS (Write-In)",1
"CARIN KAHN (Write-In)",1
"CHELSEA MANNING (Write-In)",2
"CHRIS CHU (Write-In)",1
"CLIFFORD WASHINGTON (Write-In)",1
"DAN NEWIG (Write-In)",1
"DANIEL DROMM (Write-In)",2
"DANIEL DRUMM (Write-In)",2
"DAVID ROSASCO (Write-In)",2
"JAMES L. COLL (Write-In)",1
"JAMES MONGELUZO (Write-In)",1
"JARED MELVILLE (Write-In)",1
"JERRY KAHN (Write-In)",1
"JESSE VENTURA (Write-In)",1
"JILL STEIN (Write-In)",1
"KAIDEN M. TEJADA (Write-In)",1
"KLAUDIO MITRI (Write-In)",1
"LINDSAY D. WYATT JR. (Write-In)",1
"MICHAEL DORE (Write-In)",1
"NAJUR JONES (Write-In)",1
"NESTOR SANCHEZ (Write-In)",1
"NICHOLAS SCOUFARAS (Write-In)",1
"NICK GULOTTA (Write-In)",1
"PATRICK LEMBO (Write-In)",1
"PAUL HANSEN (Write-In)",1
"PAUL NEWELL (Write-In)",1
"PETER DOUSKALIS (Write-In)",1
"PETER WELCH (Write-In)",1
"REUBEN STAUBLER (Write-In)",1
"SHI L. NG (Write-In)",1
"STACIA CASILLO (Write-In)",1
