"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"41","044","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","23",1,"Public Counter",220
"41","044","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","23",1,"Manually Counted Emergency",0
"41","044","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","23",1,"Absentee/Military",5
"41","044","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","23",1,"Federal",0
"41","044","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","23",1,"Special Presidential",0
"41","044","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","23",1,"Affidavit",4
"41","044","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","23",1,"Diane J. Savino (Democratic)",122
"41","044","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","23",1,"Diane J. Savino (Independence)",12
"41","044","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","23",1,"Scattered",2
"41","085","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","23",1,"Public Counter",348
"41","085","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","23",1,"Manually Counted Emergency",0
"41","085","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","23",1,"Absentee/Military",9
"41","085","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","23",1,"Federal",2
"41","085","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","23",1,"Special Presidential",0
"41","085","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","23",1,"Affidavit",12
"41","085","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","23",1,"Diane J. Savino (Democratic)",236
"41","085","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","23",1,"Diane J. Savino (Independence)",41
