,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Crossover - 
All Parties and Independent Bodies




State Senator


23rd Senatorial District


Vote for 1"
"Kings County"
"Public Counter","40,176"
"Manually Counted Emergency",0
"Absentee/Military","1,084"
"Federal",147
"Special Presidential",0
"Affidavit","1,306"
"Total Ballots","42,713"
"Less - Inapplicable Federal/Special Presidential Ballots",(147)
"Total Applicable Ballots","42,566"
,
"Diane J. Savino (Democratic)","23,977"
"Diane J. Savino (Independence)","3,044"
"ALAN BELLONE (Write-In)",1
"ALEKSANDER KOREN (Write-In)",1
"ALEX KANIKOV (Write-In)",1
"ALEX ZAV (Write-In)",1
"ANDREW GOURRARDES (Write-In)",1
"ANTHONY WEINER (Write-In)",1
"BENJAMIN KUNAEV (Write-In)",1
"BERNIE SANDERS (Write-In)",4
"BUTCH STEIN (Write-In)",1
"CAMBERLEY C TORRES (Write-In)",1
"CHARLES SCHUMER (Write-In)",1
"CHRISTOPHER CHEIGHTON (Write-In)",1
"DANIEL J. SLAUIN (Write-In)",1
"DANIEL O'DONOVAN (Write-In)",1
"DAVID FISH (Write-In)",1
"DAVID STORDOIN (Write-In)",1
"DIYERA MAMEDOVA (Write-In)",1
"DONALD TRUMP (Write-In)",1
"DOV HIKIND (Write-In)",1
"EDWARD I KOCH (Write-In)",1
"ELMER J. FUDD (Write-In)",1
"ERIC ADAMS (Write-In)",1
"ERIC TRUMP (Write-In)",2
"ESTEBAR RODRIGUEZ (Write-In)",1
"EVAN MCMULLIN (Write-In)",1
"GEORGE ORWELL (Write-In)",1
"GLENN F. FRONTERA (Write-In)",1
"GRIGORIY MALYUTIN (Write-In)",1
"HUMMGUS BONE (Write-In)",1
"JAMIE DEMON (Write-In)",1
"JIAN HE ZHOU (Write-In)",1
"JOSEPH BEYTA (Write-In)",1
"JOSEPH MARRONE (Write-In)",1
"JULIAN ELINSON (Write-In)",1
"KELSEY DEMSKY (Write-In)",1
"KOLIN GREGORY (Write-In)",1
"LEW LEVIN (Write-In)",1
"MANAL ABU SAMAHA (Write-In)",1
"MANUINH MALATER (Write-In)",1
"MARTIN J GOLDEN (Write-In)",1
"MARTY GOLDEN (Write-In)",1
"MATTHEW J GRAVES (Write-In)",1
"MELISSA SUZANNE FELDMAN (Write-In)",1
"MICHAEL GRIMM (Write-In)",2
"MIKE ROWE (Write-In)",1
"MINH NGUYEN (Write-In)",1
"NICHOLAS PALACIAS (Write-In)",2
"PETE SANTIAGO (Write-In)",1
"PETER GRIFFIN (Write-In)",1
"PHILIP GORRON (Write-In)",1
"PINNY GOLD (Write-In)",1
"RHETT CHAMIS (Write-In)",1
"ROBERT J. MALMAD (Write-In)",1
"RON ROWEL (Write-In)",1
"RUDOLF GUILIANI (Write-In)",1
"STAS ZEITLIN (Write-In)",1
"SUE SIMMONS (Write-In)",1
"THOMAS LADUCA (Write-In)",1
"TOM GROMMER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",51
"VLAD KATZ (Write-In)",1
"WENDY LONG (Write-In)",1
"ZEPHYR TURNOUT (Write-In)",1
,
,
,
"Total Votes","27,140"
"Unrecorded","15,426"

"Richmond County"
"Public Counter","43,376"
"Manually Counted Emergency",0
"Absentee/Military","2,059"
"Federal",154
"Special Presidential",3
"Affidavit","1,376"
"Total Ballots","46,968"
"Less - Inapplicable Federal/Special Presidential Ballots",(157)
"Total Applicable Ballots","46,811"
,
"Diane J. Savino (Democratic)","34,084"
"Diane J. Savino (Independence)","2,761"
"A. VISCIONE (Write-In)",1
"AL CURTIS (Write-In)",1
"ALEX BARBARA (Write-In)",1
"ALEXANDER BERUGLY (Write-In)",1
"ALICE COOPER (Write-In)",1
"ALLEN CAPPELLI (Write-In)",1
"ANDRE PEREZ (Write-In)",1
"ANDREW J. LANZA (Write-In)",5
"ANTHONY BUONAUDO (Write-In)",1
"ANTHONY LURITO (Write-In)",1
"ANTHONY RIZZO (Write-In)",1
"ARTHUR ROLDAN (Write-In)",1
"AVERY LUDGATE (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BRANTON SHEIL (Write-In)",1
"BRYAN SWEENEY (Write-In)",1
"CHANEL MAY (Write-In)",1
"CHARLES J. HARGROVE (Write-In)",1
"CHEECH MONFERRATO (Write-In)",1
