,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Crossover - 
All Parties and Independent Bodies




State Senator


29th Senatorial District


Vote for 1"
"New York County"
"Public Counter","45,067"
"Manually Counted Emergency",29
"Absentee/Military","2,538"
"Federal",898
"Special Presidential",1
"Affidavit","1,323"
"Total Ballots","49,856"
"Less - Inapplicable Federal/Special Presidential Ballots",(899)
"Total Applicable Ballots","48,957"
,
"Jose M. Serrano (Democratic)","38,083"
"Jose A. Colon (Republican)","5,472"
"Linda Ortiz (Conservative)","1,434"
"AL GREEN (Write-In)",1
"ALTON H MADDOX JR (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BILL PERKINS (Write-In)",1
"DAVID MARRERO (Write-In)",1
"ERIKA BARRETT (Write-In)",1
"FRANK BOBB (Write-In)",1
"GALE BREWER (Write-In)",1
"GRACE MENG (Write-In)",1
"JOANNE HIRT (Write-In)",1
"JOSHUA A. SARTORIUS (Write-In)",1
"LOIS HERZECA (Write-In)",1
"MARISOL ALCANTARA (Write-In)",1
"MATTHEW MCENERNEY (Write-In)",1
"MELINDA CRUMP (Write-In)",1
"MICAH LASHER (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"MICHAEL WEINSTEIN (Write-In)",1
"MILES ROBINSON (Write-In)",1
"RAFAEL L HERNANDEZ (Write-In)",1
"REBECCA ATLAS (Write-In)",1
"RICARDO VIERZ (Write-In)",1
"ROGER WAREHAM (Write-In)",1
"SANDRA STEVENS (Write-In)",1
"SHANNON LIA-ONAY (Write-In)",1
"TENESA CAPUTO (Write-In)",1
"TONY EVANS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",15
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","45,033"
"Unrecorded","3,924"

"Bronx County"
"Public Counter","49,423"
"Manually Counted Emergency",0
"Absentee/Military",965
"Federal",87
"Special Presidential",3
"Affidavit","3,426"
"Total Ballots","53,904"
