,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


New York County
 - 
All Parties and Independent Bodies




President/Vice President


Citywide


Vote for 1"
"Assembly District 65"
"Public Counter","41,313"
"Manually Counted Emergency",41
"Absentee / Military","1,953"
"Federal",522
"Special Presidential",0
"Affidavit","1,140"
"Total Ballots","44,969"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","44,969"
,
"Hillary Clinton / Tim Kaine (Democratic)","34,972"
"Donald J. Trump / Michael R. Pence (Republican)","5,923"
"Donald J. Trump / Michael R. Pence (Conservative)",421
"Jill Stein / Ajamu Baraka (Green)",655
"Hillary Clinton / Tim Kaine (Working Families)","1,338"
"Gary Johnson / Bill Weld (Independence)",410
"Hillary Clinton / Tim Kaine (Women's Equality)",254
"Gary Johnson / Bill Weld (Libertarian)",335
"DARRELL CASTLE (Official Write-In)",1
"EVAN MCMULLIN (Official Write-In)",46
"JEFFREY MACKLER (Official Write-In)",1
"MICHAEL A. MATUREN (Official Write-In)",1
"RYAN ALAN SCOTT (Official Write-In)",2
"ZOLTAN ISTVAN GYURKO (Official Write-In)",1
"MICHAEL A MATUREN (Write-In)",1
"NEER R ASHERIE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",277
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",23
,
,
,
"Total Votes","44,662"
"Unrecorded",307

"Assembly District 66"
"Public Counter","54,153"
"Manually Counted Emergency",5
"Absentee / Military","4,154"
"Federal","1,405"
"Special Presidential",0
"Affidavit","1,320"
"Total Ballots","61,037"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","61,037"
,
"Hillary Clinton / Tim Kaine (Democratic)","50,727"
"Donald J. Trump / Michael R. Pence (Republican)","4,508"
"Donald J. Trump / Michael R. Pence (Conservative)",342
"Jill Stein / Ajamu Baraka (Green)",906
"Hillary Clinton / Tim Kaine (Working Families)","2,265"
"Gary Johnson / Bill Weld (Independence)",586
"Hillary Clinton / Tim Kaine (Women's Equality)",283
"Gary Johnson / Bill Weld (Libertarian)",476
"BARBARA WHITAKER (Official Write-In)",1
"DARRELL CASTLE (Official Write-In)",2
"EVAN MCMULLIN (Official Write-In)",88
"GLORIA LA RIVA (Official Write-In)",4
