"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"65","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Public Counter",485
"65","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Manually Counted Emergency",0
"65","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Absentee / Military",33
"65","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Federal",10
"65","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Special Presidential",0
"65","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Affidavit",10
"65","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Josh E. Hanshaft (Democratic)",284
"65","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Emily Morales-Minerva (Democratic)",343
"65","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Scattered",13
"65","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Public Counter",705
"65","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Manually Counted Emergency",0
"65","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Absentee / Military",36
"65","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Federal",5
"65","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Special Presidential",0
"65","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Affidavit",11
"65","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Josh E. Hanshaft (Democratic)",404
"65","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Emily Morales-Minerva (Democratic)",483
"65","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Scattered",3
"65","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Public Counter",462
"65","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Manually Counted Emergency",0
"65","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Absentee / Military",27
"65","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Federal",6
"65","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Special Presidential",0
"65","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Affidavit",15
"65","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Josh E. Hanshaft (Democratic)",276
"65","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Emily Morales-Minerva (Democratic)",316
"65","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Scattered",7
"65","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Public Counter",704
"65","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Manually Counted Emergency",0
"65","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Absentee / Military",37
"65","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Federal",9
"65","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Special Presidential",0
"65","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Affidavit",8
"65","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Josh E. Hanshaft (Democratic)",392
"65","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Emily Morales-Minerva (Democratic)",454
"65","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Scattered",7
"65","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Public Counter",363
"65","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Manually Counted Emergency",0
"65","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Absentee / Military",15
"65","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Federal",4
"65","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Special Presidential",0
"65","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Affidavit",9
"65","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Josh E. Hanshaft (Democratic)",158
"65","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Emily Morales-Minerva (Democratic)",184
"65","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Scattered",2
"65","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Public Counter",554
"65","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Manually Counted Emergency",0
"65","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Absentee / Military",32
"65","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Federal",8
"65","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Special Presidential",0
"65","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Affidavit",15
"65","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Josh E. Hanshaft (Democratic)",293
"65","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Emily Morales-Minerva (Democratic)",321
"65","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Scattered",7
"65","007","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Public Counter",506
"65","007","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Manually Counted Emergency",0
"65","007","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Absentee / Military",29
"65","007","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Federal",2
"65","007","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Special Presidential",0
"65","007","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Affidavit",6
"65","007","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Josh E. Hanshaft (Democratic)",217
"65","007","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Emily Morales-Minerva (Democratic)",260
"65","007","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Scattered",4
"65","008","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Public Counter",622
"65","008","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Manually Counted Emergency",0
"65","008","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Absentee / Military",34
"65","008","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Federal",10
"65","008","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Special Presidential",0
"65","008","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Affidavit",17
"65","008","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Josh E. Hanshaft (Democratic)",277
"65","008","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Emily Morales-Minerva (Democratic)",314
"65","008","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Scattered",11
"65","009","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Public Counter",524
"65","009","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Manually Counted Emergency",0
"65","009","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Absentee / Military",25
"65","009","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Federal",3
"65","009","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Special Presidential",0
"65","009","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Affidavit",21
"65","009","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Josh E. Hanshaft (Democratic)",283
"65","009","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Emily Morales-Minerva (Democratic)",365
"65","009","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Scattered",14
"65","010","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Public Counter",596
"65","010","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Manually Counted Emergency",0
"65","010","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Absentee / Military",33
"65","010","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Federal",9
"65","010","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Special Presidential",0
"65","010","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Affidavit",14
"65","010","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Josh E. Hanshaft (Democratic)",321
"65","010","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Emily Morales-Minerva (Democratic)",390
"65","010","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Scattered",1
"65","011","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Public Counter",469
"65","011","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Manually Counted Emergency",0
"65","011","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Absentee / Military",24
"65","011","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Federal",13
"65","011","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Special Presidential",0
"65","011","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","10",2,"Affidavit",19
