,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


New York County
 - 
All Parties and Independent Bodies




Judge of the Civil Court - County


New York


Vote for 2"
"Assembly District 65"
"Public Counter","41,313"
"Manually Counted Emergency",41
"Absentee / Military","1,953"
"Federal",522
"Special Presidential",0
"Affidavit","1,140"
"Total Ballots","44,969"
"Less - Inapplicable Federal/Special Presidential Ballots",(522)
"Total Applicable Ballots","44,447"
,
"Josh E. Hanshaft (Democratic)","18,597"
"Emily Morales-Minerva (Democratic)","23,619"
"AARON NG (Write-In)",1
"ADAM AISEN (Write-In)",1
"ADAM DOUR (Write-In)",1
"AJIT COKHALE (Write-In)",1
"ALEC BALDWIN (Write-In)",1
"ALI KARIMI (Write-In)",1
"AMY GOODMAN (Write-In)",1
"ANA KENDRICK (Write-In)",1
"ANDREW DELLOLIO (Write-In)",1
"ANDREW NAPOLITANO (Write-In)",1
"AUGUSTA BELFOUR (Write-In)",1
"BEN CARSON (Write-In)",1
"BENJAMIN BALLER (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"BRACEY FUENZALDA (Write-In)",1
"BRIAN BERNBERG (Write-In)",1
"CALLUM HAZELNUT (Write-In)",1
"CHAD JACKSON (Write-In)",1
"CHRIS KREIDER (Write-In)",1
"CHRISTOPHER JUNG (Write-In)",1
"COLIN ACKERS (Write-In)",1
"CORRINE RENEE (Write-In)",1
"CYNTHIA MATHEWS BROWN (Write-In)",1
"DALLIN OAKS (Write-In)",1
"DAWN FOX (Write-In)",1
"DEBRA SILBER (Write-In)",1
"DENNIS RECCA (Write-In)",1
"DERRY SWEETWATER (Write-In)",1
"DIANA MAHYI (Write-In)",1
"DONALD TRUMP (Write-In)",7
"DUNN KERSEY (Write-In)",1
"ELI EPSTEIN (Write-In)",1
"ELIAN GONZALES (Write-In)",1
"ELON MUSK (Write-In)",1
"ERIC DENNIS (Write-In)",1
"EWA BERTON (Write-In)",2
"GABRIELLE WONG (Write-In)",1
"GENINE D. EDWARDS (Write-In)",1
