,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


New York County
 - 
All Parties and Independent Bodies




Representative in Congress


7th Congressional District


Vote for 1"
"Assembly District 65"
"Public Counter","21,053"
"Manually Counted Emergency",31
"Absentee/Military",789
"Federal",172
"Special Presidential",0
"Affidavit",580
"Total Ballots","22,625"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","22,625"
,
"Nydia M. Velazquez (Democratic)","15,863"
"Allan E. Romaguera (Republican)","2,147"
"Allan E. Romaguera (Conservative)",283
"Nydia M. Velazquez (Women's Equality)",623
"BENJAMIN LESCZYNSKI (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"CARLA G. BROWN (Write-In)",1
"CHRISTOPHER JUNG (Write-In)",1
"JEFF KURZON (Write-In)",1
"JUUE STACK (Write-In)",1
"KYRIE IRVING (Write-In)",1
"MARTIN WILSON (Write-In)",1
"MEL SWEENEY (Write-In)",1
"NICHOLAS CAMPULO (Write-In)",1
"ROBERTO RODRIGUEZ (Write-In)",1
"ROBIN LAVERNE WILSON (Write-In)",1
"SEAN CARTER JAY Z (Write-In)",1
"SETH MCFARLANE (Write-In)",1
"STEPHEN KING (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",13
"VERMIN SUPREME (Write-In)",1
,
,
,
"Total Votes","18,945"
"Unrecorded","3,680"

"Assembly District 66"
"Public Counter",9
"Manually Counted Emergency",0
"Absentee/Military",1
"Federal",1
"Special Presidential",0
"Affidavit",1
"Total Ballots",12
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",12
,
"Nydia M. Velazquez (Democratic)",7
"Allan E. Romaguera (Republican)",2
"Allan E. Romaguera (Conservative)",0
"Nydia M. Velazquez (Women's Equality)",0
,
,
,
"Total Votes",9
"Unrecorded",3

"Assembly District 74"
"Public Counter","5,767"
"Manually Counted Emergency",3
"Absentee/Military",92
"Federal",7
"Special Presidential",0
"Affidavit",269
"Total Ballots","6,138"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,138"
,
"Nydia M. Velazquez (Democratic)","4,994"
"Allan E. Romaguera (Republican)",229
"Allan E. Romaguera (Conservative)",69
"Nydia M. Velazquez (Women's Equality)",77
"BERNIE SANDERS (Write-In)",1
,
,
,
"Total Votes","5,370"
"Unrecorded",768

"Total for Representative in Congress (7th Congressional District) - New York County"
"Public Counter","26,829"
"Manually Counted Emergency",34
"Absentee/Military",882
"Federal",180
"Special Presidential",0
"Affidavit",850
"Total Ballots","28,775"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","28,775"
,
"Nydia M. Velazquez (Democratic)","20,864"
"Allan E. Romaguera (Republican)","2,378"
"Allan E. Romaguera (Conservative)",352
"Nydia M. Velazquez (Women's Equality)",700
"BENJAMIN LESCZYNSKI (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"CARLA G. BROWN (Write-In)",1
"CHRISTOPHER JUNG (Write-In)",1
"JEFF KURZON (Write-In)",1
"JUUE STACK (Write-In)",1
"KYRIE IRVING (Write-In)",1
"MARTIN WILSON (Write-In)",1
"MEL SWEENEY (Write-In)",1
"NICHOLAS CAMPULO (Write-In)",1
"ROBERTO RODRIGUEZ (Write-In)",1
"ROBIN LAVERNE WILSON (Write-In)",1
"SEAN CARTER JAY Z (Write-In)",1
"SETH MCFARLANE (Write-In)",1
"STEPHEN KING (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",13
"VERMIN SUPREME (Write-In)",1
,
,
,
"Total Votes","24,324"
"Unrecorded","4,451"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
