,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


New York County
 - 
All Parties and Independent Bodies




State Senator


31st Senatorial District


Vote for 1"
"Assembly District 67"
"Public Counter","19,101"
"Manually Counted Emergency",2
"Absentee/Military","1,319"
"Federal",435
"Special Presidential",0
"Affidavit",441
"Total Ballots","21,298"
"Less - Inapplicable Federal/Special Presidential Ballots",(435)
"Total Applicable Ballots","20,863"
,
"Marisol Alcantara (Democratic)","15,037"
"Melinda Crump (Republican)","2,690"
"John Toro (Conservative)",272
"Julia Willebrand (Green)",952
"AKSHAI RAJ (Write-In)",1
"BEN ARCHIBALD (Write-In)",1
"CAMILO TRASANDE (Write-In)",1
"CRISPEN NEJVA (Write-In)",1
"DAVID NICLUS (Write-In)",1
"GARY SMOKE (Write-In)",1
"JOHN FEERICK (Write-In)",1
"JONATHAN POPULAR (Write-In)",1
"JOSH BROWN (Write-In)",1
"JUDGE JEANINE PIRO (Write-In)",1
"KATHY J. FINNERAN (Write-In)",1
"KEITH WRIGHT (Write-In)",1
"KEVIN DELIE (Write-In)",1
"LEXIE KIRKWOOD (Write-In)",1
"MAX SHEWER (Write-In)",1
"MERYL GORDON (Write-In)",1
"MICAH LASHER (Write-In)",6
"MICAH LASSER (Write-In)",2
"TALIS LIN (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",5
,
,
,
"Total Votes","18,981"
"Unrecorded","1,882"

"Assembly District 69"
"Public Counter","17,058"
"Manually Counted Emergency",8
"Absentee/Military","1,332"
"Federal",462
"Special Presidential",0
"Affidavit",282
"Total Ballots","19,142"
"Less - Inapplicable Federal/Special Presidential Ballots",(462)
"Total Applicable Ballots","18,680"
,
"Marisol Alcantara (Democratic)","14,164"
"Melinda Crump (Republican)","1,595"
"John Toro (Conservative)",196
"Julia Willebrand (Green)","1,201"
"BILL PERKINS (Write-In)",1
"ELENI LIFF (Write-In)",1
"FISH PARKAY (Write-In)",1
"JEREMY NOVICH (Write-In)",1
"JILL FREEMAN (Write-In)",2
"JOHN KAEHNY (Write-In)",3
"LISA K. DAVIS (Write-In)",1
"LUIS TEJADA (Write-In)",2
"MICAH LASCHER (Write-In)",1
"MICAH LASHER (Write-In)",9
"MIKE BLOOMBERG (Write-In)",1
"RICHIE PEREZ (Write-In)",1
"ROBERT JACKSON (Write-In)",6
"STEVE B. MANDEL (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
,
,
,
"Total Votes","17,190"
"Unrecorded","1,490"

"Assembly District 70"
"Public Counter","7,787"
"Manually Counted Emergency",0
"Absentee/Military",228
"Federal",47
"Special Presidential",0
"Affidavit",339
"Total Ballots","8,401"
"Less - Inapplicable Federal/Special Presidential Ballots",(47)
"Total Applicable Ballots","8,354"
,
"Marisol Alcantara (Democratic)","6,804"
"Melinda Crump (Republican)",322
"John Toro (Conservative)",71
"Julia Willebrand (Green)",320
"BERNIE SANDERS (Write-In)",1
"HARKEEM JEFFRIES (Write-In)",1
"LUIS TEJADA (Write-In)",3
"MICAH LASHER (Write-In)",1
"ROBERT JACKSON (Write-In)",2
"UNATTRIBUTABLE WRITE-IN (Write-In)",5
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","7,531"
"Unrecorded",823

"Assembly District 71"
"Public Counter","29,963"
"Manually Counted Emergency",1
"Absentee/Military","1,107"
"Federal",267
"Special Presidential",0
"Affidavit",964
"Total Ballots","32,302"
"Less - Inapplicable Federal/Special Presidential Ballots",(267)
"Total Applicable Ballots","32,035"
,
"Marisol Alcantara (Democratic)","25,166"
"Melinda Crump (Republican)","1,750"
"John Toro (Conservative)",334
"Julia Willebrand (Green)","1,775"
"ANTHONY ERAMO (Write-In)",1
"BENJAMIN COMAMT (Write-In)",1
"BERINE SANDERS (Write-In)",1
"BRENDAN ORAM (Write-In)",1
"BROOKE KEIAHANI RODRIGUEZ (Write-In)",1
"CLIFTON ROBERTS (Write-In)",1
"CRISPUS ATTUCKS (Write-In)",1
"ELIZABETH BENNET (Write-In)",1
"ELIZABETH LORRIS-RITTER (Write-In)",1
"GLORIA ZWICK (Write-In)",1
"HILLARY CLINTON (Write-In)",1
"JAY CUZA (Write-In)",1
"JOHN BECKMAN (Write-In)",1
"LIZ RITTER (Write-In)",1
"LUIS MANUEL TEJEDA (Write-In)",2
"LUIS TEJADA (Write-In)",7
"MARIA A. LUNA (Write-In)",1
"MARIA C SANTIAGO (Write-In)",1
"MARIA LUNA (Write-In)",1
"MICAH LASHER (Write-In)",6
"MNAH LASHER (Write-In)",1
"REGGIE BRYANT (Write-In)",1
"REINALDO CHAPARRO JR (Write-In)",1
"ROBERT JACKSON (Write-In)",63
"SARA NICOLLI (Write-In)",1
"THOMAS HECTORF (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",9
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",4
"VIM NORTON (Write-In)",1
,
,
,
"Total Votes","29,139"
"Unrecorded","2,896"

"Assembly District 72"
"Public Counter","43,601"
"Manually Counted Emergency",1
"Absentee/Military","1,012"
"Federal",249
"Special Presidential",0
"Affidavit","1,595"
"Total Ballots","46,458"
"Less - Inapplicable Federal/Special Presidential Ballots",(249)
"Total Applicable Ballots","46,209"
,
"Marisol Alcantara (Democratic)","36,226"
"Melinda Crump (Republican)","2,278"
"John Toro (Conservative)",485
"Julia Willebrand (Green)","2,122"
"ALFREDO R. PEREZ (Write-In)",1
"ARLENE SCHULMEN (Write-In)",1
"BOB DYLAN (Write-In)",1
"CARLA ZANOI (Write-In)",1
"CHARON DARRIS (Write-In)",1
"DENISE JOHNSON (Write-In)",1
"DERRICK ROSE (Write-In)",1
"EARL HADDON (Write-In)",1
"ED GOLDMAN (Write-In)",1
"ELIZABETH RITTER (Write-In)",1
"IRA SAIGER (Write-In)",1
"JACOB ROTHCHILD (Write-In)",1
"JASON ROSENBERGER (Write-In)",1
"JAYSON MENDEZ (Write-In)",1
"KEITH WRIGHT (Write-In)",1
"LUIS TEJADA (Write-In)",3
"LYANA FERNANDEZ (Write-In)",1
"MANUEL CERVA (Write-In)",1
"MIA EISNER GRYNBERG (Write-In)",1
"MICAH CASER (Write-In)",1
"MICAH LASHER (Write-In)",5
"MICAH LESTER (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"MICHELLE OBAMA (Write-In)",1
"MICLAH LASHER (Write-In)",1
"MIKE LASHER (Write-In)",1
"ROBERT HITT (Write-In)",1
"ROBERT JACKSON (Write-In)",92
"ROBERT JOHNSON (Write-In)",1
"RON PAUL (Write-In)",1
"SONIA RODRIGUEZ (Write-In)",1
"TERESA ERMINI (Write-In)",1
"TIMOTHY HILLS (Write-In)",1
"TIMOTHY MULFORD (Write-In)",1
"TONY CLIFTON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",12
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
,
,
,
"Total Votes","41,258"
"Unrecorded","4,951"

"Assembly District 75"
"Public Counter",726
"Manually Counted Emergency",0
"Absentee/Military",42
"Federal",12
"Special Presidential",0
"Affidavit",33
"Total Ballots",813
"Less - Inapplicable Federal/Special Presidential Ballots",(12)
"Total Applicable Ballots",801
,
"Marisol Alcantara (Democratic)",567
"Melinda Crump (Republican)",84
"John Toro (Conservative)",10
"Julia Willebrand (Green)",30
,
,
,
"Total Votes",691
"Unrecorded",110

"Total for State Senator (31st Senatorial District) - New York County"
"Public Counter","118,236"
"Manually Counted Emergency",12
"Absentee/Military","5,040"
"Federal","1,472"
"Special Presidential",0
"Affidavit","3,654"
"Total Ballots","128,414"
"Less - Inapplicable Federal/Special Presidential Ballots","(1,472)"
"Total Applicable Ballots","126,942"
,
"Marisol Alcantara (Democratic)","97,964"
"Melinda Crump (Republican)","8,719"
"John Toro (Conservative)","1,368"
"Julia Willebrand (Green)","6,400"
"AKSHAI RAJ (Write-In)",1
"ALFREDO R. PEREZ (Write-In)",1
"ANTHONY ERAMO (Write-In)",1
"ARLENE SCHULMEN (Write-In)",1
"BEN ARCHIBALD (Write-In)",1
"BENJAMIN COMAMT (Write-In)",1
"BERINE SANDERS (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"BILL PERKINS (Write-In)",1
"BOB DYLAN (Write-In)",1
"BRENDAN ORAM (Write-In)",1
"BROOKE KEIAHANI RODRIGUEZ (Write-In)",1
"CAMILO TRASANDE (Write-In)",1
"CARLA ZANOI (Write-In)",1
"CHARON DARRIS (Write-In)",1
"CLIFTON ROBERTS (Write-In)",1
"CRISPEN NEJVA (Write-In)",1
"CRISPUS ATTUCKS (Write-In)",1
"DAVID NICLUS (Write-In)",1
"DENISE JOHNSON (Write-In)",1
"DERRICK ROSE (Write-In)",1
"EARL HADDON (Write-In)",1
"ED GOLDMAN (Write-In)",1
"ELENI LIFF (Write-In)",1
"ELIZABETH BENNET (Write-In)",1
"ELIZABETH LORRIS-RITTER (Write-In)",1
"ELIZABETH RITTER (Write-In)",1
"FISH PARKAY (Write-In)",1
"GARY SMOKE (Write-In)",1
"GLORIA ZWICK (Write-In)",1
"HARKEEM JEFFRIES (Write-In)",1
"HILLARY CLINTON (Write-In)",1
"IRA SAIGER (Write-In)",1
"JACOB ROTHCHILD (Write-In)",1
"JASON ROSENBERGER (Write-In)",1
"JAY CUZA (Write-In)",1
"JAYSON MENDEZ (Write-In)",1
"JEREMY NOVICH (Write-In)",1
"JILL FREEMAN (Write-In)",2
"JOHN BECKMAN (Write-In)",1
"JOHN FEERICK (Write-In)",1
"JOHN KAEHNY (Write-In)",3
"JONATHAN POPULAR (Write-In)",1
"JOSH BROWN (Write-In)",1
"JUDGE JEANINE PIRO (Write-In)",1
"KATHY J. FINNERAN (Write-In)",1
"KEITH WRIGHT (Write-In)",2
"KEVIN DELIE (Write-In)",1
"LEXIE KIRKWOOD (Write-In)",1
"LISA K. DAVIS (Write-In)",1
"LIZ RITTER (Write-In)",1
"LUIS MANUEL TEJEDA (Write-In)",2
"LUIS TEJADA (Write-In)",15
"LYANA FERNANDEZ (Write-In)",1
"MANUEL CERVA (Write-In)",1
"MARIA A. LUNA (Write-In)",1
"MARIA C SANTIAGO (Write-In)",1
"MARIA LUNA (Write-In)",1
"MAX SHEWER (Write-In)",1
"MERYL GORDON (Write-In)",1
"MIA EISNER GRYNBERG (Write-In)",1
"MICAH CASER (Write-In)",1
"MICAH LASCHER (Write-In)",1
"MICAH LASHER (Write-In)",27
"MICAH LASSER (Write-In)",2
"MICAH LESTER (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"MICHELLE OBAMA (Write-In)",1
"MICLAH LASHER (Write-In)",1
"MIKE BLOOMBERG (Write-In)",1
"MIKE LASHER (Write-In)",1
"MNAH LASHER (Write-In)",1
"REGGIE BRYANT (Write-In)",1
"REINALDO CHAPARRO JR (Write-In)",1
"RICHIE PEREZ (Write-In)",1
"ROBERT HITT (Write-In)",1
"ROBERT JACKSON (Write-In)",163
"ROBERT JOHNSON (Write-In)",1
"RON PAUL (Write-In)",1
"SARA NICOLLI (Write-In)",1
"SONIA RODRIGUEZ (Write-In)",1
"STEVE B. MANDEL (Write-In)",1
"TALIS LIN (Write-In)",1
"TERESA ERMINI (Write-In)",1
"THOMAS HECTORF (Write-In)",1
"TIMOTHY HILLS (Write-In)",1
"TIMOTHY MULFORD (Write-In)",1
"TONY CLIFTON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",34
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",8
"VIM NORTON (Write-In)",1
,
,
,
"Total Votes","114,790"
"Unrecorded","12,152"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
