,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


New York County
 - 
All Parties and Independent Bodies




Member of the Assembly


72nd Assembly District


Vote for 1"
"Assembly District 72"
"Public Counter","43,982"
"Manually Counted Emergency",1
"Absentee/Military","1,030"
"Federal",250
"Special Presidential",0
"Affidavit","1,609"
"Total Ballots","46,872"
"Less - Inapplicable Federal/Special Presidential Ballots",(250)
"Total Applicable Ballots","46,622"
,
"Carmen N. De La Rosa (Democratic)","37,032"
"ABIMBOLA AKANDE (Write-In)",1
"ALAN J. PLUMER (Write-In)",1
"ALFREDO R. PEREZ (Write-In)",1
"ALISTAIR WALLACE (Write-In)",1
"ANGELA LIPSHAW (Write-In)",2
"ANNA LEE EDWARDS (Write-In)",1
"ANTHONY G. JARA (Write-In)",1
"ANTHONY WEINER (Write-In)",1
"ANTOINETTE WALKER (Write-In)",1
"ARLENE SCHULMEN (Write-In)",1
"BILLY BOB (Write-In)",1
"BUCK JONES (Write-In)",1
"CARL SCHOTT (Write-In)",1
"CAROLINE GOLDRICK (Write-In)",1
"CATHERINE LYNN PASSMAN (Write-In)",1
"CHAD HOPKOWITZ (Write-In)",1
"CHARON DARRIS (Write-In)",1
"CRISTIAN DIAZ (Write-In)",1
"DANIEL A. MADERA (Write-In)",1
"DANIEL MODERA (Write-In)",1
"DANNY JIMIUIAN (Write-In)",1
"DENISE JOHNSON (Write-In)",1
"DONALD TRUMP (Write-In)",1
"ED GOLDMAN (Write-In)",1
"EDMUND VOYER (Write-In)",1
"ELIZABETH RITTER (Write-In)",1
"ELMO MARTINEZ (Write-In)",1
"ERIC LARTMAN (Write-In)",1
"ERIC TRUMP (Write-In)",1
"ERICA MEINHARDT (Write-In)",1
"FRANCESCA CASTELLANA (Write-In)",1
"FRANCESCA CASTELLANES (Write-In)",1
"FREDDY KRUEGER (Write-In)",1
"GABRIEL HERNANDEZ (Write-In)",1
"GALEN RYPP (Write-In)",1
"GARY WIDLUND (Write-In)",1
"GEORGE FERNANDEZ (Write-In)",9
"GEORGE MULLIGAN (Write-In)",1
"GRAHAM CIRAULO (Write-In)",1
"GUILLERMO LINARES (Write-In)",7
"HERCHEL SCHACHTER (Write-In)",1
"HUONG TRAN (Write-In)",1
"IAN GERSHGORN (Write-In)",1
"IRA SAIGER (Write-In)",1
"JACOB ROTHCHILD (Write-In)",1
"JACQUELYN PRATHER (Write-In)",2
"JASON MCDOWELL (Write-In)",3
"JASON ROSENBERGER (Write-In)",1
"JEFFREY EASTER (Write-In)",1
"JEFFREY HOFFMAN (Write-In)",1
"JHWANDA NORRIS (Write-In)",1
"JOHN KASICH (Write-In)",1
