"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"65","030","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Public Counter",449
"65","030","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Manually Counted Emergency",1
"65","030","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Absentee/Military",12
"65","030","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Federal",2
"65","030","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Special Presidential",0
"65","030","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Affidavit",10
"65","030","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Margaret Pui Yee Chan (Democratic)",271
"65","030","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Scattered",2
"65","031","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Public Counter",498
"65","031","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Manually Counted Emergency",0
"65","031","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Absentee/Military",13
"65","031","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Federal",3
"65","031","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Special Presidential",0
"65","031","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Affidavit",8
"65","031","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Margaret Pui Yee Chan (Democratic)",271
"65","031","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Scattered",2
"65","032","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Public Counter",560
"65","032","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Manually Counted Emergency",0
"65","032","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Absentee/Military",25
"65","032","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Federal",8
"65","032","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Special Presidential",0
"65","032","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Affidavit",11
"65","032","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Margaret Pui Yee Chan (Democratic)",385
"65","032","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Scattered",2
"65","037","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Public Counter",461
"65","037","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Manually Counted Emergency",0
"65","037","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Absentee/Military",7
"65","037","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Federal",3
"65","037","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Special Presidential",0
"65","037","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Affidavit",11
"65","037","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Margaret Pui Yee Chan (Democratic)",202
"65","037","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Scattered",2
"65","038","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Public Counter",452
"65","038","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Manually Counted Emergency",0
"65","038","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Absentee/Military",16
"65","038","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Federal",2
"65","038","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Special Presidential",0
"65","038","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Affidavit",12
"65","038","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Margaret Pui Yee Chan (Democratic)",241
"65","039","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Public Counter",329
"65","039","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Manually Counted Emergency",0
"65","039","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Absentee/Military",2
"65","039","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Federal",1
"65","039","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Special Presidential",0
"65","039","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Affidavit",8
"65","039","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Margaret Pui Yee Chan (Democratic)",172
"65","040","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Public Counter",396
"65","040","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Manually Counted Emergency",5
"65","040","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Absentee/Military",8
"65","040","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Federal",0
"65","040","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Special Presidential",0
"65","040","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Affidavit",14
"65","040","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Margaret Pui Yee Chan (Democratic)",243
"65","041","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Public Counter",394
"65","041","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Manually Counted Emergency",2
"65","041","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Absentee/Military",14
"65","041","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Federal",5
"65","041","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Special Presidential",0
"65","041","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Affidavit",12
"65","041","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Margaret Pui Yee Chan (Democratic)",274
"65","041","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Scattered",1
"65","042","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Public Counter",302
"65","042","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Manually Counted Emergency",0
"65","042","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Absentee/Military",16
"65","042","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Federal",1
"65","042","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Special Presidential",0
"65","042","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Affidavit",13
"65","042","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Margaret Pui Yee Chan (Democratic)",169
"65","042","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1002",1,"Scattered",2
