,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


New York County
 - 
All Parties and Independent Bodies




Judge of the Civil Court - District


9th Municipal Court District - New York


Vote for 1"
"Assembly District 66"
"Public Counter",630
"Manually Counted Emergency",0
"Absentee/Military",44
"Federal",17
"Special Presidential",0
"Affidavit",17
"Total Ballots",708
"Less - Inapplicable Federal/Special Presidential Ballots",(17)
"Total Applicable Ballots",691
,
"Lori Sattler (Democratic)",457
,
,
,
"Total Votes",457
"Unrecorded",234

"Assembly District 67"
"Public Counter",0
"Manually Counted Emergency",0
"Absentee/Military",0
"Federal",0
"Special Presidential",0
"Affidavit",0
"Total Ballots",0
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",0
,
"Lori Sattler (Democratic)",0
,
,
,
"Total Votes",0
,

"Assembly District 68"
"Public Counter","1,743"
"Manually Counted Emergency",4
"Absentee/Military",175
"Federal",58
"Special Presidential",0
"Affidavit",50
"Total Ballots","2,030"
"Less - Inapplicable Federal/Special Presidential Ballots",(58)
"Total Applicable Ballots","1,972"
,
"Lori Sattler (Democratic)","1,246"
"DEBORAH EVANGELOKES (Write-In)",1
"PATRICIA A. WILLIAMS (Write-In)",1
"RITA DUFFY (Write-In)",1
"RUDOLPH GIULIANI (Write-In)",1
"SONYA GIDUMAL (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
"WINNIE PITTS (Write-In)",1
,
,
,
"Total Votes","1,254"
"Unrecorded",718

"Assembly District 69"
"Public Counter",0
"Manually Counted Emergency",0
"Absentee/Military",0
"Federal",0
"Special Presidential",0
"Affidavit",0
"Total Ballots",0
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",0
,
"Lori Sattler (Democratic)",0
,
,
,
"Total Votes",0
,

"Assembly District 73"
"Public Counter","19,678"
"Manually Counted Emergency",7
"Absentee/Military","1,923"
"Federal",638
"Special Presidential",0
"Affidavit",410
"Total Ballots","22,656"
"Less - Inapplicable Federal/Special Presidential Ballots",(638)
"Total Applicable Ballots","22,018"
,
"Lori Sattler (Democratic)","12,368"
"ALEX K. ROSS (Write-In)",1
"ALEXANDER HAMILTON (Write-In)",1
"ALFRED E. NEWTON (Write-In)",1
"ALICE COHEN (Write-In)",1
"ALLAN ADLER (Write-In)",1
"ANDREW CUOMO (Write-In)",1
"ANTHONY WEINER (Write-In)",1
"ANTONIN SCALIA (Write-In)",1
"BRANDON FRADD (Write-In)",1
"CANDY BARACSH (Write-In)",1
"CARMELLO ANTHONY (Write-In)",1
"CHRIS WARREN (Write-In)",1
