,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Bronx County
 - 
All Parties and Independent Bodies




President/Vice President


Citywide


Vote for 1"
"Assembly District 77"
"Public Counter","31,129"
"Manually Counted Emergency",0
"Absentee/Military",731
"Federal",54
"Special Presidential",3
"Affidavit","2,370"
"Total Ballots","34,287"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","34,287"
,
"Hillary Clinton / Tim Kaine (Democratic)","31,797"
"Donald J. Trump / Michael R. Pence (Republican)","1,312"
"Donald J. Trump / Michael R. Pence (Conservative)",113
"Jill Stein / Ajamu Baraka (Green)",285
"Hillary Clinton / Tim Kaine (Working Families)",345
"Gary Johnson / Bill Weld (Independence)",105
"Hillary Clinton / Tim Kaine (Women's Equality)",52
"Gary Johnson / Bill Weld (Libertarian)",22
"EVAN MCMULLIN (Official Write-In)",3
"GLORIA LA RIVA (Official Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",56
,
,
,
"Total Votes","34,091"
"Unrecorded",196

"Assembly District 78"
"Public Counter","25,779"
"Manually Counted Emergency",0
"Absentee/Military",632
"Federal",78
"Special Presidential",0
"Affidavit","2,095"
"Total Ballots","28,584"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","28,584"
,
"Hillary Clinton / Tim Kaine (Democratic)","25,430"
"Donald J. Trump / Michael R. Pence (Republican)","1,776"
"Donald J. Trump / Michael R. Pence (Conservative)",177
"Jill Stein / Ajamu Baraka (Green)",359
"Hillary Clinton / Tim Kaine (Working Families)",329
"Gary Johnson / Bill Weld (Independence)",132
"Hillary Clinton / Tim Kaine (Women's Equality)",67
"Gary Johnson / Bill Weld (Libertarian)",36
"DARRELL CASTLE (Official Write-In)",1
"EVAN MCMULLIN (Official Write-In)",7
"GLORIA LA RIVA (Official Write-In)",1
"MICHAEL A. MATUREN (Official Write-In)",2
"TOM HOEFLING (Official Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",91
,
,
,
"Total Votes","28,409"
"Unrecorded",175

"Assembly District 79"
"Public Counter","34,161"
"Manually Counted Emergency",0
"Absentee/Military",698
"Federal",35
"Special Presidential",0
"Affidavit","2,672"
"Total Ballots","37,566"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","37,566"
,
"Hillary Clinton / Tim Kaine (Democratic)","34,896"
"Donald J. Trump / Michael R. Pence (Republican)","1,349"
"Donald J. Trump / Michael R. Pence (Conservative)",149
"Jill Stein / Ajamu Baraka (Green)",319
"Hillary Clinton / Tim Kaine (Working Families)",386
"Gary Johnson / Bill Weld (Independence)",98
"Hillary Clinton / Tim Kaine (Women's Equality)",52
"Gary Johnson / Bill Weld (Libertarian)",27
"EVAN MCMULLIN (Official Write-In)",3
"UNATTRIBUTABLE WRITE-IN (Write-In)",75
,
,
,
"Total Votes","37,354"
"Unrecorded",212

"Assembly District 80"
"Public Counter","32,676"
"Manually Counted Emergency",1
"Absentee/Military","1,140"
"Federal",115
"Special Presidential",2
