,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Bronx County
 - 
All Parties and Independent Bodies




United States Senator


Citywide


Vote for 1"
"Assembly District 77"
"Public Counter","31,129"
"Manually Counted Emergency",0
"Absentee/Military",731
"Federal",54
"Special Presidential",3
"Affidavit","2,370"
"Total Ballots","34,287"
"Less - Inapplicable Federal/Special Presidential Ballots",(3)
"Total Applicable Ballots","34,284"
,
"Charles E. Schumer (Democratic)","29,534"
"Wendy Long (Republican)",987
"Wendy Long (Conservative)",111
"Robin Laverne Wilson (Green)",323
"Charles E. Schumer (Working Families)",388
"Charles E. Schumer (Independence)",121
"Charles E. Schumer (Women's Equality)",39
"Wendy Long (Reform)",26
"Alex Merced (Libertarian)",46
"AL GORE (Write-In)",1
"BERNIE SANDERS (Write-In)",3
"CARLA YVONNE BROWN (Write-In)",1
"DANA INNISS (Write-In)",1
"DEALAL AHMED (Write-In)",1
"KURON ROBERTS (Write-In)",1
"ROBBY WALLS (Write-In)",1
"ROBBY WELLS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",8
,
,
,
"Total Votes","31,593"
"Unrecorded","2,691"

"Assembly District 78"
"Public Counter","25,779"
"Manually Counted Emergency",0
"Absentee/Military",632
"Federal",78
"Special Presidential",0
"Affidavit","2,095"
"Total Ballots","28,584"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","28,584"
,
"Charles E. Schumer (Democratic)","23,827"
"Wendy Long (Republican)","1,260"
"Wendy Long (Conservative)",192
"Robin Laverne Wilson (Green)",381
"Charles E. Schumer (Working Families)",400
"Charles E. Schumer (Independence)",165
"Charles E. Schumer (Women's Equality)",68
"Wendy Long (Reform)",25
"Alex Merced (Libertarian)",75
"BERNIE SANDERS (Write-In)",3
"CHARLES E. SCHUMER (Write-In)",1
"KASHEEM ALI EVANS (Write-In)",1
"KRISTEN GILLBEMD (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",11
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","26,411"
"Unrecorded","2,173"

"Assembly District 79"
"Public Counter","34,161"
"Manually Counted Emergency",0
"Absentee/Military",698
"Federal",35
"Special Presidential",0
"Affidavit","2,672"
"Total Ballots","37,566"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","37,566"
,
"Charles E. Schumer (Democratic)","32,542"
"Wendy Long (Republican)",905
"Wendy Long (Conservative)",148
"Robin Laverne Wilson (Green)",322
"Charles E. Schumer (Working Families)",423
"Charles E. Schumer (Independence)",131
"Charles E. Schumer (Women's Equality)",53
"Wendy Long (Reform)",51
"Alex Merced (Libertarian)",59
"ALBERTO CORTEZ (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"UNATTRIBUTABLE WRITE-IN (Write-In)",7
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","34,645"
"Unrecorded","2,921"

"Assembly District 80"
"Public Counter","32,676"
"Manually Counted Emergency",1
"Absentee/Military","1,140"
"Federal",115
"Special Presidential",2
"Affidavit","1,586"
"Total Ballots","35,520"
"Less - Inapplicable Federal/Special Presidential Ballots",(2)
"Total Applicable Ballots","35,518"
,
"Charles E. Schumer (Democratic)","28,226"
"Wendy Long (Republican)","3,167"
"Wendy Long (Conservative)",461
"Robin Laverne Wilson (Green)",508
"Charles E. Schumer (Working Families)",724
"Charles E. Schumer (Independence)",251
"Charles E. Schumer (Women's Equality)",77
"Wendy Long (Reform)",46
"Alex Merced (Libertarian)",120
"BERNIE SANDERS (Write-In)",1
"BRIAN STAN (Write-In)",1
"DAX T. SHUFFIELD (Write-In)",1
"JUAN ESPINOSA (Write-In)",1
"JUDY FERONY (Write-In)",1
"KEVIN JOHNSON (Write-In)",1
"MARISOL ALCANTARA (Write-In)",1
"MICHELLE OBAMA (Write-In)",1
"MIKE RUSSO (Write-In)",1
"PAUL TARSUS (Write-In)",1
"SANDRA PEREZ (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",6
