"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"77","001","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Public Counter",191
"77","001","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Manually Counted Emergency",0
"77","001","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Absentee/Military",1
"77","001","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Federal",0
"77","001","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Special Presidential",0
"77","001","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Affidavit",24
"77","001","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"LaTia Martin (Democratic)",136
"77","001","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Doris M. Gonzalez (Democratic)",142
"77","001","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Donald Miles (Democratic)",98
"77","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Public Counter",202
"77","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Manually Counted Emergency",0
"77","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Absentee/Military",6
"77","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Federal",0
"77","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Special Presidential",0
"77","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Affidavit",26
"77","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"LaTia Martin (Democratic)",144
"77","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Doris M. Gonzalez (Democratic)",131
"77","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Donald Miles (Democratic)",103
"77","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Scattered",1
"77","003","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Public Counter",370
"77","003","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Manually Counted Emergency",0
"77","003","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Absentee/Military",8
"77","003","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Federal",0
"77","003","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Special Presidential",0
"77","003","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"Affidavit",14
"77","003","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Justice of the Supreme Court","12",3,"LaTia Martin (Democratic)",246
