,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Bronx County
 - 
All Parties and Independent Bodies




Judge of the Civil Court - County


Bronx


Vote for 3"
"Assembly District 77"
"Public Counter","31,129"
"Manually Counted Emergency",0
"Absentee/Military",731
"Federal",54
"Special Presidential",3
"Affidavit","2,370"
"Total Ballots","34,287"
"Less - Inapplicable Federal/Special Presidential Ballots",(57)
"Total Applicable Ballots","34,230"
,
"Marian C. Doherty (Democratic)","22,047"
"Robert D. Siano (Republican)","1,262"
"Patsy Gouldborne (Democratic)","17,040"
"Myrna Socorro (Democratic)","20,020"
"ALLAH FREEDOM (Write-In)",1
"BRIAN OMOSAYA (Write-In)",1
"CARLA Y BROWN (Write-In)",1
"FRIDGE FRANKO (Write-In)",1
"GIOVANNI C JONES (Write-In)",1
"KYRON ROBERTS (Write-In)",1
"LUCILA RUTINEL (Write-In)",1
"MARK LEVIN (Write-In)",2
"MICHELLE OBAMA (Write-In)",1
"NATHAN STERN (Write-In)",1
"PATRICIA TITLEY (Write-In)",1
"RENE PERALTA (Write-In)",1
"TIM DOLAN (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",22
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
"VICTOR GRAVES (Write-In)",3
,
,
,
"Total Votes","60,410"
"Unrecorded","42,280"

"Assembly District 78"
"Public Counter","25,779"
"Manually Counted Emergency",0
"Absentee/Military",632
"Federal",78
"Special Presidential",0
"Affidavit","2,095"
"Total Ballots","28,584"
"Less - Inapplicable Federal/Special Presidential Ballots",(78)
"Total Applicable Ballots","28,506"
,
"Marian C. Doherty (Democratic)","15,792"
"Robert D. Siano (Republican)","1,765"
"Patsy Gouldborne (Democratic)","11,560"
"Myrna Socorro (Democratic)","15,079"
"ALEJANDRO VAGA (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"GIANCARLO MALINCOICO (Write-In)",1
"GINA GUADAGNO (Write-In)",1
"JAYSON CANCEL (Write-In)",1
"JILL STEIN (Write-In)",1
"JOHN IUDIFOLA (Write-In)",1
"JONATHAN TARHARKA (Write-In)",1
"JOSEPH MOPELLI (Write-In)",1
"JOSEPH S GENOVESE (Write-In)",1
"MARGRET HUGES (Write-In)",1
"PAUL KALAUPJIAN (Write-In)",1
"PAULA LAKIND (Write-In)",1
"PETER DONOHUE (Write-In)",1
"ROSALIE LESLIE (Write-In)",1
"SIMON PEREZ (Write-In)",1
"TROY FROEBE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",26
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VICTER AUSTIN (Write-In)",1
"VINCENT MUNCINO (Write-In)",1
,
,
,
"Total Votes","44,242"
"Unrecorded","41,276"

"Assembly District 79"
"Public Counter","34,161"
"Manually Counted Emergency",0
"Absentee/Military",698
"Federal",35
"Special Presidential",0
"Affidavit","2,672"
"Total Ballots","37,566"
"Less - Inapplicable Federal/Special Presidential Ballots",(35)
"Total Applicable Ballots","37,531"
,
"Marian C. Doherty (Democratic)","23,696"
"Robert D. Siano (Republican)","1,203"
"Patsy Gouldborne (Democratic)","18,469"
"Myrna Socorro (Democratic)","21,079"
"BERNIE SANDERS (Write-In)",2
"CESAR CASTRO (Write-In)",1
"DEMETRIUS TATE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",17
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",4
"VICTOR HUGO GUTIERREZ (Write-In)",1
,
,
,
"Total Votes","64,473"
"Unrecorded","48,120"

"Assembly District 80"
"Public Counter","32,676"
"Manually Counted Emergency",1
"Absentee/Military","1,140"
"Federal",115
"Special Presidential",2
"Affidavit","1,586"
"Total Ballots","35,520"
"Less - Inapplicable Federal/Special Presidential Ballots",(117)
"Total Applicable Ballots","35,403"
,
"Marian C. Doherty (Democratic)","20,627"
"Robert D. Siano (Republican)","4,514"
"Patsy Gouldborne (Democratic)","15,850"
"Myrna Socorro (Democratic)","18,376"
"ABRAHAM OSDOGA (Write-In)",1
"ALBERT WILLMORE (Write-In)",1
"ANTONIO SCALIA (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"EDWARD KOESTER (Write-In)",1
"ERIC B. (Write-In)",1
"IVONNE HERRERA (Write-In)",1
"JAMES VISSER (Write-In)",2
"JEANINI PIRRO (Write-In)",1
"JOHN A. DELGROSSO (Write-In)",1
"JOSEPH ALESSANDRO (Write-In)",1
"JOSEPH BLANDINO (Write-In)",2
"JOSEPH RACHIELE (Write-In)",2
"JUDITH SCHELEIL (Write-In)",1
"JULIO C REYNOSO (Write-In)",1
"KID ROCK (Write-In)",1
"MARTIN MORRIS ESQ (Write-In)",3
"MAUREEN DONOHUE (Write-In)",1
"MICHAEL SEDIA (Write-In)",1
"NEHEMIAH HODGES (Write-In)",1
"OSCAR LOPEZ (Write-In)",1
"RAMON PEREZ (Write-In)",1
"RICHARD NAGAN (Write-In)",1
"ROBERT MORRIS (Write-In)",1
"RON PAUL (Write-In)",1
"ROSALY RUIZ (Write-In)",1
"RUBEN DAIZ JR (Write-In)",1
"SANDRA PEREZ (Write-In)",1
"SANELYS LOPEZ (Write-In)",1
"SEAN HANNITY (Write-In)",1
"SHIVAN BASSAW (Write-In)",1
"SONIA SOTO MAXER (Write-In)",1
"STANLEY K SCHLEN (Write-In)",1
"TED CRUZ (Write-In)",1
"THURGOOD MARSHALL (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",55
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",7
"VITO ROMAN (Write-In)",1
"YVONNE SHIBELLI (Write-In)",1
,
,
,
"Total Votes","59,472"
"Unrecorded","46,737"

"Assembly District 81"
"Public Counter","41,222"
"Manually Counted Emergency",0
"Absentee/Military","2,400"
"Federal",490
"Special Presidential",3
"Affidavit","1,711"
"Total Ballots","45,826"
"Less - Inapplicable Federal/Special Presidential Ballots",(493)
"Total Applicable Ballots","45,333"
,
"Marian C. Doherty (Democratic)","27,156"
"Robert D. Siano (Republican)","5,906"
"Patsy Gouldborne (Democratic)","22,468"
"Myrna Socorro (Democratic)","24,804"
"ALEXAUDER MICI (Write-In)",1
"ANDREW NAPOLITANO (Write-In)",1
"ANTHONY SOOKRAN (Write-In)",1
"ANTONIN SCALIA (Write-In)",1
"AZRI YAISH (Write-In)",1
"BARNIE SANDERS (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BILL WELD (Write-In)",1
"BRETT R HUPART (Write-In)",1
"BRETT R. HUPART (Write-In)",1
"CARLOS F VELASQUEZ (Write-In)",1
"CHANDOR GUMBLE (Write-In)",1
"CHARLIE WALHBERG (Write-In)",1
"CHERYL WINTER (Write-In)",1
"CHRIS HYDEN (Write-In)",1
"DAVE AUBIN (Write-In)",1
"DAVID JACKSON (Write-In)",1
"DAVID KENNEDY (Write-In)",1
"DAVINA FIGEROUX (Write-In)",1
"DEBRA MALDONADO (Write-In)",1
"DINA YAISH (Write-In)",1
"DONALD J. TRUMP (Write-In)",2
"DONALD TRUMP (Write-In)",1
"FRITZ MICHEL (Write-In)",1
"GABRIEL SPECIALE (Write-In)",1
"GARY JOHNSON (Write-In)",1
"GENE BINDER (Write-In)",1
"GLENN FLEISCHMAN (Write-In)",1
"GLORIA INDIK (Write-In)",1
"GUY SMILEY (Write-In)",1
"HOWARD KEISMAN (Write-In)",1
"HOWARD LEVINE (Write-In)",2
"JACOB GLADYS (Write-In)",1
"JACOB GLADYZ (Write-In)",1
"JACQUELINE GOLD (Write-In)",1
"JACQUELINE WEATHERSPOON (Write-In)",1
"JAMES P ABATE (Write-In)",1
"JASON ISAACS (Write-In)",1
"JEANINE PIRRO (Write-In)",1
"JERAMY FEIT (Write-In)",1
"JEROME KING (Write-In)",1
"JESSICA S RIVERA (Write-In)",1
"JOHN MCCANN (Write-In)",1
"JONATHAN LINDERBLATT (Write-In)",1
"JORGE NAPOLITANO (Write-In)",1
"JUDGE ROY BEAN (Write-In)",1
"JUDY SCHEINLIN (Write-In)",1
"LEE BOLLINGER (Write-In)",1
"LOREX SOTEOLE (Write-In)",1
"LORRAINE KOPPELL (Write-In)",1
"MARCO RUBINO (Write-In)",1
"MARK BAKER (Write-In)",1
"MATTHEW WALSH (Write-In)",1
"MAYA RUDOY (Write-In)",1
"MICHAEL J. POWERS JR (Write-In)",1
