,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Bronx County
 - 
All Parties and Independent Bodies




Representative in Congress


13th Congressional District


Vote for 1"
"Assembly District 77"
"Public Counter","3,707"
"Manually Counted Emergency",0
"Absentee/Military",85
"Federal",5
"Special Presidential",0
"Affidavit",267
"Total Ballots","4,064"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,064"
,
"Adriano Espaillat (Democratic)","3,333"
"Tony Evans (Republican)",137
"Daniel Vila Rivera (Green)",52
"Tony Evans (Independence)",34
"Scott Lloyd Fenstermaker (Transparent Govt)",18
"ROBBY WALLE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes","3,576"
"Unrecorded",488

"Assembly District 78"
"Public Counter","18,010"
"Manually Counted Emergency",0
"Absentee/Military",429
"Federal",59
"Special Presidential",0
"Affidavit","1,392"
"Total Ballots","19,890"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","19,890"
,
"Adriano Espaillat (Democratic)","16,364"
"Tony Evans (Republican)","1,023"
"Daniel Vila Rivera (Green)",432
"Tony Evans (Independence)",188
"Scott Lloyd Fenstermaker (Transparent Govt)",95
"GEORGE CHESSER (Write-In)",1
"SAMELYS LOPEZ (Write-In)",1
"THOMAS WASHINGTON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",9
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","18,115"
"Unrecorded","1,775"

"Assembly District 80"
"Public Counter","7,302"
"Manually Counted Emergency",0
"Absentee/Military",173
"Federal",22
"Special Presidential",0
"Affidavit",441
"Total Ballots","7,938"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","7,938"
,
"Adriano Espaillat (Democratic)","6,444"
"Tony Evans (Republican)",490
"Daniel Vila Rivera (Green)",211
"Tony Evans (Independence)",66
"Scott Lloyd Fenstermaker (Transparent Govt)",39
"SALLY DONFORD (Write-In)",3
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","7,257"
"Unrecorded",681

"Assembly District 81"
"Public Counter","14,726"
"Manually Counted Emergency",0
"Absentee/Military",829
"Federal",122
"Special Presidential",0
"Affidavit",839
"Total Ballots","16,516"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","16,516"
,
"Adriano Espaillat (Democratic)","12,570"
"Tony Evans (Republican)","1,271"
"Daniel Vila Rivera (Green)",502
"Tony Evans (Independence)",172
"Scott Lloyd Fenstermaker (Transparent Govt)",137
"BERNIE SANDERS (Write-In)",2
"BRAIN PHILIP (Write-In)",1
"DANIEL PADERNACHT (Write-In)",1
"DAVID CHEN (Write-In)",1
"DORIS B. JACKSON (Write-In)",1
"JEROME WATSON (Write-In)",1
"KEITH WRIGHT (Write-In)",3
"RON PAUL (Write-In)",1
"SHEILA SANCHEZ (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",6
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VERNON MARSH (Write-In)",1
,
,
,
"Total Votes","14,672"
"Unrecorded","1,844"

"Assembly District 86"
"Public Counter","1,862"
"Manually Counted Emergency",0
"Absentee/Military",36
"Federal",6
"Special Presidential",0
"Affidavit",142
"Total Ballots","2,046"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,046"
,
"Adriano Espaillat (Democratic)","1,645"
"Tony Evans (Republican)",81
"Daniel Vila Rivera (Green)",51
"Tony Evans (Independence)",9
"Scott Lloyd Fenstermaker (Transparent Govt)",10
"JUAN POWE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes","1,798"
"Unrecorded",248

"Total for Representative in Congress (13th Congressional District) - Bronx County"
"Public Counter","45,607"
"Manually Counted Emergency",0
"Absentee/Military","1,552"
"Federal",214
"Special Presidential",0
"Affidavit","3,081"
"Total Ballots","50,454"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","50,454"
,
"Adriano Espaillat (Democratic)","40,356"
"Tony Evans (Republican)","3,002"
"Daniel Vila Rivera (Green)","1,248"
"Tony Evans (Independence)",469
"Scott Lloyd Fenstermaker (Transparent Govt)",299
"BERNIE SANDERS (Write-In)",2
"BRAIN PHILIP (Write-In)",1
"DANIEL PADERNACHT (Write-In)",1
"DAVID CHEN (Write-In)",1
"DORIS B. JACKSON (Write-In)",1
"GEORGE CHESSER (Write-In)",1
"JEROME WATSON (Write-In)",1
"JUAN POWE (Write-In)",1
"KEITH WRIGHT (Write-In)",3
"ROBBY WALLE (Write-In)",1
"RON PAUL (Write-In)",1
"SALLY DONFORD (Write-In)",3
"SAMELYS LOPEZ (Write-In)",1
"SHEILA SANCHEZ (Write-In)",1
"THOMAS WASHINGTON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",20
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
"VERNON MARSH (Write-In)",1
,
,
,
"Total Votes","45,418"
"Unrecorded","5,036"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
