,
"Statement and Return Report

for Certification



Special Election 17th Council - 02/23/2016


Bronx County
 - 
All Parties and Independent Bodies




Member of the City Council


17th Council District


Vote for 1"
"Assembly District 77"
"Public Counter",19
"Absentee/Military",1
"Affidavit",0
"Total Ballots",20
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",20
,
"Rafael Salamanca Jr. (Community First)",8
"Julio Pabon (Bronx Not for Sale)",0
"George A. Alvarez (Bronx for All)",7
"Joann Otero (Strong Together)",1
"Marlon M. Molina (Bronx Renewal)",0
"J. Loren Russell (Rebuilding Our BX)",4
,
,
,
"Total Votes",20
,

"Assembly District 79"
"Public Counter","1,494"
"Absentee/Military",29
"Affidavit",58
"Total Ballots","1,581"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,581"
,
"Rafael Salamanca Jr. (Community First)",500
"Julio Pabon (Bronx Not for Sale)",238
"George A. Alvarez (Bronx for All)",471
"Joann Otero (Strong Together)",125
"Marlon M. Molina (Bronx Renewal)",58
"J. Loren Russell (Rebuilding Our BX)",168
"FATOUMATA BARRY (Write-In)",1
"HELEN HINES (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",4
,
,
,
"Total Votes","1,566"
"Unrecorded",15

"Assembly District 84"
"Public Counter",642
"Absentee/Military",12
"Affidavit",11
"Total Ballots",665
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",665
,
"Rafael Salamanca Jr. (Community First)",256
"Julio Pabon (Bronx Not for Sale)",148
"George A. Alvarez (Bronx for All)",110
"Joann Otero (Strong Together)",38
"Marlon M. Molina (Bronx Renewal)",14
"J. Loren Russell (Rebuilding Our BX)",86
"MAXIMO RIVERA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
,
,
,
"Total Votes",656
"Unrecorded",9

"Assembly District 85"
"Public Counter","1,233"
"Absentee/Military",40
"Affidavit",16
"Total Ballots","1,289"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,289"
,
"Rafael Salamanca Jr. (Community First)",612
"Julio Pabon (Bronx Not for Sale)",162
"George A. Alvarez (Bronx for All)",247
"Joann Otero (Strong Together)",70
"Marlon M. Molina (Bronx Renewal)",37
"J. Loren Russell (Rebuilding Our BX)",137
"DANIEL G ZUGER (Write-In)",1
"HELEN HINES (Write-In)",4
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
,
,
,
"Total Votes","1,272"
"Unrecorded",17

"Assembly District 86"
"Public Counter",1
"Absentee/Military",1
"Affidavit",0
"Total Ballots",2
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",2
,
"Rafael Salamanca Jr. (Community First)",0
"Julio Pabon (Bronx Not for Sale)",0
"George A. Alvarez (Bronx for All)",1
"Joann Otero (Strong Together)",0
"Marlon M. Molina (Bronx Renewal)",0
"J. Loren Russell (Rebuilding Our BX)",0
,
,
,
"Total Votes",1
"Unrecorded",1

"Assembly District 87"
"Public Counter",196
"Absentee/Military",5
"Affidavit",6
"Total Ballots",207
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",207
,
"Rafael Salamanca Jr. (Community First)",79
"Julio Pabon (Bronx Not for Sale)",14
"George A. Alvarez (Bronx for All)",66
"Joann Otero (Strong Together)",31
"Marlon M. Molina (Bronx Renewal)",6
"J. Loren Russell (Rebuilding Our BX)",8
,
,
,
"Total Votes",204
"Unrecorded",3

"Total for Member of the City Council (17th Council District) - Bronx County"
"Public Counter","3,585"
"Absentee/Military",88
"Affidavit",91
"Total Ballots","3,764"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,764"
,
"Rafael Salamanca Jr. (Community First)","1,455"
"Julio Pabon (Bronx Not for Sale)",562
"George A. Alvarez (Bronx for All)",902
"Joann Otero (Strong Together)",265
"Marlon M. Molina (Bronx Renewal)",115
"J. Loren Russell (Rebuilding Our BX)",403
"DANIEL G ZUGER (Write-In)",1
"FATOUMATA BARRY (Write-In)",1
"HELEN HINES (Write-In)",5
"MAXIMO RIVERA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",9
,
,
,
"Total Votes","3,719"
"Unrecorded",45

"In one or more Election Districts in this contest, the number of votes reported exceeds the number of ballots reported.  See the attached discrepancy report.



"
"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
