,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Bronx County
 - 
All Parties and Independent Bodies




State Senator


32nd Senatorial District


Vote for 1"
"Assembly District 77"
"Public Counter","6,102"
"Manually Counted Emergency",0
"Absentee/Military",191
"Federal",7
"Special Presidential",0
"Affidavit",458
"Total Ballots","6,758"
"Less - Inapplicable Federal/Special Presidential Ballots",(7)
"Total Applicable Ballots","6,751"
,
"Ruben Diaz Sr. (Democratic)","5,708"
"Oswald Denis (Conservative)",118
"ASSATA SHAKER (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"DAN SAVAGE (Write-In)",1
"JARRELL BRANDON (Write-In)",1
"JOYCE HOGI (Write-In)",1
"JULIO PABON (Write-In)",1
"JULIO PABON SR. (Write-In)",1
"MELLISSA MARK VIROSITO (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",5
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","5,840"
"Unrecorded",911

"Assembly District 79"
"Public Counter","24,374"
"Manually Counted Emergency",0
"Absentee/Military",504
"Federal",24
"Special Presidential",0
"Affidavit","1,757"
"Total Ballots","26,659"
"Less - Inapplicable Federal/Special Presidential Ballots",(24)
"Total Applicable Ballots","26,635"
,
"Ruben Diaz Sr. (Democratic)","23,054"
"Oswald Denis (Conservative)",524
"BERNIE SANDERS (Write-In)",3
"CHARBROIL RUSSO (Write-In)",1
"DONALD TRUMP (Write-In)",1
"JASMINE E. WILLIAMS (Write-In)",1
"JULIO PABON (Write-In)",1
"PABLO MILANES (Write-In)",1
"SARA NICCOLI (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",9
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VLADMIR CRUZ (Write-In)",1
,
,
,
"Total Votes","23,598"
"Unrecorded","3,037"

"Assembly District 82"
"Public Counter",583
"Manually Counted Emergency",39
"Absentee/Military",12
"Federal",3
"Special Presidential",0
"Affidavit",34
"Total Ballots",671
"Less - Inapplicable Federal/Special Presidential Ballots",(3)
"Total Applicable Ballots",668
,
"Ruben Diaz Sr. (Democratic)",527
"Oswald Denis (Conservative)",43
,
,
,
"Total Votes",570
"Unrecorded",98

"Assembly District 84"
"Public Counter","4,776"
"Manually Counted Emergency",0
"Absentee/Military",62
"Federal",10
"Special Presidential",0
"Affidavit",305
"Total Ballots","5,153"
"Less - Inapplicable Federal/Special Presidential Ballots",(10)
"Total Applicable Ballots","5,143"
,
"Ruben Diaz Sr. (Democratic)","4,285"
"Oswald Denis (Conservative)",215
"ANTONIO DIAZ (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"JUYLIO PABON (Write-In)",1
"LIZ KRUEGER (Write-In)",1
"PATRICK DELICES (Write-In)",1
"ROBERT AMAYA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","4,510"
"Unrecorded",633

"Assembly District 85"
"Public Counter","23,496"
"Manually Counted Emergency",0
"Absentee/Military",473
"Federal",27
"Special Presidential",0
"Affidavit","1,405"
"Total Ballots","25,401"
"Less - Inapplicable Federal/Special Presidential Ballots",(27)
"Total Applicable Ballots","25,374"
,
"Ruben Diaz Sr. (Democratic)","22,039"
"Oswald Denis (Conservative)",585
"ALISON BUSH (Write-In)",4
"CAMILLA PICKNEY PRICE (Write-In)",2
"EDWARD D PADILIA (Write-In)",1
"GERALD CANNON (Write-In)",1
"LYNNETTE GREEN (Write-In)",1
"MCARTHUR D. JEFFERSON (Write-In)",1
"MICHAEL J OLEAGA (Write-In)",2
"MICHAEL J. OLEAGA (Write-In)",1
"MIRSA WALKER (Write-In)",1
"ROBIN CAVERNE WILSON (Write-In)",1
"ROBINSON A CRUZ (Write-In)",1
"STACEY SPENCER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",10
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","22,652"
"Unrecorded","2,722"

"Assembly District 87"
"Public Counter","25,712"
"Manually Counted Emergency",0
"Absentee/Military",536
"Federal",48
"Special Presidential",2
"Affidavit","1,585"
"Total Ballots","27,883"
"Less - Inapplicable Federal/Special Presidential Ballots",(50)
"Total Applicable Ballots","27,833"
,
"Ruben Diaz Sr. (Democratic)","23,961"
"Oswald Denis (Conservative)",807
"AARON CONCIRE (Write-In)",1
"ANNABEL PALMA (Write-In)",1
"ANNABEL PALMER (Write-In)",1
"AURORA CARRION (Write-In)",1
"CHARLES GALIOTO (Write-In)",1
"CHRISTOPHER CALDWELL (Write-In)",1
"DANIEL FIGUROA (Write-In)",1
"DANNY FIGUEROA (Write-In)",1
"GIBRAN FREILLA WILLIAMS (Write-In)",1
"IAN STEWART (Write-In)",1
"JOSE LOREN (Write-In)",1
"KENIA REYES (Write-In)",1
"MATTHEW J. WITTERSCHEIN (Write-In)",1
"MICHAEL REVIS (Write-In)",1
