,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Bronx County
 - 
All Parties and Independent Bodies




State Senator


33rd Senatorial District


Vote for 1"
"Assembly District 77"
"Public Counter","4,453"
"Manually Counted Emergency",0
"Absentee/Military",117
"Federal",13
"Special Presidential",0
"Affidavit",392
"Total Ballots","4,975"
"Less - Inapplicable Federal/Special Presidential Ballots",(13)
"Total Applicable Ballots","4,962"
,
"J. Gustavo Rivera (Democratic)","3,980"
"Steven M. Stern (Conservative)",49
"J. Gustavo Rivera (Working Families)",83
"DANA INNISS (Write-In)",1
"ROBERT SANO (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes","4,115"
"Unrecorded",847

"Assembly District 78"
"Public Counter","19,709"
"Manually Counted Emergency",0
"Absentee/Military",477
"Federal",49
"Special Presidential",0
"Affidavit","1,664"
"Total Ballots","21,899"
"Less - Inapplicable Federal/Special Presidential Ballots",(49)
"Total Applicable Ballots","21,850"
,
"J. Gustavo Rivera (Democratic)","17,433"
"Steven M. Stern (Conservative)",380
"J. Gustavo Rivera (Working Families)",522
"BERNIE SANDERS (Write-In)",1
"FERNANDO CABRERA (Write-In)",1
"ISCHIA BRAVO (Write-In)",2
"KYREL ZANTONAVITCH (Write-In)",1
"SAMELYS LOPEZ (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",6
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","18,348"
"Unrecorded","3,502"

"Assembly District 79"
"Public Counter","9,787"
"Manually Counted Emergency",0
"Absentee/Military",194
"Federal",11
"Special Presidential",0
"Affidavit",915
"Total Ballots","10,907"
"Less - Inapplicable Federal/Special Presidential Ballots",(11)
"Total Applicable Ballots","10,896"
,
"J. Gustavo Rivera (Democratic)","8,662"
"Steven M. Stern (Conservative)",115
"J. Gustavo Rivera (Working Families)",201
"KATRINA ASANTE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VICTOR HUGO GUTIERREZ (Write-In)",1
,
,
,
"Total Votes","8,984"
"Unrecorded","1,912"

"Assembly District 80"
"Public Counter","1,633"
"Manually Counted Emergency",0
"Absentee/Military",32
"Federal",8
"Special Presidential",0
"Affidavit",112
"Total Ballots","1,785"
"Less - Inapplicable Federal/Special Presidential Ballots",(8)
"Total Applicable Ballots","1,777"
,
"J. Gustavo Rivera (Democratic)","1,353"
"Steven M. Stern (Conservative)",97
"J. Gustavo Rivera (Working Families)",65
"JEDY FERONY (Write-In)",1
"MICHELLE OBAMA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",4
,
,
,
"Total Votes","1,521"
"Unrecorded",256

"Assembly District 81"
"Public Counter","5,979"
"Manually Counted Emergency",0
"Absentee/Military",437
"Federal",37
"Special Presidential",0
"Affidavit",358
"Total Ballots","6,811"
"Less - Inapplicable Federal/Special Presidential Ballots",(37)
"Total Applicable Ballots","6,774"
,
"J. Gustavo Rivera (Democratic)","5,207"
"Steven M. Stern (Conservative)",213
"J. Gustavo Rivera (Working Families)",163
"FERNANDO AQUINO (Write-In)",2
"MALGORZATA MORAWSKA (Write-In)",2
"ROBIN LAVERNE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes","5,589"
"Unrecorded","1,185"

"Assembly District 86"
"Public Counter","25,008"
"Manually Counted Emergency",0
"Absentee/Military","1,015"
"Federal",40
"Special Presidential",2
"Affidavit","1,853"
"Total Ballots","27,918"
"Less - Inapplicable Federal/Special Presidential Ballots",(42)
"Total Applicable Ballots","27,876"
,
"J. Gustavo Rivera (Democratic)","20,922"
"Steven M. Stern (Conservative)",390
"J. Gustavo Rivera (Working Families)",599
"ADRIANO ESPAILLAT (Write-In)",1
"ADRIANO ESPALLAT (Write-In)",1
