"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"77","064","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Public Counter",142
"77","064","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Manually Counted Emergency",0
"77","064","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Absentee/Military",9
"77","064","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Federal",0
"77","064","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Special Presidential",0
"77","064","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Affidavit",14
"77","064","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Rafael Salamanca  (Democratic)",132
"77","064","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Scattered",1
"79","004","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Public Counter",303
"79","004","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Manually Counted Emergency",0
"79","004","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Absentee/Military",9
"79","004","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Federal",0
"79","004","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Special Presidential",0
"79","004","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Affidavit",42
"79","004","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Rafael Salamanca  (Democratic)",281
"79","005","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Public Counter",492
"79","005","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Manually Counted Emergency",0
"79","005","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Absentee/Military",16
"79","005","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Federal",0
"79","005","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Special Presidential",0
"79","005","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Affidavit",42
"79","005","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Rafael Salamanca  (Democratic)",429
"79","006","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Public Counter",362
"79","006","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Manually Counted Emergency",0
"79","006","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Absentee/Military",4
"79","006","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Federal",0
"79","006","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Special Presidential",0
"79","006","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Affidavit",27
"79","006","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Rafael Salamanca  (Democratic)",275
"79","006","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Scattered",1
"79","007","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Public Counter",430
"79","007","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Manually Counted Emergency",0
"79","007","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Absentee/Military",13
"79","007","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","17",1,"Federal",0
