,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Bronx County
 - 
All Parties and Independent Bodies




Member of the Assembly


80th Assembly District


Vote for 1"
"Assembly District 80"
"Public Counter","32,676"
"Manually Counted Emergency",1
"Absentee/Military","1,140"
"Federal",115
"Special Presidential",2
"Affidavit","1,586"
"Total Ballots","35,520"
"Less - Inapplicable Federal/Special Presidential Ballots",(117)
"Total Applicable Ballots","35,403"
,
"Mark Gjonaj (Democratic)","24,959"
"Nicholas Marricco (Republican)","3,391"
"Robert Goodman (Conservative)",953
"ALBERT WILLMORE (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"CHRIS MOBILIN (Write-In)",1
"DAVID ORTIZ (Write-In)",1
"DAX T SHUFFIELD (Write-In)",1
"DONALD GREEN (Write-In)",1
"ISCHIA BRAVO (Write-In)",1
"JAMES VACCA (Write-In)",1
"JUDY FERONY (Write-In)",1
"MARGERET GROARKE (Write-In)",1
"MAX ZAPPONE (Write-In)",1
"MEGAN WEISBERBER (Write-In)",1
"NAOMI RIVERA (Write-In)",4
"NEHEMIAH HODGES (Write-In)",1
"OSCAR LOPEZ RIVERA (Write-In)",1
"RACHEL MADDOW (Write-In)",1
"RAPHEL SCHWEIZER (Write-In)",1
"RICHARD NAGAN (Write-In)",1
"RODOLFO OSMO (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",13
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
,
,
,
"Total Votes","29,340"
"Unrecorded","6,063"

"Total for Member of the Assembly (80th Assembly District) - Bronx County"
"Public Counter","32,676"
"Manually Counted Emergency",1
"Absentee/Military","1,140"
"Federal",115
"Special Presidential",2
"Affidavit","1,586"
"Total Ballots","35,520"
"Less - Inapplicable Federal/Special Presidential Ballots",(117)
"Total Applicable Ballots","35,403"
,
"Mark Gjonaj (Democratic)","24,959"
"Nicholas Marricco (Republican)","3,391"
"Robert Goodman (Conservative)",953
"ALBERT WILLMORE (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"CHRIS MOBILIN (Write-In)",1
"DAVID ORTIZ (Write-In)",1
"DAX T SHUFFIELD (Write-In)",1
"DONALD GREEN (Write-In)",1
"ISCHIA BRAVO (Write-In)",1
"JAMES VACCA (Write-In)",1
"JUDY FERONY (Write-In)",1
"MARGERET GROARKE (Write-In)",1
"MAX ZAPPONE (Write-In)",1
"MEGAN WEISBERBER (Write-In)",1
"NAOMI RIVERA (Write-In)",4
"NEHEMIAH HODGES (Write-In)",1
"OSCAR LOPEZ RIVERA (Write-In)",1
"RACHEL MADDOW (Write-In)",1
"RAPHEL SCHWEIZER (Write-In)",1
"RICHARD NAGAN (Write-In)",1
"RODOLFO OSMO (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",13
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
,
,
,
"Total Votes","29,340"
"Unrecorded","6,063"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
