,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Bronx County
 - 
All Parties and Independent Bodies




Member of the Assembly


82nd Assembly District


Vote for 1"
"Assembly District 82"
"Public Counter","42,982"
"Manually Counted Emergency",84
"Absentee/Military","1,383"
"Federal",125
"Special Presidential",4
"Affidavit","1,423"
"Total Ballots","46,001"
"Less - Inapplicable Federal/Special Presidential Ballots",(129)
"Total Applicable Ballots","45,872"
,
"Michael R. Benedetto (Democratic)","31,091"
"Noel Lopez (Republican)","5,737"
"William E. Britt Jr. (Conservative)","1,549"
"ADAM ALGARIN (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"DEVON BANCROFT (Write-In)",1
"EARL SMITH (Write-In)",1
"JERAL WRIGHT (Write-In)",1
"JOSE ANTONIO GONZALEZ JR. (Write-In)",1
"MARTIN TORRES (Write-In)",1
"NAHDIA HAMILTON (Write-In)",1
"NYCLIA ROMO (Write-In)",1
"PHILANDO CASTILLE (Write-In)",1
"SHANAS NILAM (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",17
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VERMIN SUPREME (Write-In)",1
,
,
,
"Total Votes","38,407"
"Unrecorded","7,465"

"Total for Member of the Assembly (82nd Assembly District) - Bronx County"
"Public Counter","42,982"
"Manually Counted Emergency",84
"Absentee/Military","1,383"
"Federal",125
"Special Presidential",4
"Affidavit","1,423"
"Total Ballots","46,001"
"Less - Inapplicable Federal/Special Presidential Ballots",(129)
"Total Applicable Ballots","45,872"
,
"Michael R. Benedetto (Democratic)","31,091"
"Noel Lopez (Republican)","5,737"
"William E. Britt Jr. (Conservative)","1,549"
"ADAM ALGARIN (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"DEVON BANCROFT (Write-In)",1
"EARL SMITH (Write-In)",1
"JERAL WRIGHT (Write-In)",1
"JOSE ANTONIO GONZALEZ JR. (Write-In)",1
"MARTIN TORRES (Write-In)",1
"NAHDIA HAMILTON (Write-In)",1
"NYCLIA ROMO (Write-In)",1
"PHILANDO CASTILLE (Write-In)",1
"SHANAS NILAM (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",17
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VERMIN SUPREME (Write-In)",1
,
,
,
"Total Votes","38,407"
"Unrecorded","7,465"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
