,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Bronx County
 - 
All Parties and Independent Bodies




Member of the Assembly


87th Assembly District


Vote for 1"
"Assembly District 87"
"Public Counter","35,039"
"Manually Counted Emergency",0
"Absentee/Military",698
"Federal",60
"Special Presidential",2
"Affidavit","2,152"
"Total Ballots","37,951"
"Less - Inapplicable Federal/Special Presidential Ballots",(62)
"Total Applicable Ballots","37,889"
,
"Luis R. Sepulveda (Democratic)","30,128"
"Michael Dennis (Conservative)","1,218"
"AURORA CARRION (Write-In)",1
"DANION BASCOMBE (Write-In)",1
"DOLON TALUKDER (Write-In)",1
"EDWIN SORANO (Write-In)",1
"JEANETTE HASBERO (Write-In)",1
"JONATHAN P GOINS (Write-In)",1
"OVID JERMAN (Write-In)",1
"PAMELA MARTINEZ (Write-In)",1
"PAMELA STEWART-MARTINEZ (Write-In)",3
"PAULINE FIGUROA (Write-In)",1
"PAULINE FIGURORA (Write-In)",1
"PETER M. RIVERA (Write-In)",1
"SONIA CHAMBERS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",15
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
,
,
,
"Total Votes","31,379"
"Unrecorded","6,510"

"Total for Member of the Assembly (87th Assembly District) - Bronx County"
"Public Counter","35,039"
"Manually Counted Emergency",0
"Absentee/Military",698
"Federal",60
"Special Presidential",2
"Affidavit","2,152"
"Total Ballots","37,951"
"Less - Inapplicable Federal/Special Presidential Ballots",(62)
"Total Applicable Ballots","37,889"
,
"Luis R. Sepulveda (Democratic)","30,128"
"Michael Dennis (Conservative)","1,218"
"AURORA CARRION (Write-In)",1
"DANION BASCOMBE (Write-In)",1
"DOLON TALUKDER (Write-In)",1
"EDWIN SORANO (Write-In)",1
"JEANETTE HASBERO (Write-In)",1
"JONATHAN P GOINS (Write-In)",1
"OVID JERMAN (Write-In)",1
"PAMELA MARTINEZ (Write-In)",1
"PAMELA STEWART-MARTINEZ (Write-In)",3
"PAULINE FIGUROA (Write-In)",1
"PAULINE FIGURORA (Write-In)",1
"PETER M. RIVERA (Write-In)",1
"SONIA CHAMBERS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",15
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
,
,
,
"Total Votes","31,379"
"Unrecorded","6,510"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
