,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Bronx County
 - 
All Parties and Independent Bodies




Judge of the Civil Court - District


2nd Municipal Court District - Bronx


Vote for 1"
"Assembly District 77"
"Public Counter","31,129"
"Manually Counted Emergency",0
"Absentee/Military",731
"Federal",54
"Special Presidential",3
"Affidavit","2,370"
"Total Ballots","34,287"
"Less - Inapplicable Federal/Special Presidential Ballots",(57)
"Total Applicable Ballots","34,230"
,
"Bianka Perez (Democratic)","27,697"
"ARTHUR BROWN (Write-In)",1
"BRIAN OMOSAYA (Write-In)",1
"CARLA Y BROWN (Write-In)",1
"FR. RICHIE (Write-In)",1
"JAMES BROWN (Write-In)",1
"LUCILA RUTINEL (Write-In)",1
"MANUEL MARTINEZ (Write-In)",1
"MARK LEVIN (Write-In)",1
"PATRICIA TITLEY (Write-In)",1
"RENE ENCARNACION (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",11
"VICTOR GRAVES (Write-In)",1
"WYNTON MARSALIS (Write-In)",1
,
,
,
"Total Votes","27,720"
"Unrecorded","6,510"

"Assembly District 78"
"Public Counter","24,577"
"Manually Counted Emergency",0
"Absentee/Military",598
"Federal",72
"Special Presidential",0
"Affidavit","2,023"
"Total Ballots","27,270"
"Less - Inapplicable Federal/Special Presidential Ballots",(72)
"Total Applicable Ballots","27,198"
,
"Bianka Perez (Democratic)","21,466"
"ANITA GARDELLA (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"CARL BAECHEL (Write-In)",1
"CARMEN JAVIER (Write-In)",1
"CHAD ROYER (Write-In)",1
"CHARLES MILLER (Write-In)",1
"CHRISTOPHER MCCOLLINS (Write-In)",1
"FRANCIS MENARD (Write-In)",1
"GEORGE CHESSER (Write-In)",1
"GIANCARLO MALINCOICO (Write-In)",1
"GINA GUADAGNO (Write-In)",1
"JONATHAN TARHARKA (Write-In)",1
"JOSEPH S GENOVESE (Write-In)",1
"MARTHA FELIPE (Write-In)",1
"MEGAN GUZMAN (Write-In)",1
"MYRNA SOCORRO (Write-In)",1
"PAUL KALAUPJIAN (Write-In)",1
"RENE HERNANDEZ (Write-In)",1
"RON PAUL (Write-In)",1
"SIMON PEREZ (Write-In)",1
"TROY FROEBE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",22
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","21,510"
"Unrecorded","5,688"

"Assembly District 79"
"Public Counter","26,441"
"Manually Counted Emergency",0
"Absentee/Military",560
"Federal",21
"Special Presidential",0
"Affidavit","1,888"
"Total Ballots","28,910"
"Less - Inapplicable Federal/Special Presidential Ballots",(21)
"Total Applicable Ballots","28,889"
,
"Bianka Perez (Democratic)","23,360"
"BERNIE SANDERS (Write-In)",2
"MIGUEL CARMEN (Write-In)",1
"NEFRETIRI HEADLEY (Write-In)",1
"OCTAVIO MESA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",11
"VICTOR HUGO GUTIERREZ (Write-In)",1
,
,
,
"Total Votes","23,377"
"Unrecorded","5,512"

"Assembly District 80"
"Public Counter","7,311"
"Manually Counted Emergency",0
"Absentee/Military",173
"Federal",22
"Special Presidential",0
"Affidavit",442
"Total Ballots","7,948"
"Less - Inapplicable Federal/Special Presidential Ballots",(22)
"Total Applicable Ballots","7,926"
,
"Bianka Perez (Democratic)","6,378"
"ANGELO NARDONE (Write-In)",1
"JAMES VISSER (Write-In)",2
"JULIO C REYNOSO (Write-In)",1
"MICHAEL VARGA (Write-In)",1
"PATRICK STEWART (Write-In)",1
"RANDALL BANKS JR (Write-In)",1
"RICHARD FORD (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",6
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","6,393"
"Unrecorded","1,533"

"Assembly District 81"
"Public Counter","37,191"
"Manually Counted Emergency",0
"Absentee/Military","2,300"
"Federal",480
"Special Presidential",3
"Affidavit","1,463"
"Total Ballots","41,437"
"Less - Inapplicable Federal/Special Presidential Ballots",(483)
"Total Applicable Ballots","40,954"
,
"Bianka Perez (Democratic)","30,201"
"ABIGAIL CASINS (Write-In)",1
"ALAN N. REEO (Write-In)",1
"ANDREW CAMPBELL (Write-In)",1
"ANTHONY FRIEDMAN (Write-In)",1
"ARTHUR GALLAGHER (Write-In)",1
"ARTHUR GIORDANO (Write-In)",1
"BERNIE SANDERS (Write-In)",3
"BIANCA JUGGER (Write-In)",1
"BRETT R HUPART (Write-In)",1
"BRETT R. HUPART (Write-In)",1
"BRUCE BARNETT (Write-In)",1
"CHANDOR GUMBLE (Write-In)",1
"CHARLES EVANS (Write-In)",1
"CHARLIE ROSE (Write-In)",1
"CHRIS LYNCH (Write-In)",1
"CHRISTINE FINKLE (Write-In)",1
"CYNTHNIA VELLA (Write-In)",1
"DANIEL J KARNS (Write-In)",1
"DAVID PATTERSON (Write-In)",1
"DAVINA FIGEROUX (Write-In)",1
"DEBRA MALDONADO (Write-In)",1
"DENNIS MARTAIN (Write-In)",1
"DINA YAISH (Write-In)",1
"DONALD J. TRUMP (Write-In)",1
"DORIAN A WALSH (Write-In)",1
"DORIS B. JACKSON (Write-In)",2
"ELIZABETH BLACK (Write-In)",1
"ETHAN MCGREGOR (Write-In)",1
"GABRIEL SPECIALE (Write-In)",1
"GAIL PURVIS BRATMAN (Write-In)",1
"GARY JOHNSON (Write-In)",1
"GREG MATHIS (Write-In)",1
"JEFF KLEIN (Write-In)",1
"JEFFERY GLUCKSMAN (Write-In)",1
"JEFFREY GONDOESQ (Write-In)",1
