,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Kings County
 - 
All Parties and Independent Bodies




President/Vice President


Citywide


Vote for 1"
"Assembly District 41"
"Public Counter","37,700"
"Manually Counted Emergency",0
"Absentee/Military","1,094"
"Federal",163
"Special Presidential",0
"Affidavit",911
"Total Ballots","39,868"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","39,868"
,
"Hillary Clinton / Tim Kaine (Democratic)","23,105"
"Donald J. Trump / Michael R. Pence (Republican)","13,627"
"Donald J. Trump / Michael R. Pence (Conservative)","1,118"
"Jill Stein / Ajamu Baraka (Green)",427
"Hillary Clinton / Tim Kaine (Working Families)",553
"Gary Johnson / Bill Weld (Independence)",292
"Hillary Clinton / Tim Kaine (Women's Equality)",68
"Gary Johnson / Bill Weld (Libertarian)",112
"DARRELL CASTLE (Official Write-In)",3
"EMIDIO SOLTYSIK (Official Write-In)",1
"EVAN MCMULLIN (Official Write-In)",18
"NEER R. ASHERIE (Official Write-In)",1
"TOM HOEFLING (Official Write-In)",4
"EVAN MC MULLIN (Write-In)",14
"UNATTRIBUTABLE WRITE-IN (Write-In)",245
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
,
,
,
"Total Votes","39,590"
"Unrecorded",278

"Assembly District 42"
"Public Counter","38,459"
"Manually Counted Emergency",0
"Absentee/Military","1,156"
"Federal",187
"Special Presidential",0
"Affidavit","1,301"
"Total Ballots","41,103"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","41,103"
,
"Hillary Clinton / Tim Kaine (Democratic)","34,064"
"Donald J. Trump / Michael R. Pence (Republican)","3,977"
"Donald J. Trump / Michael R. Pence (Conservative)",359
"Jill Stein / Ajamu Baraka (Green)",559
"Hillary Clinton / Tim Kaine (Working Families)","1,273"
"Gary Johnson / Bill Weld (Independence)",161
"Hillary Clinton / Tim Kaine (Women's Equality)",100
"Gary Johnson / Bill Weld (Libertarian)",65
"EVAN MCMULLIN (Official Write-In)",14
"GLORIA LA RIVA (Official Write-In)",3
"JEFFREY MACKLER (Official Write-In)",2
"MICHAEL A. MATUREN (Official Write-In)",2
"EVAN MC MULLIN (Write-In)",10
"UNATTRIBUTABLE WRITE-IN (Write-In)",216
,
,
,
"Total Votes","40,805"
"Unrecorded",298

"Assembly District 43"
"Public Counter","40,932"
"Manually Counted Emergency",522
"Absentee/Military","1,349"
"Federal",206
"Special Presidential",2
"Affidavit","1,336"
"Total Ballots","44,347"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","44,347"
,
"Hillary Clinton / Tim Kaine (Democratic)","37,602"
"Donald J. Trump / Michael R. Pence (Republican)","3,141"
"Donald J. Trump / Michael R. Pence (Conservative)",450
"Jill Stein / Ajamu Baraka (Green)",764
"Hillary Clinton / Tim Kaine (Working Families)","1,551"
"Gary Johnson / Bill Weld (Independence)",173
"Hillary Clinton / Tim Kaine (Women's Equality)",122
"Gary Johnson / Bill Weld (Libertarian)",79
"EMIDIO SOLTYSIK (Official Write-In)",2
"EVAN MCMULLIN (Official Write-In)",46
"GLORIA LA RIVA (Official Write-In)",2
"JEFFREY MACKLER (Official Write-In)",1
"EVAN MC MULLIN (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",191
,
,
,
"Total Votes","44,125"
"Unrecorded",222

"Assembly District 44"
"Public Counter","42,343"
"Manually Counted Emergency",0
"Absentee/Military","1,528"
"Federal",265
"Special Presidential",0
"Affidavit",826
"Total Ballots","44,962"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","44,962"
,
"Hillary Clinton / Tim Kaine (Democratic)","31,427"
"Donald J. Trump / Michael R. Pence (Republican)","7,442"
"Donald J. Trump / Michael R. Pence (Conservative)",820
"Jill Stein / Ajamu Baraka (Green)",838
"Hillary Clinton / Tim Kaine (Working Families)","3,086"
"Gary Johnson / Bill Weld (Independence)",320
"Hillary Clinton / Tim Kaine (Women's Equality)",151
"Gary Johnson / Bill Weld (Libertarian)",158
"CLIFTON ROBERTS (Official Write-In)",2
"DARRELL CASTLE (Official Write-In)",1
"EMIDIO SOLTYSIK (Official Write-In)",1
"EVAN MCMULLIN (Official Write-In)",39
"GLORIA LA RIVA (Official Write-In)",3
"JEFFREY MACKLER (Official Write-In)",1
"LYNN KAHN (Official Write-In)",1
"MICHAEL A. MATUREN (Official Write-In)",1
"NEER R. ASHERIE (Official Write-In)",1
"“ROCKY” ROGUE DE LA FUENTE (Write-In)",1
"EVAN MC MULLIN (Write-In)",5
"UNATTRIBUTABLE WRITE-IN (Write-In)",360
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
,
,
,
"Total Votes","44,661"
"Unrecorded",301

"Assembly District 45"
"Public Counter","28,147"
"Manually Counted Emergency",0
"Absentee/Military",728
"Federal",172
"Special Presidential",0
"Affidavit",874
"Total Ballots","29,921"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","29,921"
,
"Hillary Clinton / Tim Kaine (Democratic)","11,086"
"Donald J. Trump / Michael R. Pence (Republican)","16,146"
"Donald J. Trump / Michael R. Pence (Conservative)","1,140"
"Jill Stein / Ajamu Baraka (Green)",318
"Hillary Clinton / Tim Kaine (Working Families)",333
"Gary Johnson / Bill Weld (Independence)",288
"Hillary Clinton / Tim Kaine (Women's Equality)",50
"Gary Johnson / Bill Weld (Libertarian)",106
"CHRIS KENISTON (Official Write-In)",1
"DARRELL CASTLE (Official Write-In)",4
"EVAN MCMULLIN (Official Write-In)",18
"TOM HOEFLING (Official Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",197
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
"ZOLTAN ISTVANGYURKO (Write-In)",1
,
,
,
"Total Votes","29,691"
"Unrecorded",230

"Assembly District 46"
"Public Counter","37,399"
"Manually Counted Emergency",0
"Absentee/Military","1,191"
"Federal",162
"Special Presidential",0
"Affidavit","1,020"
"Total Ballots","39,772"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","39,772"
,
"Hillary Clinton / Tim Kaine (Democratic)","19,702"
"Donald J. Trump / Michael R. Pence (Republican)","16,340"
"Donald J. Trump / Michael R. Pence (Conservative)","1,290"
"Jill Stein / Ajamu Baraka (Green)",562
"Hillary Clinton / Tim Kaine (Working Families)",686
"Gary Johnson / Bill Weld (Independence)",395
"Hillary Clinton / Tim Kaine (Women's Equality)",93
"Gary Johnson / Bill Weld (Libertarian)",132
"CLIFTON ROBERTS (Official Write-In)",2
"DARRELL CASTLE (Official Write-In)",1
"EMIDIO SOLTYSIK (Official Write-In)",1
"EVAN MCMULLIN (Official Write-In)",45
"MICHAEL A. MATUREN (Official Write-In)",2
"TOM HOEFLING (Official Write-In)",2
"EVAN MC MULLIN (Write-In)",2
"UNATTRIBUTABLE WRITE-IN (Write-In)",242
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
,
,
,
"Total Votes","39,499"
"Unrecorded",273

"Assembly District 47"
"Public Counter","25,327"
"Manually Counted Emergency",0
"Absentee/Military",691
"Federal",93
"Special Presidential",0
"Affidavit",662
"Total Ballots","26,773"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","26,773"
,
"Hillary Clinton / Tim Kaine (Democratic)","13,482"
