,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Kings County
 - 
All Parties and Independent Bodies




United States Senator


Citywide


Vote for 1"
"Assembly District 41"
"Public Counter","37,700"
"Manually Counted Emergency",0
"Absentee/Military","1,094"
"Federal",163
"Special Presidential",0
"Affidavit",911
"Total Ballots","39,868"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","39,868"
,
"Charles E. Schumer (Democratic)","27,408"
"Wendy Long (Republican)","6,774"
"Wendy Long (Conservative)",944
"Robin Laverne Wilson (Green)",476
"Charles E. Schumer (Working Families)",978
"Charles E. Schumer (Independence)",493
"Charles E. Schumer (Women's Equality)",91
"Wendy Long (Reform)",60
"Alex Merced (Libertarian)",146
"ALEX ZAV (Write-In)",1
"ALTON MADDOX JR (Write-In)",1
"ANTHONY WEINER (Write-In)",1
"BRYON MCKIM (Write-In)",1
"CLESKIE STERN (Write-In)",1
"COREY SCHNEIDER (Write-In)",1
"DALEN LATIT ZADE (Write-In)",1
"DERRICK S. MORENO (Write-In)",1
"GILL RADLEY (Write-In)",1
"JACOB PERASSO (Write-In)",1
"MELISSA PEAT (Write-In)",1
"OLEG KLEBAN (Write-In)",1
"PREET BHARARA (Write-In)",1
"SHERMAN ZEXIL (Write-In)",1
"TAT PICOTT (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",8
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VALDIMIR PUTIN (Write-In)",1
,
,
,
"Total Votes","37,395"
"Unrecorded","2,473"

"Assembly District 42"
"Public Counter","38,459"
"Manually Counted Emergency",0
"Absentee/Military","1,156"
"Federal",187
"Special Presidential",0
"Affidavit","1,301"
"Total Ballots","41,103"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","41,103"
,
"Charles E. Schumer (Democratic)","34,458"
"Wendy Long (Republican)","1,935"
"Wendy Long (Conservative)",331
"Robin Laverne Wilson (Green)",970
"Charles E. Schumer (Working Families)","1,377"
"Charles E. Schumer (Independence)",260
"Charles E. Schumer (Women's Equality)",118
"Wendy Long (Reform)",41
"Alex Merced (Libertarian)",99
"ANTHONY WEINER (Write-In)",1
"AVI KING (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"EPHARM BARDUCK (Write-In)",1
"GARRETT O' CONNOR (Write-In)",1
"GLORIA LA REVA (Write-In)",1
"HOWIE HAWKINS (Write-In)",1
"JACOB PERASSO (Write-In)",2
"NAFTALJ J. MILES (Write-In)",1
"SANDRA LIPKOWITZ (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",9
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","39,611"
"Unrecorded","1,492"

"Assembly District 43"
"Public Counter","40,932"
"Manually Counted Emergency",522
"Absentee/Military","1,349"
"Federal",206
"Special Presidential",2
"Affidavit","1,336"
"Total Ballots","44,347"
"Less - Inapplicable Federal/Special Presidential Ballots",(2)
"Total Applicable Ballots","44,345"
,
"Charles E. Schumer (Democratic)","36,868"
"Wendy Long (Republican)","1,926"
"Wendy Long (Conservative)",484
"Robin Laverne Wilson (Green)","1,245"
"Charles E. Schumer (Working Families)","1,626"
"Charles E. Schumer (Independence)",238
"Charles E. Schumer (Women's Equality)",119
"Wendy Long (Reform)",63
"Alex Merced (Libertarian)",137
"ALTON MADDOX JR (Write-In)",1
"BARACK OBAMA (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"JACOB PENASSO (Write-In)",1
"JACOB PERASSO (Write-In)",2
"JAMES WILSON (Write-In)",1
"JESSICA KLONSKY (Write-In)",1
"MOCHA DARLIN LOWERY (Write-In)",1
"MUSHKA BLOTNER (Write-In)",1
"NASIK JONES (Write-In)",1
"P DERRICK SHIVERS (Write-In)",1
"PASTOR JACK GRAHAM (Write-In)",1
"ROBERT J. MARIK JR. (Write-In)",1
"RUBAN DANCEY (Write-In)",1
"SAGE HOWARD (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",17
"VERMIN SUPREME (Write-In)",1
,
,
,
"Total Votes","42,740"
"Unrecorded","1,605"

"Assembly District 44"
"Public Counter","42,343"
"Manually Counted Emergency",0
"Absentee/Military","1,528"
"Federal",265
"Special Presidential",0
"Affidavit",826
"Total Ballots","44,962"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","44,962"
,
"Charles E. Schumer (Democratic)","32,224"
"Wendy Long (Republican)","4,110"
"Wendy Long (Conservative)",753
"Robin Laverne Wilson (Green)","1,450"
"Charles E. Schumer (Working Families)","3,256"
"Charles E. Schumer (Independence)",458
"Charles E. Schumer (Women's Equality)",196
"Wendy Long (Reform)",89
"Alex Merced (Libertarian)",210
"AMY SCHUMER (Write-In)",1
"ASIER FOGEL (Write-In)",1
"BRACHA FREILICH (Write-In)",1
"CHERYL A GARTHAND (Write-In)",1
"CLARA NEIGER (Write-In)",1
"DAVID SAUDGRUND (Write-In)",1
"ERIC MC CLORE (Write-In)",1
"ERIC MCCLURE (Write-In)",2
"ERIC W MCCLURE (Write-In)",1
"ESTYER TALANSKY (Write-In)",1
"HADI NIFOROSHAN (Write-In)",1
"JACOB PERASSO (Write-In)",1
"JACOB PERRASO (Write-In)",1
"JERRY SILVER (Write-In)",1
"JIMMY MC MILLIN (Write-In)",1
"JOHN CEWA (Write-In)",1
"JOHN HODGMAN (Write-In)",1
"MARTIN HIRTENFELD (Write-In)",1
"MIRIAM BARGER (Write-In)",1
"RACHEL F. DIAMANT (Write-In)",1
"ROBERT BENJAMIN (Write-In)",1
"SARA NICCOLI (Write-In)",1
"SHMULY BEITEL (Write-In)",1
"SIMCHA STROH (Write-In)",1
"STEVE VELLAM (Write-In)",1
"TILL SALZER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",16
"Y.Y. WEBER (Write-In)",1
"ZEPHYR TEACHOUT (Write-In)",1
,
,
,
"Total Votes","42,791"
"Unrecorded","2,171"

"Assembly District 45"
"Public Counter","28,147"
"Manually Counted Emergency",0
"Absentee/Military",728
"Federal",172
"Special Presidential",0
"Affidavit",874
"Total Ballots","29,921"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","29,921"
,
"Charles E. Schumer (Democratic)","15,937"
"Wendy Long (Republican)","7,850"
"Wendy Long (Conservative)",925
"Robin Laverne Wilson (Green)",380
"Charles E. Schumer (Working Families)",795
"Charles E. Schumer (Independence)",538
"Charles E. Schumer (Women's Equality)",98
"Wendy Long (Reform)",45
"Alex Merced (Libertarian)",128
"BERNIE SANDERS (Write-In)",1
"BILLY WEST (Write-In)",1
"DENIS SERDIOUK (Write-In)",1
"ERIC ADAMS (Write-In)",1
"KEITH HERNENDEZ (Write-In)",1
"MARTIN GOLDEN (Write-In)",2
"ROGER MATHEW (Write-In)",1
"RON ROWEL (Write-In)",1
"STEVEN J ROBINSON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",11
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","26,718"
"Unrecorded","3,203"

"Assembly District 46"
"Public Counter","37,399"
"Manually Counted Emergency",0
"Absentee/Military","1,191"
"Federal",162
"Special Presidential",0
"Affidavit","1,020"
"Total Ballots","39,772"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","39,772"
,
"Charles E. Schumer (Democratic)","23,041"
"Wendy Long (Republican)","9,290"
"Wendy Long (Conservative)","1,163"
"Robin Laverne Wilson (Green)",659
"Charles E. Schumer (Working Families)","1,113"
"Charles E. Schumer (Independence)",594
"Charles E. Schumer (Women's Equality)",117
"Wendy Long (Reform)",66
"Alex Merced (Libertarian)",182
"ANGELA NICOLE (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"CHRIS VIGGIANO (Write-In)",1
"HARAMBE (Write-In)",1
"NASIER JONES (Write-In)",1
"SAID SOUEIDAN (Write-In)",1
"SANDRA LEE CHRISTIAN (Write-In)",2
"SUE SIMMONS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",10
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","36,245"
"Unrecorded","3,527"

"Assembly District 47"
"Public Counter","25,327"
"Manually Counted Emergency",0
"Absentee/Military",691
"Federal",93
"Special Presidential",0
"Affidavit",662
"Total Ballots","26,773"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","26,773"
,
"Charles E. Schumer (Democratic)","15,217"
"Wendy Long (Republican)","5,752"
"Wendy Long (Conservative)",705
"Robin Laverne Wilson (Green)",419
"Charles E. Schumer (Working Families)",797
"Charles E. Schumer (Independence)",395
"Charles E. Schumer (Women's Equality)",105
"Wendy Long (Reform)",90
"Alex Merced (Libertarian)",129
"AHMED HEIBA (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"CAMPANELLA LOUIS (Write-In)",1
"DAN BONANNO (Write-In)",1
"DOUGLAS WILLIAM JONES III (Write-In)",1
"GERALDINE TESTA (Write-In)",1
"IGOR TOLKACHEV (Write-In)",1
"JACOB PERASSO (Write-In)",2
"JOHN BROWN (Write-In)",1
"LEPHYR TEACHOUT (Write-In)",1
"LEW LEVIN (Write-In)",1
"LEWIS BAMSEY (Write-In)",1
"LINDA SARSOUK (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",9
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"ZEPHYR TEACHOUT (Write-In)",1
,
,
,
"Total Votes","23,634"
"Unrecorded","3,139"

"Assembly District 48"
"Public Counter","25,096"
"Manually Counted Emergency",0
"Absentee/Military",489
"Federal",308
"Special Presidential",0
"Affidavit",579
"Total Ballots","26,472"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","26,472"
,
"Charles E. Schumer (Democratic)","14,131"
"Wendy Long (Republican)","6,678"
"Wendy Long (Conservative)","1,195"
"Robin Laverne Wilson (Green)",242
"Charles E. Schumer (Working Families)",677
"Charles E. Schumer (Independence)",512
"Charles E. Schumer (Women's Equality)",58
"Wendy Long (Reform)",18
"Alex Merced (Libertarian)",73
"AARON TYK (Write-In)",1
"BERL WEINDLING (Write-In)",1
"BINEM SHRAGI (Write-In)",1
"CHAIM HALBERSTEIN (Write-In)",2
"CHANA MEISELS (Write-In)",1
"DAVID PASNER (Write-In)",1
"EDWARD ZIMMERMAN (Write-In)",1
"ELIEZAR Y LESSER (Write-In)",1
"ELIEZER AVSCH (Write-In)",1
"FRIMET GOLDSTEIN (Write-In)",1
"GINIPEL GROLNEM (Write-In)",1
"IAN D. GIRSHAK (Write-In)",1
"JACOB LANDAR (Write-In)",1
"JIMMY JOE (Write-In)",1
"JOEL STEINBERG (Write-In)",1
"LARRY ACKERMAN (Write-In)",1
"LEAH GOLDSTEIN (Write-In)",1
"MARGOLIG ERNSLER (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"MOSHE ERLICHO (Write-In)",1
"MOSKIE CHAUN PORGES (Write-In)",1
"NACHMAN HEINFELD (Write-In)",1
"NAFTULITZVI BERSTEIN (Write-In)",1
"NATHAN JOHNSON (Write-In)",1
"NOF ASKAN (Write-In)",1
"PAT MOUNIHAWE (Write-In)",1
"SIMCHA FELDER (Write-In)",2
"UNATTRIBUTABLE WRITE-IN (Write-In)",10
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
"YAEL MICHELLE SHUVEUTZ (Write-In)",1
"YECHEZTEL L PILLER (Write-In)",1
"YEHUDG KONSTAN (Write-In)",1
"YOCHONON DONN (Write-In)",1
"YOSSI GESTETNER (Write-In)",1
,
,
,
"Total Votes","23,630"
"Unrecorded","2,842"

"Assembly District 49"
"Public Counter","19,725"
"Manually Counted Emergency",0
"Absentee/Military",511
"Federal",77
"Special Presidential",0
"Affidavit",499
"Total Ballots","20,812"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","20,812"
,
"Charles E. Schumer (Democratic)","12,186"
"Wendy Long (Republican)","4,045"
"Wendy Long (Conservative)",616
"Robin Laverne Wilson (Green)",359
"Charles E. Schumer (Working Families)",679
"Charles E. Schumer (Independence)",351
"Charles E. Schumer (Women's Equality)",87
"Wendy Long (Reform)",79
"Alex Merced (Libertarian)",102
"JUAN AMUNOZ (Write-In)",1
"JUSTIN BRENNAN (Write-In)",1
"RUDY GILLIANI (Write-In)",1
"SAM HARRIS (Write-In)",1
"SIFER ASEPH (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",9
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VULLNET VELIU (Write-In)",1
,
,
,
"Total Votes","18,520"
"Unrecorded","2,292"

"Assembly District 50"
"Public Counter","36,833"
"Manually Counted Emergency",11
"Absentee/Military","1,409"
"Federal",307
"Special Presidential",0
"Affidavit","1,120"
"Total Ballots","39,680"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","39,680"
,
"Charles E. Schumer (Democratic)","29,400"
"Wendy Long (Republican)","2,958"
"Wendy Long (Conservative)",433
"Robin Laverne Wilson (Green)","1,710"
"Charles E. Schumer (Working Families)","2,048"
"Charles E. Schumer (Independence)",356
"Charles E. Schumer (Women's Equality)",277
"Wendy Long (Reform)",104
"Alex Merced (Libertarian)",280
"ABRAHAM PAVEL (Write-In)",1
"BRIAN SERIVANI (Write-In)",1
"CHARLES COUGER (Write-In)",1
"EARTLIN DAY (Write-In)",1
"ELIZABETH WARREN (Write-In)",1
"GEORGE PATAKI (Write-In)",1
"JOHN COVERDALE (Write-In)",1
"JOHN STEWART (Write-In)",1
"PAUL VOLOKER (Write-In)",1
"SANFORD E. COKER 3RD (Write-In)",1
"SARA NICCOLI (Write-In)",2
"SEAN AURITI (Write-In)",1
"TOM P. SCHMIDT (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",20
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",5
"WILLIAM S DAVIDSON JR. (Write-In)",1
"ZEPHY R. TEACHOUT (Write-In)",1
,
,
,
"Total Votes","37,607"
"Unrecorded","2,073"

"Assembly District 51"
"Public Counter","28,774"
"Manually Counted Emergency",0
"Absentee/Military",707
"Federal",156
"Special Presidential",1
"Affidavit",847
"Total Ballots","30,485"
"Less - Inapplicable Federal/Special Presidential Ballots",(1)
"Total Applicable Ballots","30,484"
,
"Charles E. Schumer (Democratic)","22,232"
"Wendy Long (Republican)","2,391"
"Wendy Long (Conservative)",378
"Robin Laverne Wilson (Green)","1,023"
"Charles E. Schumer (Working Families)","1,622"
"Charles E. Schumer (Independence)",259
"Charles E. Schumer (Women's Equality)",189
"Wendy Long (Reform)",77
"Alex Merced (Libertarian)",187
"ANTHONY DEBLASI (Write-In)",1
"BERNIE SANDERS (Write-In)",3
"BROCHA POLL (Write-In)",1
"DR. OSCAR ODOM III (Write-In)",1
"JOE CRUZ (Write-In)",1
"JUSTIN BRANNAN (Write-In)",1
"LESLIE GRUEN (Write-In)",1
"MINDY GRUEN (Write-In)",1
"ROBERT JAMES WHITE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",9
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
,
,
,
"Total Votes","28,380"
"Unrecorded","2,104"

"Assembly District 52"
"Public Counter","61,074"
"Manually Counted Emergency",1
"Absentee/Military","3,972"
"Federal",955
"Special Presidential",0
"Affidavit","1,179"
"Total Ballots","67,181"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","67,181"
,
"Charles E. Schumer (Democratic)","53,662"
"Wendy Long (Republican)","3,393"
"Wendy Long (Conservative)",491
"Robin Laverne Wilson (Green)","2,108"
"Charles E. Schumer (Working Families)","4,414"
"Charles E. Schumer (Independence)",482
"Charles E. Schumer (Women's Equality)",351
"Wendy Long (Reform)",142
"Alex Merced (Libertarian)",368
"ALLAH PUNDIL (Write-In)",1
"BARACK OBAMA (Write-In)",1
"BERNARD SANDERS (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"CATHBERT CALCULUS (Write-In)",1
"DAVID GARTNER (Write-In)",1
"DEBORAH NORSE (Write-In)",1
"DREW AKASON (Write-In)",1
"EDWARD SNOWDEN (Write-In)",1
"EGON SPENGLR (Write-In)",1
"GLENN PASANEN (Write-In)",1
"GRAYHAM BLISS (Write-In)",1
"JAY RAIBOURN (Write-In)",1
"JENNIFER FARRELLY (Write-In)",1
"JEROME WILLIAMS (Write-In)",1
"KARL ERIK STROMSTA (Write-In)",1
"KENNETH P. THOPMSON (Write-In)",1
"LETITIA JAMES (Write-In)",2
"MARTIN CONNOR (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"NATHAN DENNING (Write-In)",2
"OPAL TOMETI (Write-In)",1
"RON PAUL (Write-In)",1
"SEAN ENGLISH (Write-In)",1
"STEPANE ADAM (Write-In)",1
