,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Kings County
 - 
All Parties and Independent Bodies




Justice of the Supreme Court


2nd Judicial District


Vote for 6"
"Assembly District 41"
"Public Counter","37,700"
"Manually Counted Emergency",0
"Absentee/Military","1,094"
"Federal",163
"Special Presidential",0
"Affidavit",911
"Total Ballots","39,868"
"Less - Inapplicable Federal/Special Presidential Ballots",(163)
"Total Applicable Ballots","39,705"
,
"Mark I. Partnow (Democratic)","19,475"
"Mark I. Partnow (Conservative)","5,603"
"Leon Ruchelsman (Democratic)","17,782"
"Leon Ruchelsman (Conservative)","5,323"
"Katherine A. Levine (Democratic)","19,318"
"Katherine A. Levine (Conservative)","5,361"
"Reginald A. Boddie (Democratic)","17,357"
"Reginald A. Boddie (Conservative)","4,857"
"Peter P. Sweeney (Democratic)","17,563"
"Philip J. Smallman (Conservative)","5,777"
"Shawndya L. Simpson (Democratic)","17,266"
"Shawndya L. Simpson (Conservative)","4,685"
"ABE LUSTGADEN (Write-In)",1
"ABRAHAM BINET (Write-In)",1
"ABRAHAM HAMEL (Write-In)",1
"AHRON D. WEINBERGER (Write-In)",1
"ALAN FINTZ (Write-In)",1
"ALAN MESSINA (Write-In)",1
"ALEX JONES (Write-In)",1
"ALEX ZAV (Write-In)",6
"ALIAN ASSANGE (Write-In)",1
"ALLEN S POPPER (Write-In)",1
"ALTON MADDOX (Write-In)",1
"ALTON MADDOX JR. (Write-In)",5
"AMUL THAPAR (Write-In)",1
"ANDRES NIN (Write-In)",1
"ANDY GREEN (Write-In)",1
"ANTHONY LAMBERTI (Write-In)",1
"ANTHONY PARRONE (Write-In)",1
"ANTHONY WEINER (Write-In)",2
"ANTONIN SCALIA (Write-In)",1
"ARIELLE REINSTEIN (Write-In)",2
"ARNIE WOLSKY (Write-In)",1
"ARNOLD BINET (Write-In)",1
"ARNOLD SCHWARZNEGGER (Write-In)",1
"ARTEMS ENTRER (Write-In)",1
"ARTHUR GRUENER (Write-In)",7
"ASHIN MUGHAL (Write-In)",1
"ATAVA ORATZ (Write-In)",1
"BARACK OBAMA (Write-In)",1
"BBE SILBERSTIN (Write-In)",1
"BEN CARSON (Write-In)",2
"BERNADETTE DELRIN (Write-In)",1
"BERNIE SANDERS (Write-In)",5
"BILL CLINTON (Write-In)",1
"BILL MOON (Write-In)",1
"BISMA JEWAD HAHN (Write-In)",1
"CAMILLE MESSINA (Write-In)",1
"CHARLES BARRON (Write-In)",1
"CHARLES CANADY (Write-In)",2
"CHARLES FINKELSTEIN (Write-In)",1
"CHERYL MASSINA (Write-In)",1
"CODY WILSON (Write-In)",1
"CONSTAND VILJOEN (Write-In)",1
"COURTNEY MAIMAN (Write-In)",1
"DAVID STOROBIN (Write-In)",3
"DENIS FIRSOV (Write-In)",1
"DERRICK S. MORENO (Write-In)",6
"DEVONTE SMITH RIELY (Write-In)",1
"DICK MANN (Write-In)",1
"DONALD TRUMP (Write-In)",1
"DORON EVANS (Write-In)",1
"EDWARD MANDFIELD (Write-In)",1
"EKEN MOGLIN (Write-In)",1
"ELAZAR LIEBERMAN (Write-In)",1
"ELIMELECH HAMEL (Write-In)",1
"ELIZABETH WARREN (Write-In)",1
"ELLIOT GOLDBERG (Write-In)",1
"EMIL SASKIN (Write-In)",6
"ERIC LEB (Write-In)",1
"ERIC ROACH DENIS (Write-In)",1
"ERROL LEWIS (Write-In)",1
"ESTEE ZUCKER (Write-In)",1
"EVA EVANS (Write-In)",1
"EZRA Y WEINBERGER (Write-In)",1
"FAGLA HAMEL (Write-In)",1
"FEDERRO MORENO (Write-In)",1
"GENESIS BREYER P-ORRIDGE (Write-In)",1
"GEORGE ORWELL (Write-In)",1
"GREG RABBIL (Write-In)",1
"GYLVE FERRIS NAGELL (Write-In)",1
"HANNEL TEMPLE (Write-In)",1
"HAROLD BAKER (Write-In)",1
"HARRY TURTLEDOVE (Write-In)",1
"HENRY ROSENBERG (Write-In)",1
"HERMAN SCHVALCZ (Write-In)",1
"HERSCHEL KVUEFSKY (Write-In)",1
"HILLARY CLINTON (Write-In)",1
"HUMA ABEDIN (Write-In)",1
