"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"41","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","12",3,"Public Counter",598
"41","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","12",3,"Manually Counted Emergency",0
"41","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","12",3,"Absentee/Military",16
"41","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","12",3,"Federal",9
"41","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","12",3,"Special Presidential",0
"41","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","12",3,"Affidavit",14
"41","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","12",3,"Dena E. Douglas (Democratic)",198
"41","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","12",3,"Vincent F. Martusciello (Conservative)",186
"41","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","12",3,"John Meringolo (Reform)",33
"41","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","12",3,"Odessa Kennedy (Democratic)",208
"41","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","12",3,"Odessa Kennedy (Reform)",31
"41","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","12",3,"Jacqueline D. Williams (Democratic)",207
"41","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","12",3,"Scattered",7
"41","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","12",3,"Public Counter",596
"41","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - County","12",3,"Manually Counted Emergency",0
