,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Kings County
 - 
All Parties and Independent Bodies




Judge of the Civil Court - County


Kings


Vote for 3"
"Assembly District 41"
"Public Counter","37,700"
"Manually Counted Emergency",0
"Absentee/Military","1,094"
"Federal",163
"Special Presidential",0
"Affidavit",911
"Total Ballots","39,868"
"Less - Inapplicable Federal/Special Presidential Ballots",(163)
"Total Applicable Ballots","39,705"
,
"Dena E. Douglas (Democratic)","18,805"
"Vincent F. Martusciello (Conservative)","6,906"
"John Meringolo (Reform)","1,694"
"Odessa Kennedy (Democratic)","19,055"
"Odessa Kennedy (Reform)","1,589"
"Jacqueline D. Williams (Democratic)","19,599"
"ALEX ZAV (Write-In)",3
"ALTON MADDOX (Write-In)",1
"ALTON MADDOX JR. (Write-In)",1
"ANDREW REISMAN (Write-In)",1
"ANTHONY MORELLO (Write-In)",1
"ANTHONY PERRONE (Write-In)",2
"ARI NEUBERGER (Write-In)",1
"ARUTHUR GRUENER (Write-In)",4
"ASHIN MUGHAL (Write-In)",1
"BARRY LITXBY (Write-In)",1
"BENJAMIN MAYEZFIELD (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BILL CLINTON (Write-In)",1
"BILL COSBY (Write-In)",1
"BLAKE SPEARS (Write-In)",1
"CAMILLE D. MESSINA (Write-In)",1
"CAROL DELENDAR (Write-In)",1
"CHAIM DEVTSH (Write-In)",1
"CHARLES FINKELSTEIN (Write-In)",1
"CHERYL MASSINA (Write-In)",1
"COCO LAVA (Write-In)",1
"CONOR GILLASPE (Write-In)",1
"CONSUELO MELENDEZ (Write-In)",1
"CURTIS SLIWA (Write-In)",1
"DAVID BINSON (Write-In)",1
"DAVID HERSHEWITZ (Write-In)",1
"DAVID STOROBIN (Write-In)",1
"DERRICK S. MORENO (Write-In)",3
"DONALD TRUMP, JR. (Write-In)",3
"EDDIE ZINSER (Write-In)",1
"ELIYAHU FOGEL (Write-In)",1
"ELLIOT LECHNER (Write-In)",1
"EMIL SASKIN (Write-In)",3
"ERIC LEB (Write-In)",1
"ERROL LEWIS (Write-In)",1
"EVA EVANS (Write-In)",1
"EWEN LNKER (Write-In)",1
"FRAN FAHERTY (Write-In)",1
"FRANKIE MUNEZ (Write-In)",1
"GAIL SNOW (Write-In)",2
"GLENN KUSHEL (Write-In)",1
"GLENN MARTIN (Write-In)",1
"GOLDIE HUBER (Write-In)",2
"HERBER S. TEPFER (Write-In)",1
"HUMA ABEDIN (Write-In)",1
"ILYA KOYFMAN (Write-In)",1
"JACOB ROSENBERG (Write-In)",2
"JACOB SHAJNFELD (Write-In)",1
"JACOB SOSLOVICH (Write-In)",1
"JACOB SUSLOVICH ESQ (Write-In)",2
"JAKE BOUGANIM (Write-In)",3
"JAMES BAUMERT (Write-In)",1
"JAY BOHENSKY (Write-In)",1
"JEANINE PIRRO (Write-In)",1
"JOE BERKOVICH (Write-In)",1
"JOE ZUCKER (Write-In)",1
"JOHN HYNES (Write-In)",1
"JOHN WILSON (Write-In)",1
"JOSE MAIMAN (Write-In)",1
"JOSEPH JAMES MESSINA (Write-In)",1
"JOSEPH Z. AMSEL (Write-In)",2
"JULIE BENLUI (Write-In)",1
"KEITH SULLIVAN (Write-In)",1
"KENNETH HERON (Write-In)",1
"KEVIN RAWDA (Write-In)",1
"KUTZ FRITZ CHARLES (Write-In)",1
"LARRY PLASKOFF (Write-In)",1
"LAUREN LITTMAN (Write-In)",1
"LEA ZUCKER (Write-In)",1
"LEANNE WOOD (Write-In)",1
"LEON TROSKY (Write-In)",1
"MALKA LIEBERMAN (Write-In)",1
"MANUEL MARKS (Write-In)",1
"MARIK EDILMAN (Write-In)",1
