,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Kings County
 - 
All Parties and Independent Bodies




Representative in Congress


10th Congressional District


Vote for 1"
"Assembly District 42"
"Public Counter",25
"Manually Counted Emergency",0
"Absentee/Military",0
"Federal",0
"Special Presidential",0
"Affidavit",1
"Total Ballots",26
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",26
,
"Jerrold L. Nadler (Democratic)",22
"Philip Rosenthal (Republican)",0
"Philip Rosenthal (Conservative)",0
"Jerrold L. Nadler (Working Families)",3
"Philip Rosenthal (Independence)",0
"Jerrold L. Nadler (Women's Equality)",0
"Philip Rosenthal (Stop the Iran Deal)",0
,
,
,
"Total Votes",25
"Unrecorded",1

"Assembly District 44"
"Public Counter","13,476"
"Manually Counted Emergency",0
"Absentee/Military",302
"Federal",57
"Special Presidential",0
"Affidavit",306
"Total Ballots","14,141"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","14,141"
,
"Jerrold L. Nadler (Democratic)","8,719"
"Philip Rosenthal (Republican)","2,535"
"Philip Rosenthal (Conservative)",401
"Jerrold L. Nadler (Working Families)",879
"Philip Rosenthal (Independence)",119
"Jerrold L. Nadler (Women's Equality)",93
"Philip Rosenthal (Stop the Iran Deal)",66
"ASIER FOGEL (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"DAVID STEINER (Write-In)",1
"DWAYNE THE ROCK JOHNSON (Write-In)",1
"ESTYER TALANSKY (Write-In)",1
"HERSHEL GRUMALD (Write-In)",1
"JIM BRENNAN (Write-In)",1
"JOSEPH CINCO (Write-In)",1
"MARTIN HIRTENFELD (Write-In)",1
"RIFKA NEIGER (Write-In)",1
"STEPHEN CAIAZZO (Write-In)",1
"TONY D'ORAZIU (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",10
,
,
,
"Total Votes","12,834"
"Unrecorded","1,307"

"Assembly District 45"
"Public Counter",621
"Manually Counted Emergency",0
"Absentee/Military",14
"Federal",7
"Special Presidential",0
"Affidavit",9
"Total Ballots",651
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",651
,
"Jerrold L. Nadler (Democratic)",192
"Philip Rosenthal (Republican)",306
"Philip Rosenthal (Conservative)",38
"Jerrold L. Nadler (Working Families)",12
"Philip Rosenthal (Independence)",6
"Jerrold L. Nadler (Women's Equality)",2
"Philip Rosenthal (Stop the Iran Deal)",10
,
,
,
"Total Votes",566
"Unrecorded",85

"Assembly District 47"
"Public Counter","11,473"
"Manually Counted Emergency",0
"Absentee/Military",316
"Federal",44
"Special Presidential",0
"Affidavit",241
"Total Ballots","12,074"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","12,074"
,
"Jerrold L. Nadler (Democratic)","5,532"
"Philip Rosenthal (Republican)","3,341"
"Philip Rosenthal (Conservative)",346
"Jerrold L. Nadler (Working Families)",382
"Philip Rosenthal (Independence)",121
"Jerrold L. Nadler (Women's Equality)",90
"Philip Rosenthal (Stop the Iran Deal)",62
"AHMED HEIBA (Write-In)",1
"CHRISTINE TESTA (Write-In)",1
"IGOR TOLKACHEV (Write-In)",1
"JOSEPH MISSERI (Write-In)",1
"LEPHYR TEACHOUT (Write-In)",1
"MINH NGUYEN (Write-In)",1
"RICHER GATE (Write-In)",1
"RON PAUL (Write-In)",1
"TONY YING (Write-In)",1
"TONY YVAL (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",8
,
,
,
"Total Votes","9,892"
"Unrecorded","2,182"

"Assembly District 48"
"Public Counter","19,748"
"Manually Counted Emergency",0
"Absentee/Military",371
"Federal",231
"Special Presidential",0
"Affidavit",439
"Total Ballots","20,789"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","20,789"
,
"Jerrold L. Nadler (Democratic)","6,574"
"Philip Rosenthal (Republican)","9,376"
"Philip Rosenthal (Conservative)","1,276"
"Jerrold L. Nadler (Working Families)",400
"Philip Rosenthal (Independence)",169
"Jerrold L. Nadler (Women's Equality)",73
"Philip Rosenthal (Stop the Iran Deal)",223
"AARON TYK (Write-In)",1
"BENYION ELIZER GELLER (Write-In)",1
"BERL WEINDLING (Write-In)",1
"BERNARD SANDERS (Write-In)",1
