,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Kings County
 - 
All Parties and Independent Bodies




Representative in Congress


12th Congressional District


Vote for 1"
"Assembly District 50"
"Public Counter","24,091"
"Manually Counted Emergency",0
"Absentee/Military","1,040"
"Federal",212
"Special Presidential",0
"Affidavit",672
"Total Ballots","26,015"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","26,015"
,
"Carolyn B. Maloney (Democratic)","19,679"
"Robert Ardini (Republican)","2,467"
"Carolyn B. Maloney (Working Families)","2,443"
"BILL MURRAY (Write-In)",1
"BRIAN LEHRER (Write-In)",1
"CHARLIE RANGEL (Write-In)",1
"CHRIS W. SMITH (Write-In)",1
"DANIEL SQUADRON (Write-In)",1
"DESICK SARK LAWRANCE (Write-In)",1
"FRANK CASTLE (Write-In)",1
"GREG KELLY (Write-In)",1
"HERMAN CATSIE (Write-In)",2
"JOHN COVERDALE (Write-In)",1
"JOSUAH RVOAH (Write-In)",1
"LEIGH H. LETZKUS (Write-In)",1
"MIKE BREVON (Write-In)",1
"PAUL VOLOKER (Write-In)",1
"ROBIN LAVERNE WILSON (Write-In)",1
"RYAN KUGNEN (Write-In)",1
"SEAN AURITI (Write-In)",1
"TREY GOUTLY (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",12
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VIOLET MOFFIT (Write-In)",1
"WILLIAM S DAVIDSON JR. (Write-In)",2
"ZEPHYR TEACHOUT (Write-In)",1
,
,
,
"Total Votes","24,625"
"Unrecorded","1,390"

"Assembly District 53"
"Public Counter","3,954"
"Manually Counted Emergency",0
"Absentee/Military",163
"Federal",32
"Special Presidential",0
"Affidavit",118
"Total Ballots","4,267"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,267"
,
"Carolyn B. Maloney (Democratic)","3,225"
"Robert Ardini (Republican)",346
"Carolyn B. Maloney (Working Families)",433
"BERNIE SANDERS (Write-In)",1
"THERESA JAMPEL (Write-In)",1
,
,
,
"Total Votes","4,006"
"Unrecorded",261

"Total for Representative in Congress (12th Congressional District) - Kings County"
"Public Counter","28,045"
"Manually Counted Emergency",0
"Absentee/Military","1,203"
"Federal",244
"Special Presidential",0
"Affidavit",790
"Total Ballots","30,282"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","30,282"
,
"Carolyn B. Maloney (Democratic)","22,904"
"Robert Ardini (Republican)","2,813"
"Carolyn B. Maloney (Working Families)","2,876"
"BERNIE SANDERS (Write-In)",1
"BILL MURRAY (Write-In)",1
"BRIAN LEHRER (Write-In)",1
"CHARLIE RANGEL (Write-In)",1
"CHRIS W. SMITH (Write-In)",1
"DANIEL SQUADRON (Write-In)",1
"DESICK SARK LAWRANCE (Write-In)",1
"FRANK CASTLE (Write-In)",1
"GREG KELLY (Write-In)",1
"HERMAN CATSIE (Write-In)",2
"JOHN COVERDALE (Write-In)",1
"JOSUAH RVOAH (Write-In)",1
"LEIGH H. LETZKUS (Write-In)",1
"MIKE BREVON (Write-In)",1
"PAUL VOLOKER (Write-In)",1
"ROBIN LAVERNE WILSON (Write-In)",1
"RYAN KUGNEN (Write-In)",1
"SEAN AURITI (Write-In)",1
"THERESA JAMPEL (Write-In)",1
"TREY GOUTLY (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",12
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VIOLET MOFFIT (Write-In)",1
"WILLIAM S DAVIDSON JR. (Write-In)",2
"ZEPHYR TEACHOUT (Write-In)",1
,
,
,
"Total Votes","28,631"
"Unrecorded","1,651"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
