,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Kings County
 - 
All Parties and Independent Bodies




State Senator


21st Senatorial District


Vote for 1"
"Assembly District 41"
"Public Counter","10,586"
"Manually Counted Emergency",0
"Absentee/Military",316
"Federal",35
"Special Presidential",0
"Affidavit",258
"Total Ballots","11,195"
"Less - Inapplicable Federal/Special Presidential Ballots",(35)
"Total Applicable Ballots","11,160"
,
"Kevin S. Parker (Democratic)","10,023"
"Brian W. Kelly (Conservative)",265
"Kevin S. Parker (Working Families)",246
"ALEX MERCED (Write-In)",1
"COLIN KAEPERNICK (Write-In)",1
"DERRICK S. MORENO (Write-In)",1
"NOACH DEAR (Write-In)",1
"ROBIN L. WILSON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
,
,
,
"Total Votes","10,542"
"Unrecorded",618

"Assembly District 42"
"Public Counter","33,042"
"Manually Counted Emergency",0
"Absentee/Military",984
"Federal",94
"Special Presidential",0
"Affidavit","1,200"
"Total Ballots","35,320"
"Less - Inapplicable Federal/Special Presidential Ballots",(94)
"Total Applicable Ballots","35,226"
,
"Kevin S. Parker (Democratic)","30,644"
"Brian W. Kelly (Conservative)",636
"Kevin S. Parker (Working Families)","1,730"
"BARACK OBAMA (Write-In)",1
"BERNI4 SANDERS (Write-In)",1
"CHRISTIAN BRIGHT (Write-In)",1
"DANIEL NIZZA (Write-In)",1
"DAVE MATTEWS (Write-In)",1
"DAVE SLENDERMAN (Write-In)",1
"ERNIE WATTS (Write-In)",2
"HENRY ITO (Write-In)",1
"LAWCEDALE CALDERON (Write-In)",1
"LEONARD PELTICEN (Write-In)",1
"PATTI LUPONE (Write-In)",1
"PAUL AINSWORTH FRANCIS (Write-In)",1
"ROBIN LAVERNE WILSON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",14
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","33,039"
"Unrecorded","2,187"

"Assembly District 43"
"Public Counter","6,080"
"Manually Counted Emergency",0
"Absentee/Military",200
"Federal",25
"Special Presidential",2
"Affidavit",172
"Total Ballots","6,479"
"Less - Inapplicable Federal/Special Presidential Ballots",(27)
"Total Applicable Ballots","6,452"
,
"Kevin S. Parker (Democratic)","5,474"
"Brian W. Kelly (Conservative)",112
"Kevin S. Parker (Working Families)",527
"BARACK OBAMA (Write-In)",1
"ELIZABETH CLARKE (Write-In)",1
"HERMINE GRANGER (Write-In)",1
"JACKSON P BOSLEY (Write-In)",1
"NEAL J. MEYER (Write-In)",1
"NOAM CHOMSKY (Write-In)",1
"RICHARD RUSSELL (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
,
,
,
"Total Votes","6,123"
"Unrecorded",329

"Assembly District 44"
"Public Counter","27,292"
"Manually Counted Emergency",0
"Absentee/Military","1,131"
"Federal",186
"Special Presidential",0
"Affidavit",471
"Total Ballots","29,080"
"Less - Inapplicable Federal/Special Presidential Ballots",(186)
"Total Applicable Ballots","28,894"
,
"Kevin S. Parker (Democratic)","20,618"
"Brian W. Kelly (Conservative)","2,098"
"Kevin S. Parker (Working Families)","3,587"
"AMANDA D. DANTILE (Write-In)",1
"AMANDA D. GENTILE (Write-In)",1
"AMY SHEARN (Write-In)",1
"ANNE GERMANAGEMENT (Write-In)",1
"CARL BERNHADSEN (Write-In)",1
"DALILA HALL (Write-In)",1
"DECLAN M. BREEN (Write-In)",1
"DIAVA GLIEDMAN (Write-In)",1
"EDWARD VAN HALEN (Write-In)",1
"EHIZA BERTHOLD (Write-In)",1
"ELLIOT STONE (Write-In)",1
"EMILY BRADFORD (Write-In)",1
"GEORGE SHEA (Write-In)",1
"JOHN LINDEN (Write-In)",1
"JOHN M JOHNSTAY (Write-In)",1
"JOSHUA GOLDBERG (Write-In)",2
"LUMI M ROLLEY (Write-In)",1
"MANNUWUL HAG (Write-In)",1
"MARION CONDE DASILVEIRA (Write-In)",1
"MERYL GLICKSMANN (Write-In)",1
"MOLLY E NIXON (Write-In)",1
"MUTULU SHAKUR (Write-In)",1
"NOAH SYNDERGAARD (Write-In)",1
"RACHAEL FAUSS (Write-In)",1
"ROBERT C CARROLL (Write-In)",1
"SIMCHA FELDER (Write-In)",1
"STEPHEN CARRY (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",12
"VELMANETTE MONTGOMERY (Write-In)",1
"WILLIAM T CONKLIN (Write-In)",1
"ZEPHYR TEACHOUT (Write-In)",1
,
,
,
"Total Votes","26,346"
"Unrecorded","2,548"

"Assembly District 51"
"Public Counter","2,530"
"Manually Counted Emergency",0
"Absentee/Military",62
"Federal",17
"Special Presidential",0
"Affidavit",53
"Total Ballots","2,662"
"Less - Inapplicable Federal/Special Presidential Ballots",(17)
"Total Applicable Ballots","2,645"
,
"Kevin S. Parker (Democratic)","1,971"
"Brian W. Kelly (Conservative)",133
"Kevin S. Parker (Working Families)",337
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes","2,442"
"Unrecorded",203

"Assembly District 52"
"Public Counter","9,809"
"Manually Counted Emergency",0
"Absentee/Military",618
"Federal",134
"Special Presidential",0
"Affidavit",126
"Total Ballots","10,687"
"Less - Inapplicable Federal/Special Presidential Ballots",(134)
"Total Applicable Ballots","10,553"
,
"Kevin S. Parker (Democratic)","7,964"
"Brian W. Kelly (Conservative)",626
"Kevin S. Parker (Working Families)","1,308"
"ALFRED E. NEWMAN (Write-In)",1
"ANEELA PINSKY (Write-In)",1
"BRAD LINDER (Write-In)",1
"CAMERON BRATE (Write-In)",1
"DYLAN DERESREVICE (Write-In)",1
