,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Kings County
 - 
All Parties and Independent Bodies




State Senator


22nd Senatorial District


Vote for 1"
"Assembly District 41"
"Public Counter","5,686"
"Manually Counted Emergency",0
"Absentee/Military",172
"Federal",26
"Special Presidential",0
"Affidavit",107
"Total Ballots","5,991"
"Less - Inapplicable Federal/Special Presidential Ballots",(26)
"Total Applicable Ballots","5,965"
,
"Martin J. Golden (Republican)","3,414"
"Martin J. Golden (Conservative)",440
"Martin J. Golden (Independence)",374
"Martin J. Golden (Reform)",124
"ALFRED E. NEWMAN (Write-In)",1
"ANGELA CEPHJS (Write-In)",1
"ANTHONY TESTAVERDE (Write-In)",3
"ARTHUR MARTA (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BRAIN HEDDON (Write-In)",1
"DAVID DUKE (Write-In)",1
"FRANK SEDDIO (Write-In)",1
"GREGORY MONTE (Write-In)",1
"IAN ZEULI (Write-In)",1
"JESSE MANNING (Write-In)",1
"JOE BIDEN (Write-In)",1
"JUSTIN BRANNON (Write-In)",1
"LAURA YU (Write-In)",1
"MALIK SULLIVAN (Write-In)",1
"MARIYA YUDKEVICH (Write-In)",1
"MICHAEL TAYLOR (Write-In)",2
"MICHAL TAYLOR (Write-In)",1
"MITCHELL KHARNAK (Write-In)",1
"PAVEL ZACHQ (Write-In)",1
"PHILLIP J. ADAMS (Write-In)",1
"SAM MASLOW (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",10
,
,
,
"Total Votes","4,388"
"Unrecorded","1,577"

"Assembly District 45"
"Public Counter","9,700"
"Manually Counted Emergency",0
"Absentee/Military",304
"Federal",66
"Special Presidential",0
"Affidavit",263
"Total Ballots","10,333"
"Less - Inapplicable Federal/Special Presidential Ballots",(66)
"Total Applicable Ballots","10,267"
,
"Martin J. Golden (Republican)","6,446"
"Martin J. Golden (Conservative)",578
"Martin J. Golden (Independence)",505
"Martin J. Golden (Reform)",180
"ADRIANO ESPAILLAT (Write-In)",1
"AL COHOLIC (Write-In)",1
"BARRACK OBAMA (Write-In)",1
"CHELSEA CLINTON (Write-In)",1
"CRAIG GREENBERG (Write-In)",1
"EMILY DORRIS (Write-In)",1
"GEORGE PAPOON (Write-In)",1
"JEFF WEAVER (Write-In)",1
"JESSE VENTURA (Write-In)",1
"JILL STELA (Write-In)",1
"JOANNE SEMINARA (Write-In)",1
"JOHN MCCLEAN (Write-In)",1
"JOSEPH HOLDNER (Write-In)",1
"KANYE WEST (Write-In)",1
"KENVIN CONROY (Write-In)",1
"KEVIN MAMAKAS (Write-In)",1
"KIRSTEN GILLIBRAND (Write-In)",1
"LINDA SARSOUR (Write-In)",1
