,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Kings County
 - 
All Parties and Independent Bodies




State Senator


23rd Senatorial District


Vote for 1"
"Assembly District 41"
"Public Counter","1,716"
"Manually Counted Emergency",0
"Absentee/Military",47
"Federal",3
"Special Presidential",0
"Affidavit",33
"Total Ballots","1,799"
"Less - Inapplicable Federal/Special Presidential Ballots",(3)
"Total Applicable Ballots","1,796"
,
"Diane J. Savino (Democratic)",926
"Diane J. Savino (Independence)",186
"ALAN BELLONE (Write-In)",1
"ALEX ZAV (Write-In)",1
"ERIC TRUMP (Write-In)",1
"MATTHEW J GRAVES (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
,
,
,
"Total Votes","1,118"
"Unrecorded",678

"Assembly District 45"
"Public Counter","9,782"
"Manually Counted Emergency",0
"Absentee/Military",223
"Federal",40
"Special Presidential",0
"Affidavit",343
"Total Ballots","10,388"
"Less - Inapplicable Federal/Special Presidential Ballots",(40)
"Total Applicable Ballots","10,348"
,
"Diane J. Savino (Democratic)","5,280"
"Diane J. Savino (Independence)",895
"BENJAMIN KUNAEV (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"CAMBERLEY C TORRES (Write-In)",1
"CHARLES SCHUMER (Write-In)",1
"DAVID FISH (Write-In)",1
"EDWARD I KOCH (Write-In)",1
"ERIC ADAMS (Write-In)",1
"GRIGORIY MALYUTIN (Write-In)",1
"JOSEPH MARRONE (Write-In)",1
"MANUINH MALATER (Write-In)",1
"MARTIN J GOLDEN (Write-In)",1
"RHETT CHAMIS (Write-In)",1
"RON ROWEL (Write-In)",1
"RUDOLF GUILIANI (Write-In)",1
"TOM GROMMER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",13
"VLAD KATZ (Write-In)",1
,
,
,
"Total Votes","6,204"
"Unrecorded","4,144"

"Assembly District 46"
"Public Counter","17,202"
"Manually Counted Emergency",0
"Absentee/Military",494
"Federal",61
"Special Presidential",0
"Affidavit",533
"Total Ballots","18,290"
"Less - Inapplicable Federal/Special Presidential Ballots",(61)
"Total Applicable Ballots","18,229"
,
"Diane J. Savino (Democratic)","10,305"
"Diane J. Savino (Independence)","1,075"
"ANTHONY WEINER (Write-In)",1
"BERNIE SANDERS (Write-In)",3
"CHRISTOPHER CHEIGHTON (Write-In)",1
"DANIEL J. SLAUIN (Write-In)",1
"DANIEL O'DONOVAN (Write-In)",1
"DAVID STORDOIN (Write-In)",1
"DIYERA MAMEDOVA (Write-In)",1
"DONALD TRUMP (Write-In)",1
"DOV HIKIND (Write-In)",1
"GLENN F. FRONTERA (Write-In)",1
"JOSEPH BEYTA (Write-In)",1
"JULIAN ELINSON (Write-In)",1
"NICHOLAS PALACIAS (Write-In)",2
"PETER GRIFFIN (Write-In)",1
"STAS ZEITLIN (Write-In)",1
"SUE SIMMONS (Write-In)",1
"THOMAS LADUCA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",16
"ZEPHYR TURNOUT (Write-In)",1
,
,
,
"Total Votes","11,417"
"Unrecorded","6,812"

"Assembly District 47"
"Public Counter","8,684"
"Manually Counted Emergency",0
"Absentee/Military",242
"Federal",30
"Special Presidential",0
"Affidavit",299
"Total Ballots","9,255"
"Less - Inapplicable Federal/Special Presidential Ballots",(30)
"Total Applicable Ballots","9,225"
,
"Diane J. Savino (Democratic)","5,552"
"Diane J. Savino (Independence)",694
"ALEKSANDER KOREN (Write-In)",1
"ALEX KANIKOV (Write-In)",1
"ANDREW GOURRARDES (Write-In)",1
"BUTCH STEIN (Write-In)",1
"ELMER J. FUDD (Write-In)",1
"ERIC TRUMP (Write-In)",1
"EVAN MCMULLIN (Write-In)",1
"GEORGE ORWELL (Write-In)",1
"HUMMGUS BONE (Write-In)",1
"KELSEY DEMSKY (Write-In)",1
"LEW LEVIN (Write-In)",1
"MANAL ABU SAMAHA (Write-In)",1
"MARTY GOLDEN (Write-In)",1
"MELISSA SUZANNE FELDMAN (Write-In)",1
"MIKE ROWE (Write-In)",1
"MINH NGUYEN (Write-In)",1
"PHILIP GORRON (Write-In)",1
"PINNY GOLD (Write-In)",1
"ROBERT J. MALMAD (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",14
,
,
,
"Total Votes","6,279"
"Unrecorded","2,946"

"Assembly District 49"
"Public Counter",651
"Manually Counted Emergency",0
"Absentee/Military",20
"Federal",1
"Special Presidential",0
"Affidavit",11
"Total Ballots",683
"Less - Inapplicable Federal/Special Presidential Ballots",(1)
"Total Applicable Ballots",682
,
"Diane J. Savino (Democratic)",393
"Diane J. Savino (Independence)",56
"JAMIE DEMON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
,
,
,
"Total Votes",453
"Unrecorded",229

"Assembly District 51"
"Public Counter","1,730"
"Manually Counted Emergency",0
"Absentee/Military",43
"Federal",10
"Special Presidential",0
"Affidavit",71
"Total Ballots","1,854"
"Less - Inapplicable Federal/Special Presidential Ballots",(10)
"Total Applicable Ballots","1,844"
,
"Diane J. Savino (Democratic)","1,224"
"Diane J. Savino (Independence)",112
"ESTEBAR RODRIGUEZ (Write-In)",1
"JIAN HE ZHOU (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
"WENDY LONG (Write-In)",1
,
,
,
"Total Votes","1,342"
"Unrecorded",502

"Assembly District 64"
"Public Counter",411
"Manually Counted Emergency",0
"Absentee/Military",15
"Federal",2
"Special Presidential",0
"Affidavit",16
"Total Ballots",444
"Less - Inapplicable Federal/Special Presidential Ballots",(2)
"Total Applicable Ballots",442
,
"Diane J. Savino (Democratic)",297
"Diane J. Savino (Independence)",26
"KOLIN GREGORY (Write-In)",1
"MICHAEL GRIMM (Write-In)",2
"PETE SANTIAGO (Write-In)",1
,
,
,
"Total Votes",327
"Unrecorded",115

"Total for State Senator (23rd Senatorial District) - Kings County"
"Public Counter","40,176"
"Manually Counted Emergency",0
"Absentee/Military","1,084"
"Federal",147
"Special Presidential",0
"Affidavit","1,306"
"Total Ballots","42,713"
"Less - Inapplicable Federal/Special Presidential Ballots",(147)
"Total Applicable Ballots","42,566"
,
"Diane J. Savino (Democratic)","23,977"
"Diane J. Savino (Independence)","3,044"
