,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Kings County
 - 
All Parties and Independent Bodies




State Senator


26th Senatorial District


Vote for 1"
"Assembly District 50"
"Public Counter","16,901"
"Manually Counted Emergency",0
"Absentee/Military",721
"Federal",154
"Special Presidential",0
"Affidavit",429
"Total Ballots","18,205"
"Less - Inapplicable Federal/Special Presidential Ballots",(154)
"Total Applicable Ballots","18,051"
,
"Daniel Squadron (Democratic)","13,708"
"Daniel Squadron (Working Families)","1,709"
"ALVIN LEWIS (Write-In)",1
"ANTHONY V. PENNOLINO (Write-In)",1
"ANTHONY WEINER (Write-In)",1
"ARTHUR SADOWSKI (Write-In)",1
"BERNIE SANDERS (Write-In)",4
"BRANY NEIMAN (Write-In)",1
"CAROLINE BIGGERS (Write-In)",1
"CHARLES COUGER (Write-In)",2
"CHESTY PULLER (Write-In)",1
"CHRISTOPHER KLUSCK (Write-In)",1
"DAVID JULLE (Write-In)",1
"DAVID NEDERMAN (Write-In)",1
"DONALD TRUMP (Write-In)",1
"DWAYNE GORDON (Write-In)",1
"EDWARD CELOMER (Write-In)",1
"ELIZABETH HASBROOK (Write-In)",1
"EVA MANDISA (Write-In)",1
"GERALD ROMAYCE (Write-In)",1
"GYDA SABAOGH (Write-In)",1
"JACOB SILBER (Write-In)",1
"JACQUIZ RODGERS (Write-In)",1
"JAKUB SYTA (Write-In)",1
"JAVIER BOSQUE (Write-In)",1
"JESSIE ROSE (Write-In)",1
"JOE STAR (Write-In)",1
"JOEL GELB (Write-In)",1
"JOEL TEITEL (Write-In)",1
"JOHN COLEMAN (Write-In)",1
"JOHN CONSTANTINE (Write-In)",1
"JOSEPH LENTOL (Write-In)",1
"JOSEPH RAFFRTY (Write-In)",1
"JUDGE JEANINE PIRRO (Write-In)",1
"KATIE SCWARTZ\ (Write-In)",1
"KEVIN BYRNE (Write-In)",1
"LARRY DAVID (Write-In)",1
"LIPA GOLDMAN (Write-In)",1
"MELISSA JANAE (Write-In)",1
"NUCHEM ROSENBERG (Write-In)",1
"PAUL VOLOKER (Write-In)",1
"RAD SMOLINSKI (Write-In)",1
"ROBERT ARDIN (Write-In)",1
"ROBERT SCHREIBER (Write-In)",1
"ROSEANNE BLUM (Write-In)",1
"RUDY GUILANI (Write-In)",1
"SAMUEL LUSTIGMAN (Write-In)",1
"SEAN AURITI (Write-In)",1
"SHMIEL BLUM (Write-In)",1
"SIANI TETELBAUM (Write-In)",1
"SIMARGEET SINGH (Write-In)",1
"SIMCHA FELDER (Write-In)",2
"STEVEN LEVIN (Write-In)",1
"TED CRUZ (Write-In)",2
"TORAH VELVES (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",35
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"WYATT MARSHALL (Write-In)",1
"YOSSI GLUCK (Write-In)",1
,
,
,
"Total Votes","15,514"
"Unrecorded","2,537"

"Assembly District 51"
"Public Counter",482
"Manually Counted Emergency",0
"Absentee/Military",53
"Federal",4
"Special Presidential",0
"Affidavit",17
"Total Ballots",556
"Less - Inapplicable Federal/Special Presidential Ballots",(4)
"Total Applicable Ballots",552
,
"Daniel Squadron (Democratic)",433
"Daniel Squadron (Working Families)",61
"RON PAUL (Write-In)",1
,
,
,
"Total Votes",495
"Unrecorded",57

"Assembly District 52"
"Public Counter","22,137"
"Manually Counted Emergency",0
"Absentee/Military","1,688"
"Federal",453
"Special Presidential",0
"Affidavit",464
"Total Ballots","24,742"
"Less - Inapplicable Federal/Special Presidential Ballots",(453)
"Total Applicable Ballots","24,289"
,
"Daniel Squadron (Democratic)","19,846"
"Daniel Squadron (Working Families)","1,911"
"A J JOHNSON (Write-In)",1
"ADAM HABER (Write-In)",1
"ADAM SUSS (Write-In)",1
"ALYSON BEHA (Write-In)",1
"ANGELA CHAO (Write-In)",1
"ANN MATIE CARLEY (Write-In)",1
"BENJAMIN DECKER (Write-In)",1
"BENJAMIN DUNN (Write-In)",1
"BO DIETL (Write-In)",1
"BRIAN CONNOR (Write-In)",1
"BRIAN WHEELER (Write-In)",1
"BYRONE PRICE (Write-In)",1
"CAROLYN MCINTYRE (Write-In)",1
"CATHERINE CHRISTIAN (Write-In)",1
"CHARLIE SHEEN (Write-In)",1
"CHRIS COOPER (Write-In)",1
"CLAUDE SCALES (Write-In)",1
"COLLEEN DIEZ (Write-In)",1
"CYRUS R VANCE JR (Write-In)",1
"DAMON HARRISON (Write-In)",1
"DANIEL RAMOS (Write-In)",2
"DAVID E. ROVELLA (Write-In)",1
"DAVID GARTNER (Write-In)",1
"DAVID PETRAEAUS (Write-In)",1
"DIANNE BUDNINCONTI (Write-In)",1
"DONALD J. TRUMP (Write-In)",1
"DOROTHY SIEGEL (Write-In)",1
"ED REVUELTD (Write-In)",1
"ELIZA MYERS (Write-In)",1
"EMILY BIRDSEYE (Write-In)",1
"ERROLL LEWIS (Write-In)",1
"ETHAN PENCE (Write-In)",1
"ETHAN SCHIFF (Write-In)",1
"EVE SILVERMAN (Write-In)",1
"FREDERICK W. GAERTNEG JR. (Write-In)",1
"GEORGE MARLIN (Write-In)",1
"GERARD IMPERATO (Write-In)",1
"HANK GUTMAN (Write-In)",1
"HARRY GREENWALD (Write-In)",1
"HENRY A MARTUSCELLO (Write-In)",1
"HOWARD GOLDEN (Write-In)",1
"IAN EAMON GORDON (Write-In)",1
"IGOR ZELENBERG (Write-In)",1
"JACK AUSTIN (Write-In)",1
"JAMES GRANT (Write-In)",1
"JAMES WILSON (Write-In)",1
"JEFFREY C. MILLER (Write-In)",1
"JEN STEELE (Write-In)",1
"JENNIFER FARRELLY (Write-In)",1
"JOE RICCI (Write-In)",1
"JOHANNES EPKE (Write-In)",1
"JOHN F ANDERSON (Write-In)",1
"JOHN HEYER (Write-In)",1
"JOHN SMITH (Write-In)",1
"JOHN STAYNO (Write-In)",1
"JOHN WATRAS (Write-In)",1
"JUDI FRANCIS (Write-In)",1
"JUDITH A. FRANCIS (Write-In)",1
"KANYE WEST (Write-In)",1
"KAREN ROBINSON (Write-In)",1
"KARINA GRINKOT (Write-In)",1
"KATHLEEN A. WOLF (Write-In)",1
"KATHLEEN WOLF (Write-In)",1
"KENNETH GREEN ADAMS (Write-In)",1
