,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Kings County
 - 
All Parties and Independent Bodies




Member of the Assembly


41st Assembly District


Vote for 1"
"Assembly District 41"
"Public Counter","37,700"
"Manually Counted Emergency",0
"Absentee/Military","1,094"
"Federal",163
"Special Presidential",0
"Affidavit",911
"Total Ballots","39,868"
"Less - Inapplicable Federal/Special Presidential Ballots",(163)
"Total Applicable Ballots","39,705"
,
"Helene E. Weinstein (Democratic)","26,666"
"Ramona Johnson (Republican)","6,650"
"Ramona Johnson (Conservative)","1,178"
"Helene E. Weinstein (Working Families)","1,650"
"ALAN FINTZ (Write-In)",1
"ALEX ZAV (Write-In)",1
"ARTHUR GRUENER (Write-In)",5
"ASHIN MUGHAL (Write-In)",1
"BARACK OBAMA (Write-In)",1
"BERNIE SANDERS (Write-In)",3
"BREG NEWSOME (Write-In)",1
"CHARLES BARRON (Write-In)",1
"CHRISTINE PALACIOS (Write-In)",1
"CLESKIE STERN (Write-In)",1
"DAVID WEST (Write-In)",1
"DERRICK S. MORENO (Write-In)",1
"ERIC LEB (Write-In)",1
"ERIC STIEGLITZ (Write-In)",1
"JOHANNES OABAD (Write-In)",1
"JUSTINE BERNNEN (Write-In)",1
"KATIE MCGIRLY (Write-In)",1
"LIDIYA DUKHOVICH (Write-In)",1
"LISA ANN (Write-In)",1
"LOU FIDLER (Write-In)",1
"MAYA ROYFMAN (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"RASHEED WILLIAMS (Write-In)",1
"TAT PICOTT (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",14
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"WILLIAM COLTON (Write-In)",1
"YAAKON ORATZ (Write-In)",1
,
,
,
"Total Votes","36,191"
"Unrecorded","3,514"

"Total for Member of the Assembly (41st Assembly District) - Kings County"
"Public Counter","37,700"
"Manually Counted Emergency",0
"Absentee/Military","1,094"
"Federal",163
"Special Presidential",0
"Affidavit",911
"Total Ballots","39,868"
"Less - Inapplicable Federal/Special Presidential Ballots",(163)
"Total Applicable Ballots","39,705"
,
"Helene E. Weinstein (Democratic)","26,666"
"Ramona Johnson (Republican)","6,650"
"Ramona Johnson (Conservative)","1,178"
"Helene E. Weinstein (Working Families)","1,650"
"ALAN FINTZ (Write-In)",1
"ALEX ZAV (Write-In)",1
"ARTHUR GRUENER (Write-In)",5
"ASHIN MUGHAL (Write-In)",1
"BARACK OBAMA (Write-In)",1
"BERNIE SANDERS (Write-In)",3
"BREG NEWSOME (Write-In)",1
"CHARLES BARRON (Write-In)",1
"CHRISTINE PALACIOS (Write-In)",1
"CLESKIE STERN (Write-In)",1
"DAVID WEST (Write-In)",1
"DERRICK S. MORENO (Write-In)",1
"ERIC LEB (Write-In)",1
"ERIC STIEGLITZ (Write-In)",1
"JOHANNES OABAD (Write-In)",1
"JUSTINE BERNNEN (Write-In)",1
"KATIE MCGIRLY (Write-In)",1
"LIDIYA DUKHOVICH (Write-In)",1
"LISA ANN (Write-In)",1
"LOU FIDLER (Write-In)",1
"MAYA ROYFMAN (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"RASHEED WILLIAMS (Write-In)",1
"TAT PICOTT (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",14
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"WILLIAM COLTON (Write-In)",1
"YAAKON ORATZ (Write-In)",1
,
,
,
"Total Votes","36,191"
"Unrecorded","3,514"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
