,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Kings County
 - 
All Parties and Independent Bodies




Member of the Assembly


51st Assembly District


Vote for 1"
"Assembly District 51"
"Public Counter","28,774"
"Manually Counted Emergency",0
"Absentee/Military",707
"Federal",156
"Special Presidential",1
"Affidavit",847
"Total Ballots","30,485"
"Less - Inapplicable Federal/Special Presidential Ballots",(157)
"Total Applicable Ballots","30,328"
,
"Felix W. Ortiz (Democratic)","24,181"
"Henry Lallave (Republican)","2,755"
"Henry Lallave (Conservative)",533
"ARSENIA REILLY-COLLINS (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"BLANCA BAEZ (Write-In)",1
"GARY PAPKIN (Write-In)",1
"GUADALUPE DEL RIO (Write-In)",1
"GUILLERMO TEJEDA (Write-In)",1
"ISRAEL PUTNAM (Write-In)",1
"JAMES P.WISEMALL (Write-In)",1
"JILL STEIN (Write-In)",2
"JIMMY G MATHEOS (Write-In)",1
"JOSEPH J RUIZ (Write-In)",1
"JUSTIN BRANNAN (Write-In)",1
"KURT LINDE (Write-In)",4
"LINDA SARSOUR (Write-In)",1
"MICHAEL LA CURTO (Write-In)",1
"NICK COHEN-THOMPSON (Write-In)",1
"NORA RITCHIE (Write-In)",1
"NORA SIMONE PETITGARD (Write-In)",1
"OSCAR CRESPO (Write-In)",1
"PATRICE CULLURS (Write-In)",1
"RAIZY GANZ (Write-In)",1
"RICK SANCHEZ (Write-In)",1
"SIMON SANCHEZ (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",18
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
"YITTIE GRUEN (Write-In)",1
,
,
,
"Total Votes","27,518"
"Unrecorded","2,810"

"Total for Member of the Assembly (51st Assembly District) - Kings County"
"Public Counter","28,774"
"Manually Counted Emergency",0
"Absentee/Military",707
"Federal",156
"Special Presidential",1
"Affidavit",847
"Total Ballots","30,485"
"Less - Inapplicable Federal/Special Presidential Ballots",(157)
"Total Applicable Ballots","30,328"
,
"Felix W. Ortiz (Democratic)","24,181"
"Henry Lallave (Republican)","2,755"
"Henry Lallave (Conservative)",533
"ARSENIA REILLY-COLLINS (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"BLANCA BAEZ (Write-In)",1
"GARY PAPKIN (Write-In)",1
"GUADALUPE DEL RIO (Write-In)",1
"GUILLERMO TEJEDA (Write-In)",1
"ISRAEL PUTNAM (Write-In)",1
"JAMES P.WISEMALL (Write-In)",1
"JILL STEIN (Write-In)",2
"JIMMY G MATHEOS (Write-In)",1
"JOSEPH J RUIZ (Write-In)",1
"JUSTIN BRANNAN (Write-In)",1
"KURT LINDE (Write-In)",4
"LINDA SARSOUR (Write-In)",1
"MICHAEL LA CURTO (Write-In)",1
"NICK COHEN-THOMPSON (Write-In)",1
"NORA RITCHIE (Write-In)",1
"NORA SIMONE PETITGARD (Write-In)",1
"OSCAR CRESPO (Write-In)",1
"PATRICE CULLURS (Write-In)",1
"RAIZY GANZ (Write-In)",1
"RICK SANCHEZ (Write-In)",1
"SIMON SANCHEZ (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",18
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
"YITTIE GRUEN (Write-In)",1
,
,
,
"Total Votes","27,518"
"Unrecorded","2,810"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
