,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Kings County
 - 
All Parties and Independent Bodies




Member of the Assembly


53rd Assembly District


Vote for 1"
"Assembly District 53"
"Public Counter","38,342"
"Manually Counted Emergency",0
"Absentee/Military",952
"Federal",170
"Special Presidential",0
"Affidavit","1,382"
"Total Ballots","40,846"
"Less - Inapplicable Federal/Special Presidential Ballots",(170)
"Total Applicable Ballots","40,676"
,
"Maritza Davila (Democratic)","32,792"
"Maritza Davila (Working Families)","2,602"
"8 MUNOZ (Write-In)",1
"ALEX BASAK (Write-In)",1
"ALEXIS PONCE (Write-In)",1
"ANTHONY NUNZIATE (Write-In)",1
"ANTHONY PELRINO (Write-In)",1
"ANTONIO REYNASO (Write-In)",1
"BENJAMIN TAYLOR (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BORIS JACOBSON (Write-In)",1
"CARMEN BONILLA (Write-In)",1
"CAROL NHAN (Write-In)",1
"CHARVEY GONZALEZ (Write-In)",1
"CHOIRE SICHA (Write-In)",1
"CHRISTOPHER G LEE (Write-In)",1
"CRAIG A SCEMAR (Write-In)",1
"DANIEL CRUZ (Write-In)",1
"DANIEL FALCON (Write-In)",1
"DIANA REYNA (Write-In)",1
"EDWARD MORALES (Write-In)",1
"ELEN DUNZIJ (Write-In)",1
"ENC THOMSON (Write-In)",1
"ERIC TRUMP (Write-In)",1
"FRED MERCURY (Write-In)",1
"GLADYS SANTIAGO (Write-In)",1
"GREG MULHOLLAND (Write-In)",1
"HARRISON ADAMS (Write-In)",1
"HILLARY CLINTON (Write-In)",1
"HUBERT O. MILLAN (Write-In)",1
"JEMMY LEANZA (Write-In)",1
"JESUS GONZALEZ (Write-In)",1
"JOHN CONTRA TESTEIS (Write-In)",1
"JOHN GRAY (Write-In)",1
"JULIE B DUNN (Write-In)",1
"KEN BELKIN (Write-In)",1
"KENNETH BELKIN (Write-In)",2
"KEVIN BELLCIA (Write-In)",1
"KEVIN WORTHINGTON (Write-In)",1
"KUNT SMITH (Write-In)",1
"LARA BRISILLA (Write-In)",1
"LARRY FERNANDEZ (Write-In)",1
"LAWSON ELWAY BAGA (Write-In)",1
"LEONARDO LABRIOLA (Write-In)",1
"LINCOLN RESTLER (Write-In)",1
"LOUIS VILCILLO (Write-In)",1
"LUIS A. RAMOS (Write-In)",1
"MARISSA MCARDLE (Write-In)",1
"MARK VERSAW (Write-In)",1
"MARTY FRIEDMAN (Write-In)",1
"MATTHEW COX (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",2
"MICHAEL MAY (Write-In)",1
"MICHELLE OBAMA (Write-In)",1
"MIKE MANH (Write-In)",1
"MIRANDA KAHN (Write-In)",1
"NATE SILVER (Write-In)",1
"NEWT GINGRICH (Write-In)",1
"PAUL CARRERAS (Write-In)",1
"PAUL GRASSFIELD (Write-In)",1
"PEDRA BADDLEG (Write-In)",1
"PHILIP JAMPOLE (Write-In)",1
"RALPH PASTENE (Write-In)",1
"ROBIN SHORE (Write-In)",1
"RON PAUL (Write-In)",1
"RYAN FITZGIBBAN (Write-In)",1
"SRINIVAS GUPTA (Write-In)",1
"SUSANNAH PASQUATIANO (Write-In)",1
"THOMAS ROONEY (Write-In)",1
"TOMMY TOMES (Write-In)",1
"TOVIA GROSS (Write-In)",1
"TUDDY DAVID (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",41
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",6
"VICENTE ECHEVERRIA (Write-In)",1
"VITO J LOPEZ (Write-In)",1
,
,
,
"Total Votes","35,516"
"Unrecorded","5,160"

"Total for Member of the Assembly (53rd Assembly District) - Kings County"
"Public Counter","38,342"
"Manually Counted Emergency",0
"Absentee/Military",952
"Federal",170
"Special Presidential",0
"Affidavit","1,382"
"Total Ballots","40,846"
"Less - Inapplicable Federal/Special Presidential Ballots",(170)
"Total Applicable Ballots","40,676"
,
"Maritza Davila (Democratic)","32,792"
"Maritza Davila (Working Families)","2,602"
"8 MUNOZ (Write-In)",1
"ALEX BASAK (Write-In)",1
"ALEXIS PONCE (Write-In)",1
"ANTHONY NUNZIATE (Write-In)",1
"ANTHONY PELRINO (Write-In)",1
"ANTONIO REYNASO (Write-In)",1
"BENJAMIN TAYLOR (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BORIS JACOBSON (Write-In)",1
"CARMEN BONILLA (Write-In)",1
"CAROL NHAN (Write-In)",1
"CHARVEY GONZALEZ (Write-In)",1
"CHOIRE SICHA (Write-In)",1
"CHRISTOPHER G LEE (Write-In)",1
"CRAIG A SCEMAR (Write-In)",1
"DANIEL CRUZ (Write-In)",1
"DANIEL FALCON (Write-In)",1
"DIANA REYNA (Write-In)",1
"EDWARD MORALES (Write-In)",1
"ELEN DUNZIJ (Write-In)",1
"ENC THOMSON (Write-In)",1
"ERIC TRUMP (Write-In)",1
"FRED MERCURY (Write-In)",1
"GLADYS SANTIAGO (Write-In)",1
"GREG MULHOLLAND (Write-In)",1
"HARRISON ADAMS (Write-In)",1
"HILLARY CLINTON (Write-In)",1
"HUBERT O. MILLAN (Write-In)",1
"JEMMY LEANZA (Write-In)",1
"JESUS GONZALEZ (Write-In)",1
"JOHN CONTRA TESTEIS (Write-In)",1
"JOHN GRAY (Write-In)",1
"JULIE B DUNN (Write-In)",1
"KEN BELKIN (Write-In)",1
"KENNETH BELKIN (Write-In)",2
"KEVIN BELLCIA (Write-In)",1
"KEVIN WORTHINGTON (Write-In)",1
"KUNT SMITH (Write-In)",1
"LARA BRISILLA (Write-In)",1
"LARRY FERNANDEZ (Write-In)",1
"LAWSON ELWAY BAGA (Write-In)",1
"LEONARDO LABRIOLA (Write-In)",1
"LINCOLN RESTLER (Write-In)",1
"LOUIS VILCILLO (Write-In)",1
"LUIS A. RAMOS (Write-In)",1
"MARISSA MCARDLE (Write-In)",1
"MARK VERSAW (Write-In)",1
"MARTY FRIEDMAN (Write-In)",1
"MATTHEW COX (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",2
"MICHAEL MAY (Write-In)",1
"MICHELLE OBAMA (Write-In)",1
"MIKE MANH (Write-In)",1
"MIRANDA KAHN (Write-In)",1
"NATE SILVER (Write-In)",1
"NEWT GINGRICH (Write-In)",1
"PAUL CARRERAS (Write-In)",1
"PAUL GRASSFIELD (Write-In)",1
"PEDRA BADDLEG (Write-In)",1
"PHILIP JAMPOLE (Write-In)",1
"RALPH PASTENE (Write-In)",1
"ROBIN SHORE (Write-In)",1
"RON PAUL (Write-In)",1
"RYAN FITZGIBBAN (Write-In)",1
"SRINIVAS GUPTA (Write-In)",1
"SUSANNAH PASQUATIANO (Write-In)",1
"THOMAS ROONEY (Write-In)",1
"TOMMY TOMES (Write-In)",1
"TOVIA GROSS (Write-In)",1
"TUDDY DAVID (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",41
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",6
"VICENTE ECHEVERRIA (Write-In)",1
"VITO J LOPEZ (Write-In)",1
,
,
,
"Total Votes","35,516"
"Unrecorded","5,160"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
