,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Kings County
 - 
All Parties and Independent Bodies




Member of the Assembly


56th Assembly District


Vote for 1"
"Assembly District 56"
"Public Counter","42,026"
"Manually Counted Emergency",203
"Absentee/Military","1,059"
"Federal",84
"Special Presidential",0
"Affidavit","1,912"
"Total Ballots","45,284"
"Less - Inapplicable Federal/Special Presidential Ballots",(84)
"Total Applicable Ballots","45,200"
,
"Tremaine S. Wright (Democratic)","39,040"
"Tremaine S. Wright (Working Families)","2,796"
"AREYANA PALMER (Write-In)",1
"BARACK OBAMA (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BRANDON GATES (Write-In)",1
"BRYAN WEIR (Write-In)",1
"CHRIS CAMPANDLA (Write-In)",1
"CRAIG R BANNESTONE (Write-In)",1
"CRYSTON BOBB-SEMPLE (Write-In)",1
"DANIEL SHAW (Write-In)",1
"DARIUS C RAFIEYAN (Write-In)",1
"ELISA GUNTER (Write-In)",1
"GLENN MITDELL (Write-In)",1
"JAMA WHITE (Write-In)",1
"JANETTE SIDIK KAAN (Write-In)",1
"JIM JONES (Write-In)",1
"JONES BEYOR (Write-In)",1
"KAREN CHERRY (Write-In)",3
"KAREN MANNING (Write-In)",1
"KAREN Z. CHEMY (Write-In)",1
"LEROY JENKINS (Write-In)",1
"LETITITA JAMES (Write-In)",1
"LUMAMBA BANDELE (Write-In)",1
"LUMUMBA BANDELE (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"MICHAEL LEE JOHNSON (Write-In)",1
"MICHAEL SANCHEZ (Write-In)",1
"NICK TURAVICH (Write-In)",1
"NORAH WILLAMS (Write-In)",1
"RALPH YOZZO (Write-In)",1
"RANDY MAITLAND (Write-In)",1
"RENATA DAVIS (Write-In)",1
"SALVADOR ALLERDE (Write-In)",1
"SANDRA STEVENSON (Write-In)",1
"SEBASTIAN CALIGAN (Write-In)",1
"SHANTE JONES (Write-In)",1
"TED CRUZ (Write-In)",1
"TIMOTHY WROTEN (Write-In)",1
"TREMOVRE S WRIGHT (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",38
"WALTER RED (Write-In)",1
,
,
,
"Total Votes","41,916"
"Unrecorded","3,284"

"Total for Member of the Assembly (56th Assembly District) - Kings County"
"Public Counter","42,026"
"Manually Counted Emergency",203
"Absentee/Military","1,059"
"Federal",84
"Special Presidential",0
"Affidavit","1,912"
"Total Ballots","45,284"
"Less - Inapplicable Federal/Special Presidential Ballots",(84)
"Total Applicable Ballots","45,200"
,
"Tremaine S. Wright (Democratic)","39,040"
"Tremaine S. Wright (Working Families)","2,796"
"AREYANA PALMER (Write-In)",1
"BARACK OBAMA (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BRANDON GATES (Write-In)",1
"BRYAN WEIR (Write-In)",1
"CHRIS CAMPANDLA (Write-In)",1
"CRAIG R BANNESTONE (Write-In)",1
"CRYSTON BOBB-SEMPLE (Write-In)",1
"DANIEL SHAW (Write-In)",1
"DARIUS C RAFIEYAN (Write-In)",1
"ELISA GUNTER (Write-In)",1
"GLENN MITDELL (Write-In)",1
"JAMA WHITE (Write-In)",1
"JANETTE SIDIK KAAN (Write-In)",1
"JIM JONES (Write-In)",1
"JONES BEYOR (Write-In)",1
"KAREN CHERRY (Write-In)",3
"KAREN MANNING (Write-In)",1
"KAREN Z. CHEMY (Write-In)",1
"LEROY JENKINS (Write-In)",1
"LETITITA JAMES (Write-In)",1
"LUMAMBA BANDELE (Write-In)",1
"LUMUMBA BANDELE (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"MICHAEL LEE JOHNSON (Write-In)",1
"MICHAEL SANCHEZ (Write-In)",1
"NICK TURAVICH (Write-In)",1
"NORAH WILLAMS (Write-In)",1
"RALPH YOZZO (Write-In)",1
"RANDY MAITLAND (Write-In)",1
"RENATA DAVIS (Write-In)",1
"SALVADOR ALLERDE (Write-In)",1
"SANDRA STEVENSON (Write-In)",1
"SEBASTIAN CALIGAN (Write-In)",1
"SHANTE JONES (Write-In)",1
"TED CRUZ (Write-In)",1
"TIMOTHY WROTEN (Write-In)",1
"TREMOVRE S WRIGHT (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",38
"WALTER RED (Write-In)",1
,
,
,
"Total Votes","41,916"
"Unrecorded","3,284"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
