"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"50","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1203",1,"Public Counter",167
"50","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1203",1,"Manually Counted Emergency",0
"50","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1203",1,"Absentee/Military",2
"50","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1203",1,"Federal",1
"50","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1203",1,"Special Presidential",0
"50","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1203",1,"Affidavit",1
"50","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1203",1,"Susan Quirk (Democratic)",89
"50","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1203",1,"Public Counter","1,086"
"50","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1203",1,"Manually Counted Emergency",0
"50","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1203",1,"Absentee/Military",55
"50","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1203",1,"Federal",15
"50","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1203",1,"Special Presidential",0
"50","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1203",1,"Affidavit",32
"50","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1203",1,"Susan Quirk (Democratic)",946
"50","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1203",1,"Scattered",4
