,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Kings County
 - 
All Parties and Independent Bodies




Judge of the Civil Court - District


3rd Municipal Court District - Kings


Vote for 1"
"Assembly District 50"
"Public Counter","35,081"
"Manually Counted Emergency",11
"Absentee/Military","1,336"
"Federal",296
"Special Presidential",0
"Affidavit","1,046"
"Total Ballots","37,770"
"Less - Inapplicable Federal/Special Presidential Ballots",(296)
"Total Applicable Ballots","37,474"
,
"Susan Quirk (Democratic)","27,299"
"AJAMU BARAKA (Write-In)",1
"ANDREW MCCASLANO (Write-In)",1
"ANOS HUXLEY (Write-In)",1
"AVEENA YASKIN HASSEIN (Write-In)",1
"BARREN BUOTEY (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"BILLY DEAN HADDOCK SR. (Write-In)",1
"BRYCE RICHARDSON (Write-In)",1
"CASEY WINPEE (Write-In)",1
"CHRIS WITTENBORN (Write-In)",1
"COLM GUINN DILLANS (Write-In)",1
"DAVID C. FORSTER (Write-In)",1
"DAVID FRIED (Write-In)",1
"DAVID MICHAEL FALCON (Write-In)",1
"DICK QUIRK (Write-In)",1
"DONALD TRUMP (Write-In)",1
"EDWARD CELOMER (Write-In)",1
"EDWARD E MARSHALL (Write-In)",1
"FRED CHUTE (Write-In)",1
"GEORGE PETROS (Write-In)",1
"GREG KELLY (Write-In)",1
"GYDA SABAOGH (Write-In)",1
"HALEY HUGHES DURGES (Write-In)",1
"JACK KAVERKIAN (Write-In)",1
"JILL STEIN (Write-In)",1
"JOE SAWATS (Write-In)",1
"JOEL BURGOS (Write-In)",1
"JOEL FEROLTTO (Write-In)",1
"JOEL SALEAHN (Write-In)",1
"JOHN COVERDALE (Write-In)",1
"JOHN NEIL (Write-In)",1
"JUDGE JEANINE PIRRO (Write-In)",1
"KRYSTOF LACH (Write-In)",2
"LARRY DAVID (Write-In)",1
"MELISSA JANAE (Write-In)",1
"MEREDITH KORDA (Write-In)",1
"MICHEAL J POTTER (Write-In)",1
"RACHEL E. FREIER (Write-In)",1
"RAJAIL PEREZ (Write-In)",1
"REGINALD A BODDIE (Write-In)",1
"ROBERT BURKE SR. (Write-In)",1
"ROBIN LAVUERNE WILSON (Write-In)",1
"RUCHY FREIER (Write-In)",1
"RUDY GIULIAM (Write-In)",1
"SAMUEL CHAMINO (Write-In)",1
"SCOTT OSTERMILLER (Write-In)",1
"SERGIO JIMENEZ (Write-In)",1
"TED JONE (Write-In)",1
"TOM BURROWS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",63
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
"WILLIAM P O'NEIL III (Write-In)",1
"ZACHARY VERHOFF (Write-In)",1
,
,
,
"Total Votes","27,417"
"Unrecorded","10,057"

"Assembly District 53"
"Public Counter","32,014"
"Manually Counted Emergency",0
"Absentee/Military",833
"Federal",161
"Special Presidential",0
"Affidavit","1,171"
"Total Ballots","34,179"
"Less - Inapplicable Federal/Special Presidential Ballots",(161)
"Total Applicable Ballots","34,018"
,
"Susan Quirk (Democratic)","23,733"
"A.J. GREEN (Write-In)",1
"ALEXIS PONCE (Write-In)",1
"ANNE R DANA (Write-In)",1
"ANTONIN SCALIA (Write-In)",1
"BARAK OBAMA (Write-In)",1
"BEN CARSON (Write-In)",1
"BRENT STAPLES (Write-In)",1
"BUCH LEPARD (Write-In)",1
"CAROL DIGGLER (Write-In)",1
"CAROL LIPTON (Write-In)",1
"CHERRY GARCIA (Write-In)",1
"CHRISTINE LEWIS (Write-In)",1
"CRAIG LANCASTER (Write-In)",1
"CRAIG SEEMAN (Write-In)",1
"DANILLE GULDIA (Write-In)",1
"DAVID NORDSTROM (Write-In)",1
"DONALD TRUMP (Write-In)",1
"DOUGLAS LIPARI (Write-In)",1
"EDWARD IRIZZARY (Write-In)",1
"EDWARD MORALES (Write-In)",1
"FRANCESCA LUCIA CUTHRONE (Write-In)",2
"HILDA CALON (Write-In)",1
"JULIAN ASSANGE (Write-In)",1
"JULIE B DUNN (Write-In)",1
"KEITH MOON (Write-In)",1
"KRISTA PORZINGNY (Write-In)",1
"MARTIN NEEDELMAN (Write-In)",1
"MARY CAITLIN JONES (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"MICHAEL NUCCI (Write-In)",1
"OPRAH WINFREY (Write-In)",1
"PABLO ESCOBAR (Write-In)",1
"REGINA GEORGE (Write-In)",1
"RICHARD CLARKE (Write-In)",1
"STEVE NELSON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",28
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
"WILL AUTZ (Write-In)",1
"WILL NEWMAN (Write-In)",1
"YONATAN RUBIO (Write-In)",1
"YOSSI GESTETNER (Write-In)",1
,
,
,
"Total Votes","23,803"
"Unrecorded","10,215"

"Assembly District 54"
"Public Counter",718
"Manually Counted Emergency",0
"Absentee/Military",19
"Federal",1
"Special Presidential",0
"Affidavit",29
"Total Ballots",767
"Less - Inapplicable Federal/Special Presidential Ballots",(1)
"Total Applicable Ballots",766
,
"Susan Quirk (Democratic)",625
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes",626
"Unrecorded",140

"Assembly District 56"
"Public Counter","3,792"
"Manually Counted Emergency",19
"Absentee/Military",54
"Federal",3
"Special Presidential",0
"Affidavit",176
"Total Ballots","4,044"
"Less - Inapplicable Federal/Special Presidential Ballots",(3)
"Total Applicable Ballots","4,041"
,
"Susan Quirk (Democratic)","2,956"
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes","2,957"
"Unrecorded","1,084"

"Assembly District 57"
"Public Counter","1,697"
"Manually Counted Emergency",10
"Absentee/Military",80
"Federal",16
"Special Presidential",0
"Affidavit",56
"Total Ballots","1,859"
"Less - Inapplicable Federal/Special Presidential Ballots",(16)
"Total Applicable Ballots","1,843"
,
"Susan Quirk (Democratic)","1,469"
"ERANGA FERNANDO (Write-In)",1
"JOHN WALKER (Write-In)",1
"MENDAL NEUMAN (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
,
,
,
"Total Votes","1,475"
"Unrecorded",368

"Total for Judge of the Civil Court - District (3rd Municipal Court District - Kings) - Kings County"
"Public Counter","73,302"
"Manually Counted Emergency",40
"Absentee/Military","2,322"
"Federal",477
"Special Presidential",0
"Affidavit","2,478"
"Total Ballots","78,619"
"Less - Inapplicable Federal/Special Presidential Ballots",(477)
"Total Applicable Ballots","78,142"
,
"Susan Quirk (Democratic)","56,082"
"A.J. GREEN (Write-In)",1
"AJAMU BARAKA (Write-In)",1
"ALEXIS PONCE (Write-In)",1
"ANDREW MCCASLANO (Write-In)",1
"ANNE R DANA (Write-In)",1
"ANOS HUXLEY (Write-In)",1
"ANTONIN SCALIA (Write-In)",1
"AVEENA YASKIN HASSEIN (Write-In)",1
"BARAK OBAMA (Write-In)",1
"BARREN BUOTEY (Write-In)",1
"BEN CARSON (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"BILLY DEAN HADDOCK SR. (Write-In)",1
"BRENT STAPLES (Write-In)",1
"BRYCE RICHARDSON (Write-In)",1
"BUCH LEPARD (Write-In)",1
"CAROL DIGGLER (Write-In)",1
"CAROL LIPTON (Write-In)",1
"CASEY WINPEE (Write-In)",1
"CHERRY GARCIA (Write-In)",1
"CHRIS WITTENBORN (Write-In)",1
"CHRISTINE LEWIS (Write-In)",1
"COLM GUINN DILLANS (Write-In)",1
"CRAIG LANCASTER (Write-In)",1
"CRAIG SEEMAN (Write-In)",1
"DANILLE GULDIA (Write-In)",1
"DAVID C. FORSTER (Write-In)",1
"DAVID FRIED (Write-In)",1
"DAVID MICHAEL FALCON (Write-In)",1
"DAVID NORDSTROM (Write-In)",1
"DICK QUIRK (Write-In)",1
"DONALD TRUMP (Write-In)",2
"DOUGLAS LIPARI (Write-In)",1
"EDWARD CELOMER (Write-In)",1
"EDWARD E MARSHALL (Write-In)",1
"EDWARD IRIZZARY (Write-In)",1
"EDWARD MORALES (Write-In)",1
"ERANGA FERNANDO (Write-In)",1
"FRANCESCA LUCIA CUTHRONE (Write-In)",2
"FRED CHUTE (Write-In)",1
"GEORGE PETROS (Write-In)",1
"GREG KELLY (Write-In)",1
"GYDA SABAOGH (Write-In)",1
"HALEY HUGHES DURGES (Write-In)",1
"HILDA CALON (Write-In)",1
"JACK KAVERKIAN (Write-In)",1
"JILL STEIN (Write-In)",1
"JOE SAWATS (Write-In)",1
"JOEL BURGOS (Write-In)",1
"JOEL FEROLTTO (Write-In)",1
"JOEL SALEAHN (Write-In)",1
"JOHN COVERDALE (Write-In)",1
"JOHN NEIL (Write-In)",1
"JOHN WALKER (Write-In)",1
"JUDGE JEANINE PIRRO (Write-In)",1
"JULIAN ASSANGE (Write-In)",1
"JULIE B DUNN (Write-In)",1
"KEITH MOON (Write-In)",1
"KRISTA PORZINGNY (Write-In)",1
"KRYSTOF LACH (Write-In)",2
"LARRY DAVID (Write-In)",1
"MARTIN NEEDELMAN (Write-In)",1
"MARY CAITLIN JONES (Write-In)",1
"MELISSA JANAE (Write-In)",1
"MENDAL NEUMAN (Write-In)",1
"MEREDITH KORDA (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"MICHAEL NUCCI (Write-In)",1
"MICHEAL J POTTER (Write-In)",1
"OPRAH WINFREY (Write-In)",1
"PABLO ESCOBAR (Write-In)",1
"RACHEL E. FREIER (Write-In)",1
"RAJAIL PEREZ (Write-In)",1
"REGINA GEORGE (Write-In)",1
"REGINALD A BODDIE (Write-In)",1
"RICHARD CLARKE (Write-In)",1
"ROBERT BURKE SR. (Write-In)",1
"ROBIN LAVUERNE WILSON (Write-In)",1
"RUCHY FREIER (Write-In)",1
"RUDY GIULIAM (Write-In)",1
"SAMUEL CHAMINO (Write-In)",1
"SCOTT OSTERMILLER (Write-In)",1
"SERGIO JIMENEZ (Write-In)",1
"STEVE NELSON (Write-In)",1
"TED JONE (Write-In)",1
"TOM BURROWS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",96
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",5
"WILL AUTZ (Write-In)",1
"WILL NEWMAN (Write-In)",1
"WILLIAM P O'NEIL III (Write-In)",1
"YONATAN RUBIO (Write-In)",1
"YOSSI GESTETNER (Write-In)",1
"ZACHARY VERHOFF (Write-In)",1
,
,
,
"Total Votes","56,278"
"Unrecorded","21,864"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
