"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"44","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Public Counter",469
"44","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Manually Counted Emergency",0
"44","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Absentee/Military",0
"44","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Federal",0
"44","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Special Presidential",0
"44","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Affidavit",9
"44","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Rachel E. Freier (Democratic)",257
"44","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Morton M. Avigdor (Conservative)",76
"44","001","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Morton M. Avigdor (Independence)",11
"44","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Public Counter",283
"44","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Manually Counted Emergency",0
"44","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Absentee/Military",3
"44","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Federal",0
"44","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Special Presidential",0
"44","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Affidavit",5
"44","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Rachel E. Freier (Democratic)",138
"44","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Morton M. Avigdor (Conservative)",76
"44","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Morton M. Avigdor (Independence)",6
"44","002","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Scattered",2
"44","003","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Public Counter",482
"44","003","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Manually Counted Emergency",0
"44","003","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Absentee/Military",4
"44","003","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Federal",5
"44","003","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Special Presidential",0
"44","003","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Affidavit",8
"44","003","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Rachel E. Freier (Democratic)",275
"44","003","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Morton M. Avigdor (Conservative)",97
"44","003","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Morton M. Avigdor (Independence)",9
"44","004","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Public Counter",320
"44","004","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Manually Counted Emergency",0
"44","004","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Absentee/Military",5
"44","004","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Federal",2
"44","004","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Special Presidential",0
"44","004","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Affidavit",11
"44","004","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Rachel E. Freier (Democratic)",168
"44","004","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Morton M. Avigdor (Conservative)",71
"44","004","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Morton M. Avigdor (Independence)",3
"44","004","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Scattered",2
"44","005","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Public Counter",630
"44","005","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Manually Counted Emergency",0
"44","005","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Absentee/Military",8
"44","005","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Federal",3
"44","005","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1205",1,"Special Presidential",0
