,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Queens County
 - 
All Parties and Independent Bodies




President/Vice President


Citywide


Vote for 1"
"Assembly District 23"
"Public Counter","39,481"
"Manually Counted Emergency",3
"Absentee / Military","1,779"
"Federal",170
"Special Presidential",0
"Affidavit","1,517"
"Total Ballots","42,950"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","42,950"
,
"Hillary Clinton / Tim Kaine (Democratic)","21,887"
"Donald J. Trump / Michael R. Pence (Republican)","17,051"
"Donald J. Trump / Michael R. Pence (Conservative)","1,717"
"Jill Stein / Ajamu Baraka (Green)",446
"Hillary Clinton / Tim Kaine (Working Families)",557
"Gary Johnson / Bill Weld (Independence)",403
"Hillary Clinton / Tim Kaine (Women's Equality)",108
"Gary Johnson / Bill Weld (Libertarian)",107
"CLIFTON ROBERTS (Official Write-In)",2
"DARRELL CASTLE (Official Write-In)",2
"EVAN MCMULLIN (Official Write-In)",26
"JASON MUTFORD (Official Write-In)",1
"JEFFREY MACKLER (Official Write-In)",1
"LYNN KAHN (Official Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",251
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",5
,
,
,
"Total Votes","42,565"
"Unrecorded",385

"Assembly District 24"
"Public Counter","36,961"
"Manually Counted Emergency",0
"Absentee / Military","1,372"
"Federal",195
"Special Presidential",0
"Affidavit","1,273"
"Total Ballots","39,801"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","39,801"
,
"Hillary Clinton / Tim Kaine (Democratic)","29,468"
"Donald J. Trump / Michael R. Pence (Republican)","7,781"
"Donald J. Trump / Michael R. Pence (Conservative)",660
"Jill Stein / Ajamu Baraka (Green)",424
"Hillary Clinton / Tim Kaine (Working Families)",558
"Gary Johnson / Bill Weld (Independence)",272
"Hillary Clinton / Tim Kaine (Women's Equality)",110
"Gary Johnson / Bill Weld (Libertarian)",90
"ARIEL COHEN (Official Write-In)",3
"DARRELL CASTLE (Official Write-In)",1
"EVAN MCMULLIN (Official Write-In)",21
"JASON FRIED (Official Write-In)",2
"MICHAEL A. MATUREN (Official Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",133
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",4
,
,
,
"Total Votes","39,528"
"Unrecorded",273

"Assembly District 25"
"Public Counter","32,373"
"Manually Counted Emergency",0
"Absentee / Military","1,231"
"Federal",284
"Special Presidential",0
"Affidavit",716
"Total Ballots","34,604"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","34,604"
,
"Hillary Clinton / Tim Kaine (Democratic)","21,335"
"Donald J. Trump / Michael R. Pence (Republican)","10,291"
"Donald J. Trump / Michael R. Pence (Conservative)",809
"Jill Stein / Ajamu Baraka (Green)",480
"Hillary Clinton / Tim Kaine (Working Families)",620
"Gary Johnson / Bill Weld (Independence)",328
"Hillary Clinton / Tim Kaine (Women's Equality)",112
"Gary Johnson / Bill Weld (Libertarian)",116
"ARIEL COHEN (Official Write-In)",3
"CHRIS KENISTON (Official Write-In)",1
"DARRELL CASTLE (Official Write-In)",2
"EVAN MCMULLIN (Official Write-In)",43
"GLORIA LA RIVA (Official Write-In)",1
"MICHAEL A. MATUREN (Official Write-In)",3
"ZOLTAN ISTVAN GYURKO (Official Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",156
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
,
,
,
"Total Votes","34,303"
"Unrecorded",301

"Assembly District 26"
"Public Counter","44,070"
"Manually Counted Emergency",0
"Absentee / Military","2,216"
"Federal",220
"Special Presidential",1
"Affidavit",885
"Total Ballots","47,392"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","47,392"
,
"Hillary Clinton / Tim Kaine (Democratic)","25,810"
"Donald J. Trump / Michael R. Pence (Republican)","17,208"
"Donald J. Trump / Michael R. Pence (Conservative)","1,628"
"Jill Stein / Ajamu Baraka (Green)",573
"Hillary Clinton / Tim Kaine (Working Families)",724
"Gary Johnson / Bill Weld (Independence)",506
"Hillary Clinton / Tim Kaine (Women's Equality)",121
"Gary Johnson / Bill Weld (Libertarian)",159
"CLIFTON ROBERTS (Official Write-In)",1
"DARRELL CASTLE (Official Write-In)",5
"EVAN MCMULLIN (Official Write-In)",43
"MICHAEL A. MATUREN (Official Write-In)",1
"CONDOLEEZA RICE (Write-In)",1
