,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Queens County
 - 
All Parties and Independent Bodies




United States Senator


Citywide


Vote for 1"
"Assembly District 23"
"Public Counter","39,481"
"Manually Counted Emergency",3
"Absentee/Military","1,779"
"Federal",170
"Special Presidential",0
"Affidavit","1,517"
"Total Ballots","42,950"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","42,950"
,
"Charles E. Schumer (Democratic)","27,607"
"Wendy Long (Republican)","9,224"
"Wendy Long (Conservative)","1,400"
"Robin Laverne Wilson (Green)",424
"Charles E. Schumer (Working Families)","1,248"
"Charles E. Schumer (Independence)",672
"Charles E. Schumer (Women's Equality)",117
"Wendy Long (Reform)",39
"Alex Merced (Libertarian)",126
"ALLAN W. JENNINGS JR. (Write-In)",1
"ANTHONY DEBLASI (Write-In)",1
"ANTHONY WIENER (Write-In)",1
"AVARAHAM HECHT (Write-In)",1
"BUDDY SAMIS (Write-In)",1
"JACOB PERASSO (Write-In)",1
"JOSEPH ADDABBO (Write-In)",1
"KENNETH GOOD (Write-In)",1
"MICHAEL JACKSON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",11
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",4
"WINSTON CHURCHILL (Write-In)",1
,
,
,
"Total Votes","40,882"
"Unrecorded","2,068"

"Assembly District 24"
"Public Counter","36,961"
"Manually Counted Emergency",0
"Absentee/Military","1,372"
"Federal",195
"Special Presidential",0
"Affidavit","1,273"
"Total Ballots","39,801"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","39,801"
,
"Charles E. Schumer (Democratic)","30,122"
"Wendy Long (Republican)","5,277"
"Wendy Long (Conservative)",665
"Robin Laverne Wilson (Green)",497
"Charles E. Schumer (Working Families)",770
"Charles E. Schumer (Independence)",345
"Charles E. Schumer (Women's Equality)",87
"Wendy Long (Reform)",41
"Alex Merced (Libertarian)",149
"BERNIE SANDERS (Write-In)",1
"DOUGLAS WASHINGTON (Write-In)",1
"JOMMA ASED (Write-In)",1
"PETER GOODRICH (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",6
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
"VISHNU MAHADEO (Write-In)",2
,
,
,
"Total Votes","37,967"
"Unrecorded","1,834"

"Assembly District 25"
"Public Counter","32,373"
"Manually Counted Emergency",0
"Absentee/Military","1,231"
"Federal",284
"Special Presidential",0
"Affidavit",716
"Total Ballots","34,604"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","34,604"
,
"Charles E. Schumer (Democratic)","22,069"
"Wendy Long (Republican)","6,608"
"Wendy Long (Conservative)",778
"Robin Laverne Wilson (Green)",503
"Charles E. Schumer (Working Families)",878
"Charles E. Schumer (Independence)",436
"Charles E. Schumer (Women's Equality)",130
"Wendy Long (Reform)",72
"Alex Merced (Libertarian)",127
"BERNIE SANDERS (Write-In)",1
"JINNAT MIAH (Write-In)",1
"JOSEPH ADDABBO (Write-In)",1
"LIORA HAIMOFF (Write-In)",1
"NITA FOLEY (Write-In)",1
"SARA NICCOLI (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",9
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
,
,
,
"Total Votes","31,619"
"Unrecorded","2,985"

"Assembly District 26"
"Public Counter","44,070"
"Manually Counted Emergency",0
"Absentee/Military","2,216"
"Federal",220
"Special Presidential",1
"Affidavit",885
"Total Ballots","47,392"
"Less - Inapplicable Federal/Special Presidential Ballots",(1)
"Total Applicable Ballots","47,391"
,
"Charles E. Schumer (Democratic)","29,843"
"Wendy Long (Republican)","10,579"
"Wendy Long (Conservative)","1,375"
"Robin Laverne Wilson (Green)",566
"Charles E. Schumer (Working Families)","1,226"
"Charles E. Schumer (Independence)",704
"Charles E. Schumer (Women's Equality)",141
"Wendy Long (Reform)",59
"Alex Merced (Libertarian)",208
"ALFRED E. NEWMAN (Write-In)",1
"ARUN NATARJAN (Write-In)",1
"BERNIE SANDERS (Write-In)",4
"CHRIS MITSIS (Write-In)",1
"DONALD TRUMP (Write-In)",1
"DOUGLAS WILLIAMSON (Write-In)",1
"EILI MOOSE (Write-In)",1
"FRANK A. SEDITA III (Write-In)",1
"FRANK PADAVAN (Write-In)",1
"JACOB PERASSO (Write-In)",1
"JIANHAO M. ZENG (Write-In)",1
"KAI DENG YU (Write-In)",1
"OTTO TOMPOS (Write-In)",1
"SAMANTHA BEE (Write-In)",1
"SEBASTIAN D. COLVIN (Write-In)",2
"UNATTRIBUTABLE WRITE-IN (Write-In)",4
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
,
,
,
"Total Votes","44,727"
"Unrecorded","2,664"

"Assembly District 27"
"Public Counter","34,768"
"Manually Counted Emergency",116
"Absentee/Military","1,454"
"Federal",476
"Special Presidential",0
"Affidavit","1,163"
"Total Ballots","37,977"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","37,977"
,
"Charles E. Schumer (Democratic)","25,782"
"Wendy Long (Republican)","6,517"
"Wendy Long (Conservative)",719
"Robin Laverne Wilson (Green)",602
"Charles E. Schumer (Working Families)","1,003"
"Charles E. Schumer (Independence)",525
"Charles E. Schumer (Women's Equality)",129
"Wendy Long (Reform)",49
"Alex Merced (Libertarian)",150
"AJAMU BARAKA (Write-In)",1
"AL BUNDY (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"FRANCISCO BRITEZ (Write-In)",1
"HILLARY CLINTON (Write-In)",1
"JOSE PERALTA (Write-In)",1
"KALIROI HALKIAS (Write-In)",1
"KEVIN TSAI (Write-In)",1
"LEBBY AMSEL (Write-In)",1
"LISA HEALY (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"PAULINA SUIETANKE (Write-In)",1
"TONY AVELLA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",4
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",4
,
,
,
"Total Votes","35,497"
"Unrecorded","2,480"

"Assembly District 28"
"Public Counter","41,774"
"Manually Counted Emergency",15
"Absentee/Military","2,040"
"Federal",418
"Special Presidential",0
"Affidavit","1,172"
"Total Ballots","45,419"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","45,419"
,
"Charles E. Schumer (Democratic)","29,845"
"Wendy Long (Republican)","8,769"
"Wendy Long (Conservative)","1,057"
"Robin Laverne Wilson (Green)",816
"Charles E. Schumer (Working Families)","1,287"
"Charles E. Schumer (Independence)",617
"Charles E. Schumer (Women's Equality)",175
"Wendy Long (Reform)",59
"Alex Merced (Libertarian)",250
"BARACK OBAMA (Write-In)",1
"BERNIE SANDERS (Write-In)",3
"CHRIS CABALLERO (Write-In)",1
"JAMES P.SCHATZ (Write-In)",1
"JOHN KADA (Write-In)",1
"JONATHAN DAVID HEADLEE (Write-In)",1
"LOWELL D. BLACKMAN (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"MICHELLE HOLLAND (Write-In)",1
"ROBERT L. TURNER (Write-In)",1
"STEVE TUGAN (Write-In)",1
"SULLY MALLETTA (Write-In)",1
"SUSAN ROBERTA ELESSAWI (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",11
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
,
,
,
"Total Votes","42,904"
"Unrecorded","2,515"

"Assembly District 29"
"Public Counter","42,054"
"Manually Counted Emergency",98
"Absentee/Military","1,396"
"Federal",86
"Special Presidential",0
"Affidavit","1,599"
"Total Ballots","45,233"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","45,233"
,
"Charles E. Schumer (Democratic)","41,076"
"Wendy Long (Republican)","1,588"
"Wendy Long (Conservative)",176
"Robin Laverne Wilson (Green)",481
"Charles E. Schumer (Working Families)",478
"Charles E. Schumer (Independence)",172
"Charles E. Schumer (Women's Equality)",50
"Wendy Long (Reform)",38
"Alex Merced (Libertarian)",46
"BRANDON ELLIOT WILLIAMS (Write-In)",1
"COREY GUMBS (Write-In)",1
"LEROY G. COMRIE JR. (Write-In)",1
"MARK FAULKNER (Write-In)",1
"RUTH CAMPBELL (Write-In)",1
"TIM SCOTT (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",8
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
,
,
,
"Total Votes","44,122"
"Unrecorded","1,111"

"Assembly District 30"
"Public Counter","37,183"
"Manually Counted Emergency",8
"Absentee/Military","1,316"
"Federal",259
"Special Presidential",0
"Affidavit","1,007"
"Total Ballots","39,773"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","39,773"
,
"Charles E. Schumer (Democratic)","26,553"
"Wendy Long (Republican)","6,735"
"Wendy Long (Conservative)",940
"Robin Laverne Wilson (Green)",811
"Charles E. Schumer (Working Families)","1,369"
"Charles E. Schumer (Independence)",541
"Charles E. Schumer (Women's Equality)",188
"Wendy Long (Reform)",52
"Alex Merced (Libertarian)",229
"BERNIE SANDERS (Write-In)",1
"BRUCE WAYNE (Write-In)",1
"CAROLINE KENNEDY (Write-In)",2
"GEORGE HANNA (Write-In)",1
"JEFF CATALANO (Write-In)",1
"KIRSTEN E. GILLIBRAND (Write-In)",1
"LOLITA LEBRON (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"PAUL M. HEEGE (Write-In)",1
"RANDY CREDICO (Write-In)",1
"RAUL PAUL (Write-In)",1
"RUSS FEINGOLD (Write-In)",1
"SARA NICCOLI (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",7
"WILLIAM RADSKE (Write-In)",1
"ZEPHYR TEACHOUT (Write-In)",1
,
,
,
"Total Votes","37,441"
"Unrecorded","2,332"

"Assembly District 31"
"Public Counter","33,705"
"Manually Counted Emergency",0
"Absentee/Military",893
"Federal",51
"Special Presidential",0
"Affidavit","1,714"
"Total Ballots","36,363"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","36,363"
,
"Charles E. Schumer (Democratic)","31,624"
"Wendy Long (Republican)","1,824"
"Wendy Long (Conservative)",210
"Robin Laverne Wilson (Green)",372
"Charles E. Schumer (Working Families)",545
"Charles E. Schumer (Independence)",203
"Charles E. Schumer (Women's Equality)",53
"Wendy Long (Reform)",27
"Alex Merced (Libertarian)",56
"BERNIE SANDERS (Write-In)",1
"CLARINE WILLIAMS (Write-In)",1
"KENNETH MINGO (Write-In)",1
"RONALD REAGAN (Write-In)",1
"STEPHANT BATISTA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",6
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
,
,
,
"Total Votes","34,928"
"Unrecorded","1,435"

"Assembly District 32"
"Public Counter","40,022"
"Manually Counted Emergency",0
"Absentee/Military","1,129"
"Federal",46
"Special Presidential",1
"Affidavit","1,873"
"Total Ballots","43,071"
"Less - Inapplicable Federal/Special Presidential Ballots",(1)
"Total Applicable Ballots","43,070"
,
"Charles E. Schumer (Democratic)","39,220"
"Wendy Long (Republican)","1,221"
"Wendy Long (Conservative)",122
"Robin Laverne Wilson (Green)",437
"Charles E. Schumer (Working Families)",467
"Charles E. Schumer (Independence)",203
"Charles E. Schumer (Women's Equality)",43
"Wendy Long (Reform)",32
"Alex Merced (Libertarian)",63
"ANTHONY ERAMO (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"COLIN KIRKPATRICK (Write-In)",1
"JACOB PERASSO (Write-In)",1
"JASON WARF (Write-In)",1
"JOSEPH MARTHONE (Write-In)",1
"LANCE I. FUERTADO (Write-In)",1
"SUSIE WILLIAMS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",6
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
"WILLIAM LORD WEST (Write-In)",1
,
,
,
"Total Votes","41,826"
"Unrecorded","1,244"

"Assembly District 33"
"Public Counter","45,517"
"Manually Counted Emergency",0
"Absentee/Military","1,435"
"Federal",93
"Special Presidential",0
"Affidavit","1,532"
"Total Ballots","48,577"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","48,577"
,
"Charles E. Schumer (Democratic)","41,946"
"Wendy Long (Republican)","3,070"
"Wendy Long (Conservative)",414
"Robin Laverne Wilson (Green)",534
"Charles E. Schumer (Working Families)",650
"Charles E. Schumer (Independence)",335
"Charles E. Schumer (Women's Equality)",52
"Wendy Long (Reform)",36
"Alex Merced (Libertarian)",89
"BERNIE SANDERS (Write-In)",1
"BRIAN NURSE (Write-In)",1
"CLIVE A. DAWKINS (Write-In)",1
"COREY BOOKER (Write-In)",1
"DWIGHT ELLIS (Write-In)",1
"JOHN ROBINSON (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"MUHIB SAMAD (Write-In)",1
"MUMIO ABU - JAMAL (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",4
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",5
,
,
,
"Total Votes","47,144"
"Unrecorded","1,433"

"Assembly District 34"
"Public Counter","29,734"
"Manually Counted Emergency",0
"Absentee/Military",772
"Federal",149
"Special Presidential",0
"Affidavit","1,139"
"Total Ballots","31,794"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","31,794"
,
"Charles E. Schumer (Democratic)","23,974"
"Wendy Long (Republican)","3,268"
"Wendy Long (Conservative)",379
"Robin Laverne Wilson (Green)",631
"Charles E. Schumer (Working Families)",896
"Charles E. Schumer (Independence)",291
"Charles E. Schumer (Women's Equality)",119
"Wendy Long (Reform)",35
"Alex Merced (Libertarian)",142
"BERNIE SANDERS (Write-In)",1
"HARRISON J. GOLDIN (Write-In)",1
"JACOB PERASSO (Write-In)",1
"MADELIYN ALBRIGHT (Write-In)",1
"MINGNA WEN (Write-In)",1
"NESTOR SANCHEZ (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",10
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",4
,
,
,
"Total Votes","29,755"
"Unrecorded","2,039"

"Assembly District 35"
"Public Counter","26,302"
"Manually Counted Emergency",0
"Absentee/Military",970
"Federal",77
"Special Presidential",0
"Affidavit","1,077"
"Total Ballots","28,426"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","28,426"
,
"Charles E. Schumer (Democratic)","22,447"
"Wendy Long (Republican)","2,629"
"Wendy Long (Conservative)",258
"Robin Laverne Wilson (Green)",436
"Charles E. Schumer (Working Families)",515
"Charles E. Schumer (Independence)",209
"Charles E. Schumer (Women's Equality)",85
"Wendy Long (Reform)",39
"Alex Merced (Libertarian)",86
"AL SHARPTON (Write-In)",1
"ANTHONY NAVARRETE (Write-In)",1
"BARACK OBAMA (Write-In)",1
"DONALD TRUMP (Write-In)",1
"MARK J. BIBLIS (Write-In)",1
"ROBBIE SHEIKH (Write-In)",1
"SEAN PRICE (Write-In)",1
"STEPHANIE CAMPOS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",7
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",5
,
,
,
"Total Votes","26,724"
"Unrecorded","1,702"

"Assembly District 36"
"Public Counter","41,664"
"Manually Counted Emergency",0
"Absentee/Military","1,473"
"Federal",461
"Special Presidential",0
"Affidavit","1,277"
"Total Ballots","44,875"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","44,875"
,
"Charles E. Schumer (Democratic)","32,375"
"Wendy Long (Republican)","5,262"
"Wendy Long (Conservative)",578
"Robin Laverne Wilson (Green)","1,438"
