,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Queens County
 - 
All Parties and Independent Bodies




Representative in Congress


3rd Congressional District


Vote for 1"
"Assembly District 24"
"Public Counter","6,456"
"Manually Counted Emergency",0
"Absentee/Military",269
"Federal",31
"Special Presidential",0
"Affidavit",159
"Total Ballots","6,915"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,915"
,
"Thomas R. Suozzi (Democratic)","4,724"
"Jack M. Martins (Republican)","1,362"
"Jack M. Martins (Conservative)",213
"Jack M. Martins (Reform)",75
"ALTON MADDOX (Write-In)",1
"DOUGLAS WASHINGTON (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","6,377"
"Unrecorded",538

"Assembly District 25"
"Public Counter","1,149"
"Manually Counted Emergency",0
"Absentee/Military",40
"Federal",9
"Special Presidential",0
"Affidavit",30
"Total Ballots","1,228"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,228"
,
"Thomas R. Suozzi (Democratic)",720
"Jack M. Martins (Republican)",348
"Jack M. Martins (Conservative)",41
"Jack M. Martins (Reform)",17
"KIM KARDASHIAN (Write-In)",1
,
,
,
"Total Votes","1,127"
"Unrecorded",101

"Assembly District 26"
"Public Counter","27,478"
"Manually Counted Emergency",0
"Absentee/Military","1,474"
"Federal",140
"Special Presidential",1
"Affidavit",550
"Total Ballots","29,643"
"Less - Inapplicable Federal/Special Presidential Ballots",(1)
"Total Applicable Ballots","29,642"
,
"Thomas R. Suozzi (Democratic)","17,207"
"Jack M. Martins (Republican)","8,558"
"Jack M. Martins (Conservative)",968
"Jack M. Martins (Reform)",239
"ALFRED E. NEUMAN (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"DANIEL VILA RIVERA (Write-In)",1
"JOSEPH BECHAR (Write-In)",1
"JOSEPH FANARA (Write-In)",1
"KAI DENG YU (Write-In)",1
"LAZER AXELMAN (Write-In)",1
"LEIF ANDERSON (Write-In)",1
"MICHAEL GLANNISIS (Write-In)",1
"MICHAEL MCDERMOTT (Write-In)",1
"PHILIP PIDOT (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VOLODYA COLVIN (Write-In)",2
,
,
,
"Total Votes","26,989"
"Unrecorded","2,653"

"Assembly District 27"
"Public Counter","1,364"
"Manually Counted Emergency",0
"Absentee/Military",46
"Federal",10
"Special Presidential",0
"Affidavit",40
"Total Ballots","1,460"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,460"
,
"Thomas R. Suozzi (Democratic)",576
"Jack M. Martins (Republican)",633
"Jack M. Martins (Conservative)",65
"Jack M. Martins (Reform)",6
,
,
,
"Total Votes","1,280"
"Unrecorded",180

"Assembly District 33"
"Public Counter","7,949"
"Manually Counted Emergency",0
"Absentee/Military",232
"Federal",26
"Special Presidential",0
"Affidavit",179
"Total Ballots","8,386"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","8,386"
,
"Thomas R. Suozzi (Democratic)","5,353"
"Jack M. Martins (Republican)","1,983"
"Jack M. Martins (Conservative)",296
"Jack M. Martins (Reform)",90
"MUHIB SAMAD (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",4
,
,
,
"Total Votes","7,727"
"Unrecorded",659

"Assembly District 40"
"Public Counter","1,086"
"Manually Counted Emergency",0
"Absentee/Military",46
"Federal",6
"Special Presidential",0
"Affidavit",14
"Total Ballots","1,152"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,152"
,
"Thomas R. Suozzi (Democratic)",537
"Jack M. Martins (Republican)",424
"Jack M. Martins (Conservative)",39
"Jack M. Martins (Reform)",18
,
,
,
"Total Votes","1,018"
"Unrecorded",134

"Total for Representative in Congress (3rd Congressional District) - Queens County"
"Public Counter","45,482"
"Manually Counted Emergency",0
"Absentee/Military","2,107"
"Federal",222
"Special Presidential",1
"Affidavit",972
"Total Ballots","48,784"
"Less - Inapplicable Federal/Special Presidential Ballots",(1)
"Total Applicable Ballots","48,783"
,
"Thomas R. Suozzi (Democratic)","29,117"
"Jack M. Martins (Republican)","13,308"
"Jack M. Martins (Conservative)","1,622"
"Jack M. Martins (Reform)",445
"ALFRED E. NEUMAN (Write-In)",1
"ALTON MADDOX (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"DANIEL VILA RIVERA (Write-In)",1
"DOUGLAS WASHINGTON (Write-In)",1
"JOSEPH BECHAR (Write-In)",1
"JOSEPH FANARA (Write-In)",1
"KAI DENG YU (Write-In)",1
"KIM KARDASHIAN (Write-In)",1
"LAZER AXELMAN (Write-In)",1
"LEIF ANDERSON (Write-In)",1
"MICHAEL GLANNISIS (Write-In)",1
"MICHAEL MCDERMOTT (Write-In)",1
"MUHIB SAMAD (Write-In)",1
"PHILIP PIDOT (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",7
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
"VOLODYA COLVIN (Write-In)",2
,
,
,
"Total Votes","44,518"
"Unrecorded","4,265"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
