,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Queens County
 - 
All Parties and Independent Bodies




Representative in Congress


7th Congressional District


Vote for 1"
"Assembly District 23"
"Public Counter","1,204"
"Manually Counted Emergency",0
"Absentee/Military",25
"Federal",4
"Special Presidential",0
"Affidavit",91
"Total Ballots","1,324"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,324"
,
"Nydia M. Velazquez (Democratic)","1,015"
"Allan E. Romaguera (Republican)",158
"Allan E. Romaguera (Conservative)",13
"Nydia M. Velazquez (Women's Equality)",15
,
,
,
"Total Votes","1,201"
"Unrecorded",123

"Assembly District 28"
"Public Counter",399
"Manually Counted Emergency",0
"Absentee/Military",14
"Federal",0
"Special Presidential",0
"Affidavit",17
"Total Ballots",430
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",430
,
"Nydia M. Velazquez (Democratic)",340
"Allan E. Romaguera (Republican)",41
"Allan E. Romaguera (Conservative)",5
"Nydia M. Velazquez (Women's Equality)",23
,
,
,
"Total Votes",409
"Unrecorded",21

"Assembly District 37"
"Public Counter","5,950"
"Manually Counted Emergency",0
"Absentee/Military",113
"Federal",21
"Special Presidential",0
"Affidavit",207
"Total Ballots","6,291"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,291"
,
"Nydia M. Velazquez (Democratic)","4,542"
"Allan E. Romaguera (Republican)",871
"Allan E. Romaguera (Conservative)",106
"Nydia M. Velazquez (Women's Equality)",346
"FRANK SHA FRANKOIS (Write-In)",1
"ROBIN LAVERNE WILSON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
,
,
,
"Total Votes","5,869"
"Unrecorded",422

"Assembly District 38"
"Public Counter","19,882"
"Manually Counted Emergency",0
"Absentee/Military",349
"Federal",45
"Special Presidential",0
"Affidavit",937
"Total Ballots","21,213"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","21,213"
,
"Nydia M. Velazquez (Democratic)","16,071"
"Allan E. Romaguera (Republican)","2,347"
"Allan E. Romaguera (Conservative)",405
"Nydia M. Velazquez (Women's Equality)",785
"ALESANDRO CASTRO (Write-In)",1
"DANIEL MAIO (Write-In)",1
"ERIC KURZON (Write-In)",1
"EROL BAL (Write-In)",1
"ISAIAS COOPER (Write-In)",1
"JEFFERY M. KURZON (Write-In)",1
"JOHN BATTAGLIA (Write-In)",1
"MIKE MILLER (Write-In)",1
"MUKI MATTEI (Write-In)",1
"RICHARD M. FOGAL (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",9
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
,
,
,
"Total Votes","19,629"
"Unrecorded","1,584"

"Total for Representative in Congress (7th Congressional District) - Queens County"
"Public Counter","27,435"
"Manually Counted Emergency",0
"Absentee/Military",501
"Federal",70
"Special Presidential",0
"Affidavit","1,252"
"Total Ballots","29,258"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","29,258"
,
"Nydia M. Velazquez (Democratic)","21,968"
"Allan E. Romaguera (Republican)","3,417"
"Allan E. Romaguera (Conservative)",529
"Nydia M. Velazquez (Women's Equality)","1,169"
"ALESANDRO CASTRO (Write-In)",1
"DANIEL MAIO (Write-In)",1
"ERIC KURZON (Write-In)",1
"EROL BAL (Write-In)",1
"FRANK SHA FRANKOIS (Write-In)",1
"ISAIAS COOPER (Write-In)",1
"JEFFERY M. KURZON (Write-In)",1
"JOHN BATTAGLIA (Write-In)",1
"MIKE MILLER (Write-In)",1
"MUKI MATTEI (Write-In)",1
"RICHARD M. FOGAL (Write-In)",1
"ROBIN LAVERNE WILSON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",11
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
,
,
,
"Total Votes","27,108"
"Unrecorded","2,150"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
