,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Queens County
 - 
All Parties and Independent Bodies




Representative in Congress


8th Congressional District


Vote for 1"
"Assembly District 23"
"Public Counter","15,594"
"Manually Counted Emergency",2
"Absentee/Military",473
"Federal",28
"Special Presidential",0
"Affidavit",545
"Total Ballots","16,642"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","16,642"
,
"Hakeem S. Jeffries (Democratic)","8,007"
"Daniel J. Cavanagh (Conservative)","3,683"
"Hakeem S. Jeffries (Working Families)",642
"ALLAN W. JENNINGS JR. (Write-In)",1
"ANTHONY WEINER (Write-In)",1
"JERRY SANDUSKY (Write-In)",1
"JOE ADDABBO (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",7
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"WINSTON CHURCHILL (Write-In)",1
,
,
,
"Total Votes","12,345"
"Unrecorded","4,297"

"Assembly District 38"
"Public Counter",114
"Manually Counted Emergency",0
"Absentee/Military",1
"Federal",0
"Special Presidential",0
"Affidavit",12
"Total Ballots",127
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",127
,
"Hakeem S. Jeffries (Democratic)",105
"Daniel J. Cavanagh (Conservative)",1
"Hakeem S. Jeffries (Working Families)",2
,
,
,
"Total Votes",108
"Unrecorded",19

"Total for Representative in Congress (8th Congressional District) - Queens County"
"Public Counter","15,708"
"Manually Counted Emergency",2
"Absentee/Military",474
"Federal",28
"Special Presidential",0
"Affidavit",557
"Total Ballots","16,769"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","16,769"
,
"Hakeem S. Jeffries (Democratic)","8,112"
"Daniel J. Cavanagh (Conservative)","3,684"
"Hakeem S. Jeffries (Working Families)",644
"ALLAN W. JENNINGS JR. (Write-In)",1
"ANTHONY WEINER (Write-In)",1
"JERRY SANDUSKY (Write-In)",1
"JOE ADDABBO (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",7
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"WINSTON CHURCHILL (Write-In)",1
,
,
,
"Total Votes","12,453"
"Unrecorded","4,316"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
