,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Queens County
 - 
All Parties and Independent Bodies




State Senator


10th Senatorial District


Vote for 1"
"Assembly District 23"
"Public Counter","6,281"
"Manually Counted Emergency",1
"Absentee/Military",443
"Federal",43
"Special Presidential",0
"Affidavit",379
"Total Ballots","7,147"
"Less - Inapplicable Federal/Special Presidential Ballots",(43)
"Total Applicable Ballots","7,104"
,
"James Sanders Jr. (Democratic)","5,460"
"James Sanders Jr. (Working Families)",293
"Adrienne E. Adams (Women's Equality)",330
"AVRAHAM SEGAL (Write-In)",1
"BEAN HANNITY (Write-In)",1
"CRAIG I. MARGOLIS (Write-In)",1
"ELKANAH ADELMAN (Write-In)",1
"EVAN KERZER (Write-In)",1
"JOE ADDABBO (Write-In)",1
"JOSEPH ADDABBO (Write-In)",1
"MOISHE BENDER (Write-In)",1
"MORDECAI DRUXMAN (Write-In)",1
"MORDY STORCH (Write-In)",1
"PHIL GOLDFEDER (Write-In)",1
"ROBERT C. FALCE (Write-In)",1
"STEVEN WOLF (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",4
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
,
,
,
"Total Votes","6,102"
"Unrecorded","1,002"

"Assembly District 24"
"Public Counter","6,832"
"Manually Counted Emergency",0
"Absentee/Military",134
"Federal",15
"Special Presidential",0
"Affidavit",355
"Total Ballots","7,336"
"Less - Inapplicable Federal/Special Presidential Ballots",(15)
"Total Applicable Ballots","7,321"
,
"James Sanders Jr. (Democratic)","5,560"
"James Sanders Jr. (Working Families)",247
"Adrienne E. Adams (Women's Equality)",184
"BERNIE SANDERS (Write-In)",1
"JARRET FREEMAN (Write-In)",1
"MICHAEL O'REILLY (Write-In)",1
"RUDOLPH BEHRMANN (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",4
"VISHNU MAHADEO (Write-In)",2
,
,
,
"Total Votes","6,001"
"Unrecorded","1,320"

"Assembly District 27"
"Public Counter",0
"Manually Counted Emergency",0
"Absentee/Military",0
"Federal",0
"Special Presidential",0
"Affidavit",0
"Total Ballots",0
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",0
,
"James Sanders Jr. (Democratic)",0
"James Sanders Jr. (Working Families)",0
"Adrienne E. Adams (Women's Equality)",0
,
,
,
"Total Votes",0
,

"Assembly District 28"
"Public Counter","1,377"
"Manually Counted Emergency",0
"Absentee/Military",36
"Federal",4
"Special Presidential",0
"Affidavit",53
"Total Ballots","1,470"
"Less - Inapplicable Federal/Special Presidential Ballots",(4)
"Total Applicable Ballots","1,466"
,
"James Sanders Jr. (Democratic)","1,023"
"James Sanders Jr. (Working Families)",92
"Adrienne E. Adams (Women's Equality)",77
"HAROLD PHILLIPS (Write-In)",1
"RUDOLPH GUILIANI (Write-In)",1
,
,
,
"Total Votes","1,194"
"Unrecorded",272

"Assembly District 29"
"Public Counter","6,970"
"Manually Counted Emergency",0
"Absentee/Military",171
"Federal",5
"Special Presidential",0
"Affidavit",242
"Total Ballots","7,388"
"Less - Inapplicable Federal/Special Presidential Ballots",(5)
"Total Applicable Ballots","7,383"
,
"James Sanders Jr. (Democratic)","6,656"
"James Sanders Jr. (Working Families)",133
"Adrienne E. Adams (Women's Equality)",157
"ARSENIA ALMONTE (Write-In)",1
"CLARA COMPRES (Write-In)",1
"COREY GUMBS (Write-In)",1
"LUMINITA SCHIOP (Write-In)",1
"NOPEL LOUGRAYS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes","6,952"
"Unrecorded",431

"Assembly District 31"
"Public Counter","32,744"
"Manually Counted Emergency",0
"Absentee/Military",862
"Federal",49
"Special Presidential",0
"Affidavit","1,675"
"Total Ballots","35,330"
"Less - Inapplicable Federal/Special Presidential Ballots",(49)
"Total Applicable Ballots","35,281"
,
"James Sanders Jr. (Democratic)","29,933"
"James Sanders Jr. (Working Families)",811
"Adrienne E. Adams (Women's Equality)",972
"ALEJANDRO E. PANAMENO (Write-In)",1
"ANTHONY WEINER (Write-In)",2
"ANTHONY WOLVERINE (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"CLARINE WILLIAMS (Write-In)",1
"CLIFTON GUMBS (Write-In)",1
"DAVID D. FORREST (Write-In)",1
"DAVID KIRBY (Write-In)",1
"FRANK PERERO (Write-In)",1
"GREG LITZKOW (Write-In)",1
"JACKIE RODGERS (Write-In)",1
"JACQUELINE RICHARDSON (Write-In)",1
"JANE DOE (Write-In)",1
"JARRET FREEMAN (Write-In)",1
"JOAN NIX (Write-In)",1
"JOHN C. NAUDUS (Write-In)",1
"KENNETH MINGO (Write-In)",1
"ROBERT A. BRUNO (Write-In)",1
"RONALD MYONES (Write-In)",1
"RONALD REAGAN (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",8
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
"VANESSA JEFFREY (Write-In)",1
"VISHAL HEMRAT (Write-In)",1
,
,
,
"Total Votes","31,750"
"Unrecorded","3,531"

"Assembly District 32"
"Public Counter","29,908"
"Manually Counted Emergency",0
"Absentee/Military",911
"Federal",34
"Special Presidential",0
"Affidavit","1,313"
"Total Ballots","32,166"
"Less - Inapplicable Federal/Special Presidential Ballots",(34)
"Total Applicable Ballots","32,132"
,
"James Sanders Jr. (Democratic)","28,460"
"James Sanders Jr. (Working Families)",494
"Adrienne E. Adams (Women's Equality)","1,069"
"ANTHONY ANDREWS JR. (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"CARL MARCELLINO (Write-In)",1
"CRAIG BOYER (Write-In)",1
"HERLEMA OWENS (Write-In)",1
"JARRET FREEMAN (Write-In)",1
