,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Queens County
 - 
All Parties and Independent Bodies




Member of the Assembly


31st Assembly District


Vote for 1"
"Assembly District 31"
"Public Counter","33,705"
"Manually Counted Emergency",0
"Absentee/Military",893
"Federal",51
"Special Presidential",0
"Affidavit","1,714"
"Total Ballots","36,363"
"Less - Inapplicable Federal/Special Presidential Ballots",(51)
"Total Applicable Ballots","36,312"
,
"Michele R. Titus (Democratic)","31,019"
"Michele R. Titus (Working Families)","1,113"
"ABISOYE OLORUNTIOBA (Write-In)",1
"ADRIENNE ADAMS (Write-In)",1
"ADRIENNE E. ADAM (Write-In)",2
"ALAN KATEMAN (Write-In)",1
"ALAN ZWIRN (Write-In)",1
"ALLAN JENNINGS (Write-In)",1
"ANTHONY WEINER (Write-In)",2
"BENJAMIN CONTRERAS (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BRYCE JAROL (Write-In)",1
"CAROLYN PETILLO (Write-In)",3
"CLARINE WILLIAMS (Write-In)",1
"CLIFTON GUMBS (Write-In)",1
"DAVID D. FORREST (Write-In)",1
"DAVID KIRBY (Write-In)",1
"DRAYSHON TRAMMELL (Write-In)",1
"ELLIOT F. GANGARAM (Write-In)",1
"GREG LITZKOW (Write-In)",1
"JACKIE RODGERS (Write-In)",1
"JACQUELINE RICHARDSON (Write-In)",1
"JAHYA JACOB (Write-In)",1
"JAMES ROBINSON (Write-In)",1
"JANE DOE (Write-In)",1
"JOAN NIX (Write-In)",1
"JOHN C. NAUDUS (Write-In)",1
"JOHN CORRI (Write-In)",1
"KENNARD GOPAUL (Write-In)",1
"MICHAEL HART (Write-In)",1
"MILAN TAYLOR (Write-In)",1
"MITCH NOEL (Write-In)",1
"NATHAN CANPO (Write-In)",1
"NICK J.SCIRETTA (Write-In)",1
"NIGEL LONCKE (Write-In)",1
"PATRICK ROCA (Write-In)",1
"ROBERT GATES (Write-In)",1
"RONALD REAGAN (Write-In)",2
"SAMUEL SHURTLEFF (Write-In)",1
"SHARRON WITHERSPOON JR. (Write-In)",1
"SIMON GOMEZ (Write-In)",1
"STACEY PHEFFER AMATO (Write-In)",1
"TROY SATOO (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",16
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
"USMAN ALI (Write-In)",1
"VANESSA JEFFREY (Write-In)",1
"VISHAL HEMRAT (Write-In)",1
"WILLIAM O. GREEN JR. (Write-In)",1
,
,
,
"Total Votes","32,201"
"Unrecorded","4,111"

"Total for Member of the Assembly (31st Assembly District) - Queens County"
"Public Counter","33,705"
"Manually Counted Emergency",0
"Absentee/Military",893
"Federal",51
"Special Presidential",0
"Affidavit","1,714"
"Total Ballots","36,363"
"Less - Inapplicable Federal/Special Presidential Ballots",(51)
"Total Applicable Ballots","36,312"
,
"Michele R. Titus (Democratic)","31,019"
"Michele R. Titus (Working Families)","1,113"
"ABISOYE OLORUNTIOBA (Write-In)",1
"ADRIENNE ADAMS (Write-In)",1
"ADRIENNE E. ADAM (Write-In)",2
"ALAN KATEMAN (Write-In)",1
"ALAN ZWIRN (Write-In)",1
"ALLAN JENNINGS (Write-In)",1
"ANTHONY WEINER (Write-In)",2
"BENJAMIN CONTRERAS (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BRYCE JAROL (Write-In)",1
"CAROLYN PETILLO (Write-In)",3
"CLARINE WILLIAMS (Write-In)",1
"CLIFTON GUMBS (Write-In)",1
"DAVID D. FORREST (Write-In)",1
"DAVID KIRBY (Write-In)",1
"DRAYSHON TRAMMELL (Write-In)",1
"ELLIOT F. GANGARAM (Write-In)",1
"GREG LITZKOW (Write-In)",1
"JACKIE RODGERS (Write-In)",1
"JACQUELINE RICHARDSON (Write-In)",1
"JAHYA JACOB (Write-In)",1
"JAMES ROBINSON (Write-In)",1
"JANE DOE (Write-In)",1
"JOAN NIX (Write-In)",1
"JOHN C. NAUDUS (Write-In)",1
"JOHN CORRI (Write-In)",1
"KENNARD GOPAUL (Write-In)",1
"MICHAEL HART (Write-In)",1
"MILAN TAYLOR (Write-In)",1
"MITCH NOEL (Write-In)",1
"NATHAN CANPO (Write-In)",1
"NICK J.SCIRETTA (Write-In)",1
"NIGEL LONCKE (Write-In)",1
"PATRICK ROCA (Write-In)",1
"ROBERT GATES (Write-In)",1
"RONALD REAGAN (Write-In)",2
"SAMUEL SHURTLEFF (Write-In)",1
"SHARRON WITHERSPOON JR. (Write-In)",1
"SIMON GOMEZ (Write-In)",1
"STACEY PHEFFER AMATO (Write-In)",1
"TROY SATOO (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",16
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
"USMAN ALI (Write-In)",1
"VANESSA JEFFREY (Write-In)",1
"VISHAL HEMRAT (Write-In)",1
"WILLIAM O. GREEN JR. (Write-In)",1
,
,
,
"Total Votes","32,201"
"Unrecorded","4,111"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
