,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Queens County
 - 
All Parties and Independent Bodies




Member of the Assembly


32nd Assembly District


Vote for 1"
"Assembly District 32"
"Public Counter","40,022"
"Manually Counted Emergency",0
"Absentee/Military","1,129"
"Federal",46
"Special Presidential",1
"Affidavit","1,873"
"Total Ballots","43,071"
"Less - Inapplicable Federal/Special Presidential Ballots",(47)
"Total Applicable Ballots","43,024"
,
"Vivian E. Cook (Democratic)","39,305"
"ADESUMA ENABULELE (Write-In)",1
"ADRIENNE ADAMS (Write-In)",2
"AJANAI MILLER - RANDOLPH (Write-In)",1
"ANTHONY ANDREWS JR. (Write-In)",1
"ANTHONY D. ANDREWS (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BERTHA JORDAN (Write-In)",1
"BILL DEBLASIO (Write-In)",1
"CHAD LUPINACCI (Write-In)",1
"CHARLA LAWSON (Write-In)",1
"CRAIG BOYER (Write-In)",1
"DARIN SAUNDERS (Write-In)",1
"DARRELL VAUGHN (Write-In)",1
"DELOIS WILLIAMS (Write-In)",1
"DONALD G. HAYES (Write-In)",1
"DONNA JAMES (Write-In)",1
"DOUGLAS AHAMMER (Write-In)",1
"DWIGHT D. EISENHOWER (Write-In)",1
"EDWIN FERGUSON (Write-In)",1
"HERLEMA OWENS (Write-In)",1
"JASON REILLY (Write-In)",1
"JO-ANN WHITEHEAD (Write-In)",1
"JOE MORETTI (Write-In)",1
"JOSEPH CHRISTOPHE (Write-In)",1
"JOSEPH MARTHONE (Write-In)",1
"JOSEPH R. MARTHONE (Write-In)",1
"KATHERINE HOWARD (Write-In)",1
"KATHERINE JAMES (Write-In)",2
"KOBE BEAN BRYANT (Write-In)",1
"LATASHA BLACKMAN (Write-In)",1
"MARIA SILVA (Write-In)",1
"MARK A. ATKINSON (Write-In)",1
"MAXINE HARRISON-GALLMON (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"NELSON SOUSA (Write-In)",1
"NORMAN AREVALO (Write-In)",1
"RAUL A. CABRAL JR. (Write-In)",1
"ROBERT LUVZOH (Write-In)",1
"ROBERT M. LAWSON (Write-In)",1
"ROBERT REID (Write-In)",1
"ROBIN LAVERNE WILSON (Write-In)",1
"RODNEY REID (Write-In)",16
"SAYWALLAH KESSELLY (Write-In)",1
"SUZUKI TATSUHISU (Write-In)",1
"THERESA NEATH (Write-In)",1
"TIFFANY BROOM (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",17
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",4
"VICTOR R. LOYOLA (Write-In)",1
"WILLIE LAMONT BAKER (Write-In)",1
,
,
,
"Total Votes","39,392"
"Unrecorded","3,632"

"Total for Member of the Assembly (32nd Assembly District) - Queens County"
"Public Counter","40,022"
"Manually Counted Emergency",0
"Absentee/Military","1,129"
"Federal",46
"Special Presidential",1
"Affidavit","1,873"
"Total Ballots","43,071"
"Less - Inapplicable Federal/Special Presidential Ballots",(47)
"Total Applicable Ballots","43,024"
,
"Vivian E. Cook (Democratic)","39,305"
"ADESUMA ENABULELE (Write-In)",1
"ADRIENNE ADAMS (Write-In)",2
"AJANAI MILLER - RANDOLPH (Write-In)",1
"ANTHONY ANDREWS JR. (Write-In)",1
"ANTHONY D. ANDREWS (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BERTHA JORDAN (Write-In)",1
"BILL DEBLASIO (Write-In)",1
"CHAD LUPINACCI (Write-In)",1
"CHARLA LAWSON (Write-In)",1
"CRAIG BOYER (Write-In)",1
"DARIN SAUNDERS (Write-In)",1
"DARRELL VAUGHN (Write-In)",1
"DELOIS WILLIAMS (Write-In)",1
"DONALD G. HAYES (Write-In)",1
"DONNA JAMES (Write-In)",1
"DOUGLAS AHAMMER (Write-In)",1
"DWIGHT D. EISENHOWER (Write-In)",1
"EDWIN FERGUSON (Write-In)",1
"HERLEMA OWENS (Write-In)",1
"JASON REILLY (Write-In)",1
"JO-ANN WHITEHEAD (Write-In)",1
"JOE MORETTI (Write-In)",1
"JOSEPH CHRISTOPHE (Write-In)",1
"JOSEPH MARTHONE (Write-In)",1
"JOSEPH R. MARTHONE (Write-In)",1
"KATHERINE HOWARD (Write-In)",1
"KATHERINE JAMES (Write-In)",2
"KOBE BEAN BRYANT (Write-In)",1
"LATASHA BLACKMAN (Write-In)",1
"MARIA SILVA (Write-In)",1
"MARK A. ATKINSON (Write-In)",1
"MAXINE HARRISON-GALLMON (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"NELSON SOUSA (Write-In)",1
"NORMAN AREVALO (Write-In)",1
"RAUL A. CABRAL JR. (Write-In)",1
"ROBERT LUVZOH (Write-In)",1
"ROBERT M. LAWSON (Write-In)",1
"ROBERT REID (Write-In)",1
"ROBIN LAVERNE WILSON (Write-In)",1
"RODNEY REID (Write-In)",16
"SAYWALLAH KESSELLY (Write-In)",1
"SUZUKI TATSUHISU (Write-In)",1
"THERESA NEATH (Write-In)",1
"TIFFANY BROOM (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",17
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",4
"VICTOR R. LOYOLA (Write-In)",1
"WILLIE LAMONT BAKER (Write-In)",1
,
,
,
"Total Votes","39,392"
"Unrecorded","3,632"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
