,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Queens County
 - 
All Parties and Independent Bodies




Member of the Assembly


33rd Assembly District


Vote for 1"
"Assembly District 33"
"Public Counter","45,517"
"Manually Counted Emergency",0
"Absentee/Military","1,435"
"Federal",93
"Special Presidential",0
"Affidavit","1,532"
"Total Ballots","48,577"
"Less - Inapplicable Federal/Special Presidential Ballots",(93)
"Total Applicable Ballots","48,484"
,
"Clyde Vanel (Democratic)","40,212"
"Goldy-Francois Wellington (Republican)","3,854"
"Goldy-Francois Wellington (Conservative)",596
"Leroy Gadsden (New Ideas)",914
"BILL CLINTON (Write-In)",1
"BRIAN WILSON (Write-In)",1
"CHIEDOZIE CHIGEWE (Write-In)",1
"CLIVE A. DAWKINS (Write-In)",1
"CURTIS SLIWA (Write-In)",1
"DEREK JETER (Write-In)",1
"JILL STEIN (Write-In)",1
"LALITA L. ETWAROO (Write-In)",2
"MUHIB SAMAD (Write-In)",1
"NANTASHA WILLIAMS (Write-In)",5
"REGGIE BUSH (Write-In)",1
"SHAUNE M. KILLOUGH (Write-In)",1
"TESFA A CLACKEN (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",7
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",5
"VIOLA PLUMMER (Write-In)",1
,
,
,
"Total Votes","45,607"
"Unrecorded","2,877"

"Total for Member of the Assembly (33rd Assembly District) - Queens County"
"Public Counter","45,517"
"Manually Counted Emergency",0
"Absentee/Military","1,435"
"Federal",93
"Special Presidential",0
"Affidavit","1,532"
"Total Ballots","48,577"
"Less - Inapplicable Federal/Special Presidential Ballots",(93)
"Total Applicable Ballots","48,484"
,
"Clyde Vanel (Democratic)","40,212"
"Goldy-Francois Wellington (Republican)","3,854"
"Goldy-Francois Wellington (Conservative)",596
"Leroy Gadsden (New Ideas)",914
"BILL CLINTON (Write-In)",1
"BRIAN WILSON (Write-In)",1
"CHIEDOZIE CHIGEWE (Write-In)",1
"CLIVE A. DAWKINS (Write-In)",1
"CURTIS SLIWA (Write-In)",1
"DEREK JETER (Write-In)",1
"JILL STEIN (Write-In)",1
"LALITA L. ETWAROO (Write-In)",2
"MUHIB SAMAD (Write-In)",1
"NANTASHA WILLIAMS (Write-In)",5
"REGGIE BUSH (Write-In)",1
"SHAUNE M. KILLOUGH (Write-In)",1
"TESFA A CLACKEN (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",7
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",5
"VIOLA PLUMMER (Write-In)",1
,
,
,
"Total Votes","45,607"
"Unrecorded","2,877"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
