,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Queens County
 - 
All Parties and Independent Bodies




Member of the Assembly


34th Assembly District


Vote for 1"
"Assembly District 34"
"Public Counter","29,734"
"Manually Counted Emergency",0
"Absentee/Military",772
"Federal",149
"Special Presidential",0
"Affidavit","1,139"
"Total Ballots","31,794"
"Less - Inapplicable Federal/Special Presidential Ballots",(149)
"Total Applicable Ballots","31,645"
,
"Michael G. DenDekker (Democratic)","24,161"
"AARON JACKSON (Write-In)",1
"ALBERTO GONZALEZ (Write-In)",1
"ALEX MERCED (Write-In)",1
"AMELFA LAMALYN (Write-In)",1
"ANDREW GYRLA (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"BOB ROSS (Write-In)",1
"BOBBY VILLENTE (Write-In)",1
"BRIAN BARNES (Write-In)",1
"BRIAN BARNWELL (Write-In)",4
"BRIDGET SMYTH (Write-In)",1
"CHELSEA MANNING (Write-In)",1
"CHRISTINE FURLONG (Write-In)",1
"DANIEL C. CONNOR (Write-In)",1
"DANIEL D'AQUINO (Write-In)",1
"DANIEL DRUMM (Write-In)",2
"DANIEL YONGHO SHIN (Write-In)",1
"DANIELLE DESTEFANO (Write-In)",2
"DANNY KATCH (Write-In)",1
"DAVID HERMAN KAUFSTEIN (Write-In)",1
"DAVID MUNOZ (Write-In)",1
"DAVID ROSASCO (Write-In)",4
"DONALD TRUMP (Write-In)",1
"ERIC ULRICH (Write-In)",1
"FRANCISCO MOYA (Write-In)",1
"GEORGE WASHINGTON PLUNKETT (Write-In)",1
"JAMES A. KIERNAN (Write-In)",2
"JASON CHIN-FATT (Write-In)",1
"JAVIER CASTANO (Write-In)",1
"JESSE VENTURA (Write-In)",1
"JESUS GONZALEZ (Write-In)",2
"JOHN ADAMS (Write-In)",1
"JOHN MANTON (Write-In)",1
"JOSEPH LEE (Write-In)",1
"KARINE HURTADO (Write-In)",1
"KEVIN WONG (Write-In)",1
"KHURSH MAIN (Write-In)",1
"KUBERAN NOGANATHAN (Write-In)",1
"LARRY HOGUE (Write-In)",1
"LEBRON JAMES (Write-In)",1
"LIN - MANUEL MIRANDA (Write-In)",1
"LOUIS SO (Write-In)",1
"MARCO PAZ (Write-In)",1
"MICHAEL G. DEADKER (Write-In)",1
"MORGAN NEFF (Write-In)",1
"NESTOR SANCHEZ (Write-In)",1
"PAUL STEELY WHTE (Write-In)",1
"PAULINE PARK (Write-In)",1
"PHILOMENA BENSON (Write-In)",1
"RALPH NADER (Write-In)",1
"RICHARD FURLONG (Write-In)",1
"ROSARIO O. SALEMI (Write-In)",1
"SAMRAAT PANTHI (Write-In)",1
"SHELDON SILVER (Write-In)",1
"STEPHON L. VAUNATA (Write-In)",1
"STEVE RIDDLE (Write-In)",1
"STEVEN BANKS (Write-In)",1
"STUART GELTMAN (Write-In)",3
"TONY NUNZIATO (Write-In)",2
"UNATTRIBUTABLE WRITE-IN (Write-In)",35
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
"WILLIAM MARGUEZ (Write-In)",3
"WILLIAM MARQUEZ (Write-In)",2
,
,
,
"Total Votes","24,275"
"Unrecorded","7,370"

"Total for Member of the Assembly (34th Assembly District) - Queens County"
"Public Counter","29,734"
"Manually Counted Emergency",0
"Absentee/Military",772
"Federal",149
"Special Presidential",0
"Affidavit","1,139"
"Total Ballots","31,794"
"Less - Inapplicable Federal/Special Presidential Ballots",(149)
"Total Applicable Ballots","31,645"
,
"Michael G. DenDekker (Democratic)","24,161"
"AARON JACKSON (Write-In)",1
"ALBERTO GONZALEZ (Write-In)",1
"ALEX MERCED (Write-In)",1
"AMELFA LAMALYN (Write-In)",1
"ANDREW GYRLA (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"BOB ROSS (Write-In)",1
"BOBBY VILLENTE (Write-In)",1
"BRIAN BARNES (Write-In)",1
"BRIAN BARNWELL (Write-In)",4
"BRIDGET SMYTH (Write-In)",1
