,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Richmond County
 - 
All Parties and Independent Bodies




United States Senator


Citywide


Vote for 1"
"Assembly District 61"
"Public Counter","39,570"
"Manually Counted Emergency",0
"Absentee/Military","2,053"
"Federal",156
"Special Presidential",2
"Affidavit","1,166"
"Total Ballots","42,947"
"Less - Inapplicable Federal/Special Presidential Ballots",(2)
"Total Applicable Ballots","42,945"
,
"Charles E. Schumer (Democratic)","29,980"
"Wendy Long (Republican)","6,725"
"Wendy Long (Conservative)","1,234"
"Robin Laverne Wilson (Green)",623
"Charles E. Schumer (Working Families)","1,507"
"Charles E. Schumer (Independence)",747
"Charles E. Schumer (Women's Equality)",155
"Wendy Long (Reform)",42
"Alex Merced (Libertarian)",160
"CLAUDIA AWAD (Write-In)",1
"DONALD MULLIGAN (Write-In)",1
"GEORGE CODD (Write-In)",1
"GERARD ADIMANDO (Write-In)",1
"JAMIE RUBIN (Write-In)",1
"JULIAN TRETYAKOV (Write-In)",1
"MARKEECE JOHNSON (Write-In)",1
"MARTIN LUTHER KING (Write-In)",1
"MARY ELIZABETH GUSTAFSSON (Write-In)",1
"MELISSA LOUGHLIN (Write-In)",1
"MICHAEL DIDOMENICO (Write-In)",1
"PARKER HOOKS (Write-In)",1
"PASQUALE TORTORA (Write-In)",1
"PETER MULLEN (Write-In)",1
"THOMAS BARBER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",8
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","41,197"
"Unrecorded","1,748"

"Assembly District 62"
"Public Counter","52,124"
"Manually Counted Emergency",1
"Absentee/Military","2,389"
"Federal",97
"Special Presidential",0
"Affidavit",751
"Total Ballots","55,362"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","55,362"
,
"Charles E. Schumer (Democratic)","23,025"
"Wendy Long (Republican)","23,212"
"Wendy Long (Conservative)","2,591"
"Robin Laverne Wilson (Green)",326
"Charles E. Schumer (Working Families)","1,866"
"Charles E. Schumer (Independence)","1,264"
"Charles E. Schumer (Women's Equality)",131
"Wendy Long (Reform)",35
"Alex Merced (Libertarian)",210
"ALFRED C. SHARPTON (Write-In)",1
"ANDREW MAYER (Write-In)",1
"ANTONIO BROWN (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"CHRIS MIAO (Write-In)",1
"EDWARD SNOWDEN (Write-In)",1
"JAKE MARINO (Write-In)",1
"JEFFREY BACCH (Write-In)",1
"JOHN SMITH (Write-In)",1
"JOSEPH GORGA (Write-In)",1
"JOSEPH KOVAC (Write-In)",1
"KAMAL KARNA K. ROY (Write-In)",2
"KATHLEEN GORMAN (Write-In)",1
"KEN BONE (Write-In)",1
"LEAH GOLDSTEIN (Write-In)",1
"LISA SATTIE (Write-In)",1
"MARCO RUBIO (Write-In)",1
"MICHAEL BRYK (Write-In)",1
"MICHAEL GEIB (Write-In)",1
"MICHAEL GRIMM (Write-In)",1
"RAYMOND M. PARASCUNDO (Write-In)",1
"RICKY KARPEN (Write-In)",1
"ROBERT BROWN (Write-In)",1
"ROBERT VAN WINKLE (Write-In)",1
"TERESA A. CIRELLI (Write-In)",1
"TIMOTHY E. DLUHOS (Write-In)",1
"TOM LAGUIDICE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",8
"WILLIAM J. FINNEGAN (Write-In)",1
,
,
,
"Total Votes","52,698"
"Unrecorded","2,664"

"Assembly District 63"
"Public Counter","44,725"
"Manually Counted Emergency",2
"Absentee/Military","2,269"
