,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Richmond County
 - 
All Parties and Independent Bodies




Judge of the Civil Court - County


Richmond


Vote for 2"
"Assembly District 61"
"Public Counter","39,570"
"Manually Counted Emergency",0
"Absentee/Military","2,053"
"Federal",156
"Special Presidential",2
"Affidavit","1,166"
"Total Ballots","42,947"
"Less - Inapplicable Federal/Special Presidential Ballots",(158)
"Total Applicable Ballots","42,789"
,
"Kim Dollard (Democratic)","24,864"
"Kim Dollard (Republican)","8,381"
"Kim Dollard (Conservative)","1,428"
"Kim Dollard (Independence)","1,128"
"Barbara I. Panepinto (Democratic)","21,573"
"Barbara I. Panepinto (Republican)","7,627"
"Barbara I. Panepinto (Conservative)","1,442"
"AARON CORDOVA (Write-In)",1
"ADDISON RUSSELL (Write-In)",1
"ADELE COOGAN (Write-In)",1
"ALEX ABERNETHY (Write-In)",2
"ALEX LUISI (Write-In)",1
"ALFRED ALFANE (Write-In)",1
"ANDREW J. LANZA (Write-In)",1
"ANDREW PIRLO (Write-In)",1
"ANGELINA FEBLES (Write-In)",1
"ANTHONY RONDINELLO (Write-In)",1
"ASSAFA SHAKUR (Write-In)",1
"AURELIA CURTIS (Write-In)",2
"BARBARA MARTIN (Write-In)",1
"BERNIE SANDERS (Write-In)",3
"BETTY ANNE FOLEY (Write-In)",1
"BILL MURRAY (Write-In)",1
"BOB COHEN (Write-In)",2
"BRIAN HAGENY (Write-In)",1
"C.T. LOWNEY (Write-In)",1
"CECILIA HANLEY (Write-In)",1
"CHARLES TEASDALE (Write-In)",1
"CHRISTIAN PETERSON (Write-In)",1
"CHRISTINA MCDONALD (Write-In)",1
"CLARENCE DARROW (Write-In)",1
"CLAUDIA AWAD (Write-In)",2
"DAN WORTHY III (Write-In)",1
"DAVID HALL (Write-In)",1
"DAVID ROSS (Write-In)",1
"DEBI ROSE (Write-In)",1
"DOMMICH MONFERRATO (Write-In)",1
"DONALD J. TRUMP (Write-In)",5
"DONALD MULLIGAN (Write-In)",2
"EDWARD SNOWDEN (Write-In)",1
"ERIC GARNER (Write-In)",3
"ERIC RICCIARDI (Write-In)",1
"ERICA GARNER (Write-In)",1
"EUGENE R. BLEIMANN (Write-In)",1
"FRANK BAGGETTA (Write-In)",1
"FRANK CRONE (Write-In)",1
"FRANK DISALVO (Write-In)",3
"FRANK FRANCOIS (Write-In)",2
"GARY PALLADINO (Write-In)",1
"GENA MIMOZO (Write-In)",2
"GEORGE CODD (Write-In)",1
"GREG GUFFELO (Write-In)",1
"HENRY W. BAILEY IV (Write-In)",1
"HESHAM EL-MELIGY (Write-In)",3
"HILLARY CLINTON (Write-In)",1
"JABIS KING (Write-In)",1
"JACK MORRISON (Write-In)",1
"JAMES LANE (Write-In)",1
"JAMES PECARALE (Write-In)",2
"JASON COHEN (Write-In)",1
"JASON KOONCE (Write-In)",2
