,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Richmond County
 - 
All Parties and Independent Bodies




Representative in Congress


11th Congressional District


Vote for 1"
"Assembly District 61"
"Public Counter","39,570"
"Manually Counted Emergency",0
"Absentee/Military","2,053"
"Federal",156
"Special Presidential",2
"Affidavit","1,166"
"Total Ballots","42,947"
"Less - Inapplicable Federal/Special Presidential Ballots",(2)
"Total Applicable Ballots","42,945"
,
"Richard A. Reichard (Democratic)","23,413"
"Dan Donovan (Republican)","12,869"
"Dan Donovan (Conservative)","1,704"
"Henry J. Bardel (Green)",771
"Dan Donovan  (Independence)","1,056"
"Dan Donovan  (Reform)",389
"ARTAEVISOUS STOCKTON (Write-In)",1
"BOBBY SANDS (Write-In)",1
"CLAUDIA AWAD (Write-In)",1
"DIANE FELTON (Write-In)",1
"DIVONNE COOGAN (Write-In)",1
"ERIC GARNER (Write-In)",2
"ERICA GARNER (Write-In)",2
"EVELYN GARCIA (Write-In)",1
"JAMES MUNOZ (Write-In)",1
"JAVIER VEGA (Write-In)",1
"JOHN JACOME (Write-In)",1
"JONATHAN BERGDAHL (Write-In)",1
"JULIAN TRETYAKOV (Write-In)",1
"LESLIE SHANNON (Write-In)",1
"MARK O'BRIAN (Write-In)",1
"MARKEECE JOHNSON (Write-In)",1
"MARY ELIZABETH GUSTAFSSON (Write-In)",1
"MAX WADE (Write-In)",1
"MICHAEL GRIMM (Write-In)",4
"MICHAEL MCMAHON (Write-In)",1
"NICOLE MALLIOTAKIS (Write-In)",1
"RICHARD BELL (Write-In)",1
"ROBERT W. OLIVERI JR. (Write-In)",1
"RUDOLPH GULIANI (Write-In)",1
"RUFUS OTENIYA (Write-In)",1
"SEAN R. JOHNSON (Write-In)",1
"SHARON DI (Write-In)",1
"THEO EPSTEIN (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",9
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","40,245"
"Unrecorded","2,700"

"Assembly District 62"
"Public Counter","52,124"
"Manually Counted Emergency",1
"Absentee/Military","2,389"
"Federal",97
"Special Presidential",0
"Affidavit",751
"Total Ballots","55,362"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","55,362"
,
"Richard A. Reichard (Democratic)","8,715"
"Dan Donovan (Republican)","37,950"
"Dan Donovan (Conservative)","3,526"
"Henry J. Bardel (Green)",507
"Dan Donovan  (Independence)","1,279"
"Dan Donovan  (Reform)",323
"ALFRED C. SHARPTON (Write-In)",1
"ANDREW MAYER (Write-In)",1
"ANGELA FORAY (Write-In)",1
"ANTHONY BONELLI (Write-In)",1
"BERT KANNUDO (Write-In)",1
"BOB SKORI (Write-In)",1
"BOBBY SHMURDA (Write-In)",1
"BORIS ZIVOROV (Write-In)",1
"ERIC GARNER (Write-In)",2
"FREDDY CANO (Write-In)",1
"JANELE HYER-SPENCER (Write-In)",1
"JANINE MATERNA (Write-In)",1
"JEFFREY BACCH (Write-In)",1
"JOE PISCAPO (Write-In)",1
"JOE SMITH (Write-In)",1
"JOEL HEYMAN (Write-In)",1
"JOHN FAWCETT IV (Write-In)",1
"JOHN KESARIS (Write-In)",1
"JOHN LAVELLE (Write-In)",1
"JOHN W. MOONEY (Write-In)",1
"JOSEPH C. BORELLI (Write-In)",1
"JOSEPH GORGA (Write-In)",2
"JOSEPH KOVAC (Write-In)",1
"JULIAN ASSANGE (Write-In)",1
"KAMAL KARNA K. ROY (Write-In)",2
"KATHLEEN GORMAN (Write-In)",1
"LAURA SWORD (Write-In)",1
"LONNIE BARON (Write-In)",1
"LOUISE BELCHER (Write-In)",1
"MICHAEL GEIB (Write-In)",1
"MICHAEL MCMAHON (Write-In)",1
"MIKE DAMICO (Write-In)",1
"MIKE EVANS (Write-In)",1
"MIKE GLORIA (Write-In)",1
"RUSSELL C. GALLO (Write-In)",1
"TERESA A. CIRELLI (Write-In)",1
"TIM MURPHY (Write-In)",1
"TIMOTHY E. DLUHOS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",9
"VINCENT LEGRAND (Write-In)",1
"VINNY MARINI JR (Write-In)",1
"WILLIAM J. FINNEGAN (Write-In)",1
"WINERA IVY CHASTESEN (Write-In)",1
,
,
,
"Total Votes","52,354"
"Unrecorded","3,008"

"Assembly District 63"
"Public Counter","44,725"
"Manually Counted Emergency",2
"Absentee/Military","2,269"
"Federal",178
"Special Presidential",0
"Affidavit",841
"Total Ballots","48,015"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","48,015"
,
"Richard A. Reichard (Democratic)","16,116"
"Dan Donovan (Republican)","24,394"
"Dan Donovan (Conservative)","2,499"
"Henry J. Bardel (Green)",587
"Dan Donovan  (Independence)","1,164"
"Dan Donovan  (Reform)",360
"ABRAHAM SIKES (Write-In)",1
"BARACK OBAMA (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BILL SWEENY (Write-In)",1
"CARA MIS HART (Write-In)",1
"DAVID SKIM (Write-In)",1
"DONALD J. TRUMP (Write-In)",2
"ILIR KRASNIQI (Write-In)",1
"JOHN FAWCETT IV (Write-In)",1
"JOHN MARCHI (Write-In)",1
"LUKE HEMMINGS (Write-In)",1
"MARK MURPHY (Write-In)",1
"MATT DAMON (Write-In)",1
"MAX WADE (Write-In)",1
"MICHAEL GRIMM (Write-In)",2
"MIKE TYSON (Write-In)",1
"NICOLE MALLIOTAKIS (Write-In)",2
"PAULEANNIE FRANCOIS (Write-In)",1
"RON PAUL (Write-In)",1
"STEPHEN HAWKING (Write-In)",1
"STEVE PANYO (Write-In)",1
"THOMAS MCMILLEN (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",12
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",6
,
,
,
"Total Votes","45,164"
"Unrecorded","2,851"

"Assembly District 64"
"Public Counter","33,493"
"Manually Counted Emergency",0
"Absentee/Military","1,603"
"Federal",101
"Special Presidential",21
"Affidavit",578
"Total Ballots","35,796"
"Less - Inapplicable Federal/Special Presidential Ballots",(21)
"Total Applicable Ballots","35,775"
,
"Richard A. Reichard (Democratic)","8,764"
"Dan Donovan (Republican)","21,012"
"Dan Donovan (Conservative)","2,154"
"Henry J. Bardel (Green)",479
"Dan Donovan  (Independence)",959
"Dan Donovan  (Reform)",241
"ELLEN DEGENERES (Write-In)",1
"ERIC HAZEN (Write-In)",1
"JAMES WELLBORN SR. (Write-In)",1
"MARIELTA CANNING (Write-In)",2
"MARY ANNE DEPAOLO (Write-In)",1
"MICHAEL GRIMM (Write-In)",1
"MICHAEL J. CUSICK (Write-In)",1
"NICOLE MALLIOTAKIS (Write-In)",1
"ROBERT STOLZ (Write-In)",1
"TONY EVANS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",8
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
,
,
,
"Total Votes","33,631"
"Unrecorded","2,144"

"Total for Representative in Congress (11th Congressional District) - Richmond County"
"Public Counter","169,912"
"Manually Counted Emergency",3
"Absentee/Military","8,314"
"Federal",532
"Special Presidential",23
"Affidavit","3,336"
"Total Ballots","182,120"
"Less - Inapplicable Federal/Special Presidential Ballots",(23)
"Total Applicable Ballots","182,097"
,
"Richard A. Reichard (Democratic)","57,008"
"Dan Donovan (Republican)","96,225"
"Dan Donovan (Conservative)","9,883"
"Henry J. Bardel (Green)","2,344"
"Dan Donovan  (Independence)","4,458"
"Dan Donovan  (Reform)","1,313"
"ABRAHAM SIKES (Write-In)",1
"ALFRED C. SHARPTON (Write-In)",1
"ANDREW MAYER (Write-In)",1
"ANGELA FORAY (Write-In)",1
"ANTHONY BONELLI (Write-In)",1
"ARTAEVISOUS STOCKTON (Write-In)",1
"BARACK OBAMA (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BERT KANNUDO (Write-In)",1
"BILL SWEENY (Write-In)",1
"BOB SKORI (Write-In)",1
"BOBBY SANDS (Write-In)",1
"BOBBY SHMURDA (Write-In)",1
"BORIS ZIVOROV (Write-In)",1
"CARA MIS HART (Write-In)",1
"CLAUDIA AWAD (Write-In)",1
"DAVID SKIM (Write-In)",1
"DIANE FELTON (Write-In)",1
"DIVONNE COOGAN (Write-In)",1
"DONALD J. TRUMP (Write-In)",2
"ELLEN DEGENERES (Write-In)",1
"ERIC GARNER (Write-In)",4
"ERIC HAZEN (Write-In)",1
"ERICA GARNER (Write-In)",2
"EVELYN GARCIA (Write-In)",1
"FREDDY CANO (Write-In)",1
