,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Richmond County
 - 
All Parties and Independent Bodies




State Senator


24th Senatorial District


Vote for 1"
"Assembly District 61"
"Public Counter","9,977"
"Manually Counted Emergency",0
"Absentee/Military",562
"Federal",38
"Special Presidential",1
"Affidavit",169
"Total Ballots","10,747"
"Less - Inapplicable Federal/Special Presidential Ballots",(39)
"Total Applicable Ballots","10,708"
,
"Andrew J. Lanza (Republican)","6,220"
"Andrew J. Lanza (Conservative)",895
"Andrew J. Lanza (Independence)",700
"Andrew J. Lanza (Reform)",172
"ALICIA PHILLIPS (Write-In)",1
"ANDREW GUIDO (Write-In)",1
"BARACK OBAMA (Write-In)",1
"BERNIE SANDERS (Write-In)",3
"BRANDON CIARO (Write-In)",1
"BRIAN CLARKE (Write-In)",1
"CHAD CRESANTE (Write-In)",1
"CHRIS ROMANO (Write-In)",1
"CLAUDIA AWAD (Write-In)",1
"DALLAS CARUSO (Write-In)",1
"DAN RAPINO (Write-In)",1
"DANNY BATTISTA (Write-In)",1
"DAVID BURKE (Write-In)",1
"DAVID POLCHIASKI (Write-In)",1
"DEBRA SANDER (Write-In)",1
"DONALD J. TRUMP (Write-In)",1
"DYLAN M. SCHWARTZ (Write-In)",1
"ERICA GARNER (Write-In)",1
"GENA MIMOZO (Write-In)",3
"JAMES MARLOW (Write-In)",1
"JENNY MARCELINO (Write-In)",1
"JILL STEIN (Write-In)",1
"JOHN B. COSCIA (Write-In)",2
"JOHN C. MACEDA (Write-In)",1
"JOHN HAYES (Write-In)",1
"JOHN JAY (Write-In)",1
"JOHN MARCHI (Write-In)",1
"JOHN WODLUND (Write-In)",1
"JUSTIN JAKUBOWSKI (Write-In)",1
"KERMIN SUPREME (Write-In)",1
"KEVIN MCKEENAN (Write-In)",1
"KEVIN O. CLARK (Write-In)",1
"KRISTINA FAZZALANO (Write-In)",1
"LINDA ROSSI (Write-In)",1
"LISA SATTIE (Write-In)",1
"LOIS ADIMANDO (Write-In)",1
"MARY ELIZABETH GUSTAFSSON (Write-In)",2
"MATTHEW J. TITONE (Write-In)",1
"MATTHEW VALENTE (Write-In)",1
"MELINDA J. WILSON (Write-In)",1
"MELISSA LOUGHLIN (Write-In)",1
"MICHAEL J. NORTHMORE (Write-In)",1
"MICHAEL MCMAHON (Write-In)",1
"NICHOLAS SAVIANO (Write-In)",1
"OSWALD COBBLEPOT (Write-In)",1
"PAULA DEEN (Write-In)",1
"PETER C. DODENHOFF (Write-In)",1
"RICHARD BELL (Write-In)",2
