"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"62","001","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Public Counter",827
"62","001","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Manually Counted Emergency",0
"62","001","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Absentee/Military",29
"62","001","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Federal",1
"62","001","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Special Presidential",0
"62","001","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Affidavit",14
"62","001","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Joseph C. Borelli (Republican)",624
"62","001","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Joseph C. Borelli (Conservative)",56
"62","001","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Joseph C. Borelli (Independence)",33
"62","001","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Scattered",4
"62","002","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Public Counter",798
"62","002","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Manually Counted Emergency",0
"62","002","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Absentee/Military",46
"62","002","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Federal",0
"62","002","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Special Presidential",0
"62","002","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Affidavit",11
"62","002","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Joseph C. Borelli (Republican)",622
"62","002","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Joseph C. Borelli (Conservative)",82
"62","002","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Joseph C. Borelli (Independence)",32
"62","002","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Scattered",6
"62","003","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Public Counter",731
"62","003","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Manually Counted Emergency",0
"62","003","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Absentee/Military",45
"62","003","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Federal",3
"62","003","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Special Presidential",0
"62","003","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Affidavit",6
"62","003","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Joseph C. Borelli (Republican)",567
"62","003","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Joseph C. Borelli (Conservative)",45
"62","003","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Joseph C. Borelli (Independence)",27
"62","003","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Scattered",8
"62","004","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Public Counter",767
"62","004","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the City Council","51",1,"Manually Counted Emergency",0
