,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Richmond County
 - 
All Parties and Independent Bodies




Member of the City Council


51st Council District


Vote for 1"
"Assembly District 62"
"Public Counter","45,461"
"Manually Counted Emergency",0
"Absentee/Military","2,010"
"Federal",70
"Special Presidential",0
"Affidavit",671
"Total Ballots","48,212"
"Less - Inapplicable Federal/Special Presidential Ballots",(70)
"Total Applicable Ballots","48,142"
,
"Joseph C. Borelli (Republican)","33,891"
"Joseph C. Borelli (Conservative)","3,384"
"Joseph C. Borelli (Independence)","2,465"
"AHARON YEUHIEZ ROSSKAMM (Write-In)",1
"AL CAPONE (Write-In)",1
"ALEXA JONES (Write-In)",1
"ALEXANDER FOTOPOULOS (Write-In)",1
"ALLAN A. HABBAZ (Write-In)",1
"ANA NAVARO (Write-In)",1
"ANDREW MAYER (Write-In)",1
"ANGELA DAVIS (Write-In)",1
"ANITA HILL (Write-In)",1
"ANNA BENFANTE (Write-In)",1
"ANTHONY BONELLI (Write-In)",1
"ANTHONY COLON (Write-In)",1
"ANTHONY LAUDANDO (Write-In)",1
"BERNIE SANDERS (Write-In)",6
"BERT KANNUDO (Write-In)",3
"BILLY CARTER (Write-In)",1
"BORIS ZIVOROV (Write-In)",1
"BRAD SHOEMAKER (Write-In)",1
"BRANDON GALE (Write-In)",1
"BRANDON PIRANDO (Write-In)",1
"BRENDA PRARDO (Write-In)",1
"BRYAN CORTIJO (Write-In)",1
"BRYAN DIXON (Write-In)",1
"BRYAN J. ELLICOTT (Write-In)",4
"CALEB MEDDERS (Write-In)",1
"CARL LARSON (Write-In)",1
"CARMINE MORANO (Write-In)",1
"CAROLYN BROWN (Write-In)",1
"CARY BARON (Write-In)",1
"CHARLES AMUNDSEN (Write-In)",1
"CHRISTIAN MALLOY (Write-In)",1
"CHRISTOPHER ANNIS (Write-In)",1
"CHRISTOPHER WALSH (Write-In)",2
"CLIFF HAGEN (Write-In)",5
"DAMIEN LILLIBARD (Write-In)",1
"DANIEL ABRAHAM (Write-In)",1
"DAVID C. CASAGRANDE (Write-In)",1
"DAVID NETES (Write-In)",1
"DAWN MARIE HAYES (Write-In)",1
"DEBI ROSE (Write-In)",1
"DEE VANDERBURG (Write-In)",2
"DENNIS GREEN (Write-In)",1
"DICK DICKERSON (Write-In)",1
"DONALD J. TRUMP (Write-In)",2
"ELIZABETH ALLEN (Write-In)",1
"ELVIS PRESLEY (Write-In)",1
"EMILY BECKER (Write-In)",1
"ERIC ROSENSTOCK (Write-In)",1
"FRED HERMAN (Write-In)",1
"FREDDY CANO (Write-In)",1
"GARY JOHNSON (Write-In)",1
"GARY S. WHITE SR. (Write-In)",1
"GENA MIMOZO (Write-In)",3
"GEORGE W. BUSH (Write-In)",1
"GLENN HANSSON (Write-In)",1
"HENRY J. BARDEL (Write-In)",1
"HESHAM EL-MELIGY (Write-In)",1
"HIANI GALLAGHER (Write-In)",1
"IAN GUTCH (Write-In)",1
"IAN WISMANN (Write-In)",1
"JAKE LEVIN (Write-In)",1
"JAMES T. BLIGH (Write-In)",1
"JAMES T. BUSCH (Write-In)",1
"JANINE MATERNA (Write-In)",6
"JEFFREY GIOVE (Write-In)",1
"JENNY BLACKWELL (Write-In)",1
"JEREMY MAZZELLA (Write-In)",1
"JOE QUIMBY (Write-In)",1
"JOHN DELY (Write-In)",1
"JOHN FRATTE (Write-In)",1
"JOHN HARDEN (Write-In)",1
"JOHN LARACI (Write-In)",1
"JOHN LAVELLE (Write-In)",1
"JORDAN MAMET (Write-In)",1
"JOSEPH ALBONSE (Write-In)",1
"JOSEPH KOVAC (Write-In)",1
"JOSEPH M. CALDARESA (Write-In)",1
"JOSEPH MELLEY (Write-In)",2
"JOSEPHINE CONA (Write-In)",1
"JULIENNE VERDI (Write-In)",2
"KAMAL KARNA K. ROY (Write-In)",2
"KATHLEEN GORMAN (Write-In)",1
"KATHLEEN POSTLER (Write-In)",1
"KEN BONE (Write-In)",2
"KEVIN LAWRIE (Write-In)",1
"KRISTEN LANG (Write-In)",1
"LAUREN DELLER (Write-In)",1
"LEO DICAPRIO (Write-In)",1
"LISA CAMPOWITZ (Write-In)",1
"LOUID DIDONNA (Write-In)",1
"MANUEL RUNDON (Write-In)",1
"MARCUS PARKS (Write-In)",1
"MARIA VELLA (Write-In)",1
"MARK CUNIZIO (Write-In)",1
"MATTHEW STEYER (Write-In)",1
"MATTHEW T. LEAVY (Write-In)",1
"MELVIN KOPLOW (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"MICHAEL GORGA (Write-In)",1
"MICHAEL J. NAPPI (Write-In)",1
"MICHAEL PENDOLINO (Write-In)",1
"MICHAEL REILLY (Write-In)",1
"MICHAEL SCOFIELD (Write-In)",1
"MICHELLE OBAMA (Write-In)",1
"MIKE FRANCESA (Write-In)",1
"MIKE GLORIA (Write-In)",1
"MIKE SILL (Write-In)",1
"MIKE ZAK (Write-In)",1
"NICHOLAS OLIVA (Write-In)",1
"NICK BONES (Write-In)",1
"NICK POPOLO (Write-In)",1
"NICO GONZALEZ RODRIGUEZ (Write-In)",1
"PATRICIA KAIN (Write-In)",1
"PATRICK GALE (Write-In)",1
"PAUL CATERINE (Write-In)",1
"PAUL J. FOOTE (Write-In)",1
"PETER MURRAY (Write-In)",1
"PHILIP MICHAEL (Write-In)",1
"PINZA KHAN (Write-In)",1
"RAYMOND VOMERO (Write-In)",2
"RICHARD REICHARD (Write-In)",2
"RICHARD TRACY (Write-In)",1
"RICHARD ZINN (Write-In)",1
"RICK SALMONI (Write-In)",1
"RJ GUERCIO (Write-In)",1
"ROB PAUL (Write-In)",1
"ROBERT DENKER (Write-In)",1
"ROBERT FETIK (Write-In)",1
"ROBERT J. SUSINNO (Write-In)",1
"ROBERT P. FETIK (Write-In)",1
"ROBERT PETER GIGLIO (Write-In)",1
"ROBERT REVZIN (Write-In)",1
"ROBERT SAUTER (Write-In)",1
"RONALD ARABIA (Write-In)",1
"RYAN EISLER (Write-In)",3
"RYAN G. MURPHY (Write-In)",1
"RYAN MALLOY (Write-In)",1
"SEBASTION FRANCO (Write-In)",1
"STELLA EDITH IWINE (Write-In)",1
"TERESA A. CIRELLI (Write-In)",1
"THOMAS GLEAVY (Write-In)",1
"THOMAS J. SCHNEIDER (Write-In)",1
"THOMAS MCMILLEN (Write-In)",1
"THOMAS SCHNEIDER (Write-In)",1
"TOM CELLA (Write-In)",1
"TOM DOTY (Write-In)",1
"TREVOR NOALA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",100
"VIC DIBETTO (Write-In)",1
"VINCENT LEGRAND (Write-In)",1
"VIVIAN RASSO (Write-In)",1
"WILLA HAHN (Write-In)",1
"WILLIAM J. FINNEGAN (Write-In)",1
"YI LIN (Write-In)",1
,
,
,
"Total Votes","40,025"
"Unrecorded","8,117"

"Assembly District 63"
"Public Counter","9,329"
"Manually Counted Emergency",0
"Absentee/Military",396
"Federal",23
"Special Presidential",0
"Affidavit",163
"Total Ballots","9,911"
"Less - Inapplicable Federal/Special Presidential Ballots",(23)
"Total Applicable Ballots","9,888"
,
"Joseph C. Borelli (Republican)","5,703"
"Joseph C. Borelli (Conservative)",563
"Joseph C. Borelli (Independence)",659
"ARTHUR FLICMAN (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BRIAN DOTY (Write-In)",2
"CARLOS SANTIAGO (Write-In)",1
"CHARLES BOONE (Write-In)",1
"DAVID WRIGHT (Write-In)",1
"DEREK JETER (Write-In)",1
"DICK BUTKIS (Write-In)",1
"DORIS LEARNS GOODWIN (Write-In)",1
"EL-SAYED OSMAN (Write-In)",1
"ERIC GARNER (Write-In)",1
"ERIC NELSON (Write-In)",1
"GENA MIMOZO (Write-In)",1
"GENE HETZ III (Write-In)",2
"GEORGE RUSSELL (Write-In)",1
