,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Richmond County
 - 
All Parties and Independent Bodies




Member of the Assembly


61st Assembly District


Vote for 1"
"Assembly District 61"
"Public Counter","39,570"
"Manually Counted Emergency",0
"Absentee/Military","2,053"
"Federal",156
"Special Presidential",2
"Affidavit","1,166"
"Total Ballots","42,947"
"Less - Inapplicable Federal/Special Presidential Ballots",(158)
"Total Applicable Ballots","42,789"
,
"Matthew J. Titone (Democratic)","31,750"
"A. VISCIONE (Write-In)",1
"AARON CORDOVA (Write-In)",2
"AIDAN WHORTON (Write-In)",1
"AJAMU BARAKA (Write-In)",1
"ALEX ABERNETHY (Write-In)",1
"ALEX BORACK (Write-In)",1
"ALFRED E. NEWMAN (Write-In)",1
"ANDREW J. LANZA (Write-In)",1
"ANDREW OLSEN (Write-In)",1
"ANGELA TIRONE (Write-In)",1
"ANNA DIBONA (Write-In)",1
"ANTHONY RONDINELLO (Write-In)",1
"ANTHONY WEINER (Write-In)",1
"ARTHUR ROLDAN (Write-In)",1
"ASSAFA SHAKUR (Write-In)",1
"AVERY LUDGATE (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BILL MURRAY (Write-In)",1
"BRIAN SCHUBERT (Write-In)",1
"CAITLYN RYAN (Write-In)",1
"CHARLES J. HARGROVE (Write-In)",1
"CHE GUEVARA (Write-In)",1
"CHEALSEA MANNING (Write-In)",1
"CHRIS RIVIECCIO (Write-In)",1
"CHRISTINA MANTANI (Write-In)",1
"CHRISTOPHER J. SCOTT (Write-In)",1
"CLAUDIA AWAD (Write-In)",1
"CLIFF GARRETT (Write-In)",1
"CONNOR KAVANAGH (Write-In)",1
"CRAIG HARTMAN (Write-In)",1
"DAITHI FARLEY (Write-In)",1
"DAMIANO GILARDI (Write-In)",1
"DAN RAPINO (Write-In)",1
"DANNY CONWAY (Write-In)",1
"DAVE ATTELL (Write-In)",1
"DEBI ROSE (Write-In)",1
"DEBORAH DANNER (Write-In)",1
"DEREK JETER (Write-In)",1
"DOC WALCOTT (Write-In)",1
"DONALD J. TRUMP (Write-In)",4
"DONALD MULLIGAN (Write-In)",2
"EDWARD M. STEHLIN (Write-In)",1
"EDWARD ROGERS (Write-In)",1
"EDWARD WHALEN (Write-In)",1
"ELIZABETH M. MALEY (Write-In)",1
"EPHRAIM GARCIA (Write-In)",2
"ERIC BOLLING (Write-In)",1
"ERIC TRUMP (Write-In)",1
"ERICA GARNER (Write-In)",2
"EUGENE R. BLEIMANN (Write-In)",1
"EVELYN HANLEY (Write-In)",1
"FRANCES MARY MAGLIANO (Write-In)",1
"FRANK FRANCOIS (Write-In)",1
"FRANK LAMPARD (Write-In)",1
"GALE BREWER (Write-In)",1
"GARY PALLADINO (Write-In)",1
"GENA MIMOZO (Write-In)",2
"GEORGE CODD (Write-In)",1
"GERARD COOGAN (Write-In)",1
"HARVEY KIMELMARY (Write-In)",1
"HEATHER LEA O'NEILL (Write-In)",1
"HECTOR RAMOS (Write-In)",1
"HELEN SETTLES (Write-In)",1
"HENRY J. BARDEL (Write-In)",1
"HENRY W. BAILEY IV (Write-In)",1
"HOWARD BELL (Write-In)",1
"HOWARD PEIRANO (Write-In)",1
"JACK GIBBONS (Write-In)",1
"JAEGER VON SCHAVZERSTEIN (Write-In)",1
