,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Richmond County
 - 
All Parties and Independent Bodies




Member of the Assembly


62nd Assembly District


Vote for 1"
"Assembly District 62"
"Public Counter","52,124"
"Manually Counted Emergency",1
"Absentee/Military","2,389"
"Federal",97
"Special Presidential",0
"Affidavit",751
"Total Ballots","55,362"
"Less - Inapplicable Federal/Special Presidential Ballots",(97)
"Total Applicable Ballots","55,265"
,
"Ronald Castorina Jr. (Republican)","37,683"
"Ronald Castorina Jr. (Conservative)","3,764"
"Ronald Castorina Jr. (Independence)","2,593"
"Ronald Castorina Jr. (Reform)",411
"AL CAPONE (Write-In)",1
"ALEXA JONES (Write-In)",1
"ALEXANDER FOTOPOULOS (Write-In)",1
"ALICE PAUL (Write-In)",1
"ALLAN A. HABBAZ (Write-In)",2
"ANDREW MAYER (Write-In)",1
"ANDY DWYER (Write-In)",1
"ANTHONY BARONE (Write-In)",1
"ANTHONY BONELLI (Write-In)",1
"ANTHONY COLON (Write-In)",1
"ANTHONY LAUDANDO (Write-In)",1
"ANTHONY MASCOLO (Write-In)",1
"ASHTON KUTCHER (Write-In)",1
"BARTON HOROWITZ (Write-In)",1
"BERNIE SANDERS (Write-In)",8
"BERT KANNUDO (Write-In)",2
"BILL O'REILLY (Write-In)",1
"BORIS ZIVOROV (Write-In)",1
"BRYAN CORTIJO (Write-In)",1
"BRYAN DIXON (Write-In)",1
"BRYAN J. ELLICOTT (Write-In)",1
"CALEB MEDDERS (Write-In)",1
"CAROLYN BROWN (Write-In)",1
"CECILE RICHARDS (Write-In)",1
"CHARLES AMUNDSEN (Write-In)",1
"CHARLES SCHUMER (Write-In)",1
"CHELSEA CLINTON (Write-In)",1
"CHRIS EVANS (Write-In)",1
"CHRIS GORGA (Write-In)",1
"CHRIS PALLANTE (Write-In)",1
"CHRIS WALSH (Write-In)",1
"CHRISTIAN MALLOY (Write-In)",1
"CLAIRE BENFANTE (Write-In)",1
"CLIFF HAGAN (Write-In)",1
"CLIFF HAGEN (Write-In)",4
"DANIEL ABRAHAM (Write-In)",1
"DAVID C. CASAGRANDE (Write-In)",1
"DAVID NETES (Write-In)",1
"DAVID WRIGHT (Write-In)",1
"DAWN MARIE HAYES (Write-In)",1
"DEBI ROSE (Write-In)",1
"DEBORAH ONESTO (Write-In)",1
"DIANE GILMAN (Write-In)",1
"DICK DICKERSON (Write-In)",1
"DONALD HANSSON (Write-In)",1
"DONALD J. TRUMP (Write-In)",2
"ELIZABETH WARREN (Write-In)",1
"EMILY BECKER (Write-In)",1
"ERIC RICCIARDI (Write-In)",1
"ERIC ROSENSTOCK (Write-In)",1
"FRED HERMAN (Write-In)",1
"FREDDY CANO (Write-In)",1
"GARY JOHNSON (Write-In)",1
"GENA MIMOZO (Write-In)",3
"GIUSEPPE AGUIANO (Write-In)",1
"GLORIA STEINEM (Write-In)",1
"HELAINE SURESSI (Write-In)",1
"HELEN BOLTON (Write-In)",1
"HENRY J. BARDEL (Write-In)",1
"HENRY ZEBRASKI (Write-In)",1
"HESHAM EL-MELIGY (Write-In)",3
"IAN WISMANN (Write-In)",1
"ILENE GAIL GIGLIO (Write-In)",1
"JAMES LANE (Write-In)",1
"JAMES P. WARREN (Write-In)",1
"JAMES T. BLIGH (Write-In)",1
"JAMES T. BUSCH (Write-In)",1
"JAMIE MELINE (Write-In)",1
"JANE DELLER (Write-In)",1
"JANINE MATERNA (Write-In)",11
"JASON MENNA (Write-In)",1
"JEFFREY BACCH (Write-In)",1
"JENNY BLACKWELL (Write-In)",1
"JEREMY MAZZELLA (Write-In)",1
"JILL STEIN (Write-In)",1
"JOHN FRATTE (Write-In)",1
"JOHN GALT (Write-In)",1
"JOHN HARDEN (Write-In)",1
"JOHN LAVELLE (Write-In)",1
"JOHN R. GALE JR. (Write-In)",1
"JOHN RODRIGUEZ (Write-In)",1
"JOHN W. MOONEY (Write-In)",1
"JORDAN MAMET (Write-In)",1
"JOSEPH GORGA (Write-In)",3
"JOSEPH JAMES SR. (Write-In)",1
"JOSEPH KOVAC (Write-In)",1
"JOSEPH MELLEY (Write-In)",2
"JOSEPHINE CONA (Write-In)",1
"JUBE LAWRIE (Write-In)",1
"JULIENNE VERDI (Write-In)",2
"KAMAL KARNA K. ROY (Write-In)",2
"KATHLEEN GORMAN (Write-In)",1
"KATHLEEN POSTLER (Write-In)",1
"KEN BONE (Write-In)",1
"KRISTEN GILLIBRAND (Write-In)",1
"MARIA VELLA (Write-In)",1
"MARIAH PEREZ (Write-In)",1
"MARTIN H. EISENBERG (Write-In)",1
"MARY F. ZAWADZKI (Write-In)",1
"MATTHEW T. LEAVY (Write-In)",1
"MELVIN KOPLOW (Write-In)",1
"MICHAEL BASTA (Write-In)",1
"MICHAEL BAUER (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",3
"MICHAEL DIBENDETTO (Write-In)",1
"MICHAEL GEIB (Write-In)",1
"MICHAEL GORGA (Write-In)",1
"MICHAEL HIGGINS (Write-In)",1
"MICHAEL MARCHYINSKI (Write-In)",1
"MICHAEL PEPPE (Write-In)",1
"MICHAEL REILLY (Write-In)",1
"MICHAEL TITONE (Write-In)",1
"MICHELLE RAIA (Write-In)",1
"MIKE GLORIA (Write-In)",1
"MIKE SILL (Write-In)",1
"MIKE ZAK (Write-In)",1
"NANCY PAUGH (Write-In)",1
"NICHOLAS NAPPI (Write-In)",1
"NICHOLAS OLIVA (Write-In)",1
"NICK POPOLO (Write-In)",1
"NICO GONZALEZ RODRIGUEZ (Write-In)",1
"NICOLETTE JONES (Write-In)",1
"PAM GROVES (Write-In)",1
"PATRICIA LOCKHART (Write-In)",1
"PAUL ALLEN (Write-In)",1
"PAUL CATERINE (Write-In)",1
"PAUL J. FOOTE (Write-In)",1
"PENNY BRYSON (Write-In)",1
"PETER GASTALDI (Write-In)",1
"PETER MURRAY (Write-In)",1
"PETER SAAD (Write-In)",1
"PHILIP J. MARACHILIAN (Write-In)",1
"PHILIP MICHAEL (Write-In)",1
"PHILLIP MINARDO (Write-In)",1
"PINZA KHAN (Write-In)",1
"RAY WIENER (Write-In)",1
"RAYMOND VOMERO (Write-In)",2
"RICHARD REICHARD (Write-In)",2
"RICHARD TRACY (Write-In)",1
"RICHARD ZINN (Write-In)",1
"RICKY RONDINA (Write-In)",1
"RJ GUERCIO (Write-In)",1
"ROBERT CASEY (Write-In)",1
"ROBERT DENKER (Write-In)",1
"ROBERT FETIK (Write-In)",1
"ROBERT J. SUSINNO (Write-In)",1
"ROBERT JOHN SOTTO (Write-In)",1
"ROBERT P. FETIK (Write-In)",1
"ROBERT REVZIN (Write-In)",1
"ROBERT SAUTER (Write-In)",1
"ROBERT SCAMARDELLA (Write-In)",1
"ROBERT STRANIERE (Write-In)",1
"RONALD ARABIA (Write-In)",1
"RYAN EISLER (Write-In)",3
"RYAN G. MURPHY (Write-In)",1
"RYAN MALLOY (Write-In)",1
"SARA TANCRECI (Write-In)",1
"SEBASTION FRANCO (Write-In)",1
"SHKELGIM MEMA (Write-In)",1
"STELLA EDITH IWINE (Write-In)",1
"STEVE SCAINOT (Write-In)",1
"STEVEN NASH (Write-In)",1
"TERESA A. CIRELLI (Write-In)",1
"THOMAS J. SCHNEIDER (Write-In)",1
"THOMAS MCMILLEN (Write-In)",1
"THOMAS SCHNEIDER (Write-In)",1
"TIGER WOODS (Write-In)",1
"TOM SMITH (Write-In)",1
"TREVOR NOALA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",93
"VIC DIBETTO (Write-In)",1
"VINCENT ARGENZIANO (Write-In)",1
"VINCENT IGNIZIO (Write-In)",1
"VINCENT LEGRAND (Write-In)",1
"VINNY CARAVELLA (Write-In)",1
"VITO FOSSELLA (Write-In)",2
"WAYNE MILLER (Write-In)",1
"WILL SMITH (Write-In)",1
"WILLA HAHN (Write-In)",1
"WILLA PEARL HAHN (Write-In)",1
"WILLIAM WOLFBERG (Write-In)",1
"YI LIN (Write-In)",1
"YITZCHAK FIEGENBAUM (Write-In)",1
"ZBRAHIM ADOLI (Write-In)",1
,
,
,
"Total Votes","44,766"
"Unrecorded","10,499"

"Total for Member of the Assembly (62nd Assembly District) - Richmond County"
"Public Counter","52,124"
"Manually Counted Emergency",1
"Absentee/Military","2,389"
"Federal",97
"Special Presidential",0
"Affidavit",751
"Total Ballots","55,362"
"Less - Inapplicable Federal/Special Presidential Ballots",(97)
"Total Applicable Ballots","55,265"
,
"Ronald Castorina Jr. (Republican)","37,683"
"Ronald Castorina Jr. (Conservative)","3,764"
"Ronald Castorina Jr. (Independence)","2,593"
"Ronald Castorina Jr. (Reform)",411
"AL CAPONE (Write-In)",1
"ALEXA JONES (Write-In)",1
"ALEXANDER FOTOPOULOS (Write-In)",1
"ALICE PAUL (Write-In)",1
"ALLAN A. HABBAZ (Write-In)",2
"ANDREW MAYER (Write-In)",1
"ANDY DWYER (Write-In)",1
"ANTHONY BARONE (Write-In)",1
"ANTHONY BONELLI (Write-In)",1
"ANTHONY COLON (Write-In)",1
"ANTHONY LAUDANDO (Write-In)",1
"ANTHONY MASCOLO (Write-In)",1
"ASHTON KUTCHER (Write-In)",1
"BARTON HOROWITZ (Write-In)",1
"BERNIE SANDERS (Write-In)",8
"BERT KANNUDO (Write-In)",2
"BILL O'REILLY (Write-In)",1
"BORIS ZIVOROV (Write-In)",1
"BRYAN CORTIJO (Write-In)",1
"BRYAN DIXON (Write-In)",1
"BRYAN J. ELLICOTT (Write-In)",1
"CALEB MEDDERS (Write-In)",1
"CAROLYN BROWN (Write-In)",1
"CECILE RICHARDS (Write-In)",1
"CHARLES AMUNDSEN (Write-In)",1
"CHARLES SCHUMER (Write-In)",1
"CHELSEA CLINTON (Write-In)",1
"CHRIS EVANS (Write-In)",1
"CHRIS GORGA (Write-In)",1
"CHRIS PALLANTE (Write-In)",1
"CHRIS WALSH (Write-In)",1
"CHRISTIAN MALLOY (Write-In)",1
"CLAIRE BENFANTE (Write-In)",1
"CLIFF HAGAN (Write-In)",1
"CLIFF HAGEN (Write-In)",4
"DANIEL ABRAHAM (Write-In)",1
"DAVID C. CASAGRANDE (Write-In)",1
"DAVID NETES (Write-In)",1
"DAVID WRIGHT (Write-In)",1
"DAWN MARIE HAYES (Write-In)",1
"DEBI ROSE (Write-In)",1
"DEBORAH ONESTO (Write-In)",1
"DIANE GILMAN (Write-In)",1
"DICK DICKERSON (Write-In)",1
"DONALD HANSSON (Write-In)",1
"DONALD J. TRUMP (Write-In)",2
