,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Richmond County
 - 
All Parties and Independent Bodies




Member of the Assembly


63rd Assembly District


Vote for 1"
"Assembly District 63"
"Public Counter","44,725"
"Manually Counted Emergency",2
"Absentee/Military","2,269"
"Federal",178
"Special Presidential",0
"Affidavit",841
"Total Ballots","48,015"
"Less - Inapplicable Federal/Special Presidential Ballots",(178)
"Total Applicable Ballots","47,837"
,
"Michael J. Cusick (Democratic)","24,104"
"Michael J. Cusick (Conservative)","8,221"
"Michael J. Cusick (Independence)","2,234"
"AARON RUDOFF (Write-In)",1
"ABRAHAM SIKES (Write-In)",1
"ADELALA S. DOW (Write-In)",1
"ANNE FRANK (Write-In)",1
"ANTHONY CROCE (Write-In)",1
"ARI KAGAN (Write-In)",1
"BEN CARSON (Write-In)",1
"BOB JOHNSON (Write-In)",1
"BRIAN LOGAN (Write-In)",1
"CARL J. MCCALEB (Write-In)",2
"CHRIS JOHNSON (Write-In)",1
"CHRISTOPHER CANALE (Write-In)",1
"CHRISTOPHER ROBERT UNLIG (Write-In)",1
"DAVID ARTESI (Write-In)",1
"DAVID MICHAEL CARR (Write-In)",1
"DAVID SKIM (Write-In)",1
"DEREK JETER (Write-In)",1
"DIANE M. SCHUMANN (Write-In)",1
"DOMINICK REBELO (Write-In)",1
"DONALD J. TRUMP (Write-In)",1
"ELIZABETH BELLOW (Write-In)",1
"EL-SAYED OSMAN (Write-In)",2
"ERIC GARNER (Write-In)",1
"FRANK REILLY (Write-In)",1
"GENA MIMOZO (Write-In)",1
"GENE HETZ III (Write-In)",2
"GEORGE S. WONICA (Write-In)",1
"GREG M. RODRIGUEZ (Write-In)",1
"HASSAN ALI RADA (Write-In)",1
"HESHAM EL-MELIGY (Write-In)",1
"HILLARY CLINTON (Write-In)",1
"ILIR KRASNIQI (Write-In)",1
"JEAN FORTE (Write-In)",1
"JEFF MCGRAHAM (Write-In)",1
"JEFF RIBAKOFF (Write-In)",1
"JILLIAN MAGOLDI (Write-In)",1
"JOE ROGAN (Write-In)",1
"JOHN C. FRASER (Write-In)",1
"JOHN FAWCETT IV (Write-In)",1
"JOHN T. WALSH (Write-In)",1
"JOHN YASSARIAN (Write-In)",1
"JOSEPH NUGENT IV (Write-In)",1
"JOSEPH TIRONE JR. (Write-In)",7
"JOSHUA GANNON (Write-In)",1
"JUDA JOHN (Write-In)",1
"JUDITH SHEINDLIN (Write-In)",1
"JUSTIN J. ROTH (Write-In)",1
"JUSUF FUDULI (Write-In)",1
"KATHRYN MEEHAN (Write-In)",1
"KENNETH FOWLER (Write-In)",1
"KYLE BLUTH (Write-In)",1
"LETICIA M. REMAURO (Write-In)",1
"MARIUS BRADEANO (Write-In)",1
"MELISSA LAUGHLIN (Write-In)",1
"MICHAEL A. BAHARI (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"MICHAEL CLIFFORD (Write-In)",1
"MICHAEL GUTIERREZ (Write-In)",1
"MICHAEL J. COISOLMANGO, JR. (Write-In)",1
"MICHAEL MCMAHON (Write-In)",1
"MICHAEL TENUTO (Write-In)",1
"NATE SEGAL (Write-In)",1
"NINA SOFFER (Write-In)",1
"OMAR HERNANDEZ (Write-In)",1
"R.A. SALVATORE (Write-In)",1
"RICHARD CISAK (Write-In)",1
"RICHARD ZINN (Write-In)",1
"ROBERT MCFEELEY (Write-In)",1
"ROBIN BARKENHAGEN (Write-In)",1
"RUDOLPH GIULIANI (Write-In)",1
"SCOTT FERTITTA (Write-In)",1
"SCOTT POMPA (Write-In)",1
"STEPHANIE LONGWORTH (Write-In)",1
"STEPHEN WEINBERG (Write-In)",1
"STEVE PANYO (Write-In)",1
"TED CRUZ (Write-In)",1
"TIMOTHY LAU (Write-In)",1
"TIMOTHY M. HOUSTON (Write-In)",1
"TOM MATTHEW (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",46
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
"VINCENT CHIRELLI (Write-In)",1
"VINCENT F. DENNIE (Write-In)",1
"VINCENT PICCONT (Write-In)",1
"WILLIE GREY (Write-In)",1
"WITT HALEY (Write-In)",1
,
,
,
"Total Votes","34,701"
"Unrecorded","13,136"

"Total for Member of the Assembly (63rd Assembly District) - Richmond County"
"Public Counter","44,725"
"Manually Counted Emergency",2
"Absentee/Military","2,269"
"Federal",178
"Special Presidential",0
"Affidavit",841
"Total Ballots","48,015"
"Less - Inapplicable Federal/Special Presidential Ballots",(178)
"Total Applicable Ballots","47,837"
,
"Michael J. Cusick (Democratic)","24,104"
"Michael J. Cusick (Conservative)","8,221"
"Michael J. Cusick (Independence)","2,234"
"AARON RUDOFF (Write-In)",1
"ABRAHAM SIKES (Write-In)",1
"ADELALA S. DOW (Write-In)",1
"ANNE FRANK (Write-In)",1
"ANTHONY CROCE (Write-In)",1
"ARI KAGAN (Write-In)",1
"BEN CARSON (Write-In)",1
"BOB JOHNSON (Write-In)",1
"BRIAN LOGAN (Write-In)",1
"CARL J. MCCALEB (Write-In)",2
"CHRIS JOHNSON (Write-In)",1
"CHRISTOPHER CANALE (Write-In)",1
"CHRISTOPHER ROBERT UNLIG (Write-In)",1
"DAVID ARTESI (Write-In)",1
"DAVID MICHAEL CARR (Write-In)",1
"DAVID SKIM (Write-In)",1
"DEREK JETER (Write-In)",1
"DIANE M. SCHUMANN (Write-In)",1
"DOMINICK REBELO (Write-In)",1
"DONALD J. TRUMP (Write-In)",1
"ELIZABETH BELLOW (Write-In)",1
"EL-SAYED OSMAN (Write-In)",2
"ERIC GARNER (Write-In)",1
"FRANK REILLY (Write-In)",1
"GENA MIMOZO (Write-In)",1
"GENE HETZ III (Write-In)",2
"GEORGE S. WONICA (Write-In)",1
"GREG M. RODRIGUEZ (Write-In)",1
"HASSAN ALI RADA (Write-In)",1
"HESHAM EL-MELIGY (Write-In)",1
"HILLARY CLINTON (Write-In)",1
"ILIR KRASNIQI (Write-In)",1
"JEAN FORTE (Write-In)",1
"JEFF MCGRAHAM (Write-In)",1
"JEFF RIBAKOFF (Write-In)",1
"JILLIAN MAGOLDI (Write-In)",1
"JOE ROGAN (Write-In)",1
"JOHN C. FRASER (Write-In)",1
"JOHN FAWCETT IV (Write-In)",1
"JOHN T. WALSH (Write-In)",1
"JOHN YASSARIAN (Write-In)",1
"JOSEPH NUGENT IV (Write-In)",1
"JOSEPH TIRONE JR. (Write-In)",7
"JOSHUA GANNON (Write-In)",1
"JUDA JOHN (Write-In)",1
"JUDITH SHEINDLIN (Write-In)",1
"JUSTIN J. ROTH (Write-In)",1
"JUSUF FUDULI (Write-In)",1
"KATHRYN MEEHAN (Write-In)",1
"KENNETH FOWLER (Write-In)",1
"KYLE BLUTH (Write-In)",1
"LETICIA M. REMAURO (Write-In)",1
"MARIUS BRADEANO (Write-In)",1
"MELISSA LAUGHLIN (Write-In)",1
"MICHAEL A. BAHARI (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",1
"MICHAEL CLIFFORD (Write-In)",1
"MICHAEL GUTIERREZ (Write-In)",1
"MICHAEL J. COISOLMANGO, JR. (Write-In)",1
"MICHAEL MCMAHON (Write-In)",1
"MICHAEL TENUTO (Write-In)",1
"NATE SEGAL (Write-In)",1
"NINA SOFFER (Write-In)",1
"OMAR HERNANDEZ (Write-In)",1
"R.A. SALVATORE (Write-In)",1
"RICHARD CISAK (Write-In)",1
"RICHARD ZINN (Write-In)",1
"ROBERT MCFEELEY (Write-In)",1
"ROBIN BARKENHAGEN (Write-In)",1
"RUDOLPH GIULIANI (Write-In)",1
"SCOTT FERTITTA (Write-In)",1
"SCOTT POMPA (Write-In)",1
"STEPHANIE LONGWORTH (Write-In)",1
"STEPHEN WEINBERG (Write-In)",1
"STEVE PANYO (Write-In)",1
"TED CRUZ (Write-In)",1
"TIMOTHY LAU (Write-In)",1
"TIMOTHY M. HOUSTON (Write-In)",1
"TOM MATTHEW (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",46
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
"VINCENT CHIRELLI (Write-In)",1
"VINCENT F. DENNIE (Write-In)",1
"VINCENT PICCONT (Write-In)",1
"WILLIE GREY (Write-In)",1
"WITT HALEY (Write-In)",1
,
,
,
"Total Votes","34,701"
"Unrecorded","13,136"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
